# PKCl(GPa),aKCl(Å),T (K),phase,ahcp (Å),chcp (Å),afcc (Å),PFe(GPa)
 51.5 , 3.128 ,1945,e, 2.398 , 3.870 ,, 50.4 
 51.4 , 3.128 ,1889,e, 2.396 , 3.870 ,, 50.5 
 51.3 , 3.128 ,1815,e, 2.394 , 3.859 ,, 51.4 
 51.4 , 3.128 ,1896,e, 2.393 , 3.867 ,, 51.7 
 51.4 , 3.128 ,1863,e, 2.390 , 3.871 ,, 51.9 
 51.3 , 3.127 ,1771,e, 2.390 , 3.861 ,, 52.0 
 51.4 , 3.129 ,1938,e, 2.393 , 3.868 ,, 52.0 
 51.5 , 3.129 ,1946,e, 2.393 , 3.868 ,, 52.0 
 51.7 , 3.128 ,1977,e, 2.393 , 3.870 ,, 52.1 
 51.7 , 3.128 ,2025,e, 2.394 , 3.872 ,, 52.1 
 51.8 , 3.130 ,2201,e, 2.395 , 3.887 ,, 52.2 
 51.8 , 3.129 ,2115,e, 2.398 , 3.867 ,, 52.3 
 52.0 , 3.129 ,2192,e, 2.395 , 3.885 ,, 52.3 
 52.1 , 3.128 ,2214,e, 2.394 , 3.888 ,, 52.5 
 51.4 , 3.128 ,1855,e, 2.390 , 3.861 ,, 52.7 
 51.3 , 3.128 ,1823,e, 2.390 , 3.856 ,, 52.9 
 75.3 , 3.031 ,2430,e, 2.358 , 3.819 ,, 72.8 
 75.2 , 3.032 ,2460,e, 2.360 , 3.814 ,, 72.9 
 75.0 , 3.030 ,2173,e, 2.354 , 3.805 ,, 73.3 
 74.9 , 3.030 ,2219,e, 2.356 , 3.801 ,, 73.5 
 75.2 , 3.032 ,2540,e, 2.360 , 3.815 ,, 73.6 
 75.3 , 3.032 ,2580,e, 2.361 , 3.816 ,, 73.6 
 75.0 , 3.031 ,2273,e, 2.355 , 3.806 ,, 73.8 
 75.3 , 3.030 ,2300,e, 2.355 , 3.805 ,, 74.2 
 75.1 , 3.031 ,2321,e, 2.355 , 3.806 ,, 74.2 
 75.1 , 3.032 ,2510,e, 2.357 , 3.817 ,, 74.2 
 75.6 , 3.031 ,2597,e, 2.360 , 3.812 ,, 74.5 
 75.1 , 3.031 ,2360,e, 2.353 , 3.811 ,, 74.8 
