# Grant et al. (2021) liquid iron EOS (https://ui.adsabs.harvard.edu/abs/2021JGRB..12620008G/abstract)
# Vinet fit to experimental data
# Pressure (Pa)	Density (kg m-3)
1.000000e+00	5.187000e+03
4.877581e+03	5.187001e+03
4.877605e+04	5.187010e+03
4.877842e+05	5.187100e+03
4.880212e+06	5.188000e+03
1.035937e+08	5.208000e+03
1.875856e+08	5.224688e+03
3.842144e+08	5.262650e+03
5.901848e+08	5.300888e+03
8.058033e+08	5.339403e+03
1.031384e+09	5.378198e+03
1.267250e+09	5.417276e+03
1.513733e+09	5.456637e+03
1.771170e+09	5.496284e+03
2.039912e+09	5.536219e+03
2.320316e+09	5.576445e+03
2.612746e+09	5.616962e+03
2.917581e+09	5.657774e+03
3.235203e+09	5.698883e+03
3.566010e+09	5.740290e+03
3.910404e+09	5.781998e+03
4.268802e+09	5.824009e+03
4.641628e+09	5.866326e+03
5.029319e+09	5.908950e+03
5.432320e+09	5.951883e+03
5.851090e+09	5.995129e+03
6.286097e+09	6.038689e+03
6.737820e+09	6.082565e+03
7.206753e+09	6.126760e+03
7.693398e+09	6.171276e+03
8.198272e+09	6.216116e+03
8.721902e+09	6.261281e+03
9.264830e+09	6.306775e+03
9.827608e+09	6.352599e+03
1.041080e+10	6.398756e+03
1.101500e+10	6.445248e+03
1.164078e+10	6.492079e+03
1.228876e+10	6.539249e+03
1.295957e+10	6.586763e+03
1.365383e+10	6.634621e+03
1.437220e+10	6.682827e+03
1.511534e+10	6.731384e+03
1.588394e+10	6.780293e+03
1.667869e+10	6.829558e+03
1.750030e+10	6.879180e+03
1.834950e+10	6.929163e+03
1.922705e+10	6.979510e+03
2.013369e+10	7.030222e+03
2.107022e+10	7.081303e+03
2.203741e+10	7.132754e+03
2.303610e+10	7.184580e+03
2.406712e+10	7.236782e+03
2.513130e+10	7.289363e+03
2.622953e+10	7.342327e+03
2.736269e+10	7.395675e+03
2.853169e+10	7.449411e+03
2.973746e+10	7.503538e+03
3.098094e+10	7.558057e+03
3.226311e+10	7.612973e+03
3.358495e+10	7.668288e+03
3.494747e+10	7.724004e+03
3.635171e+10	7.780126e+03
3.779872e+10	7.836655e+03
3.928957e+10	7.893595e+03
4.082537e+10	7.950949e+03
4.240724e+10	8.008720e+03
4.403632e+10	8.066910e+03
4.571379e+10	8.125523e+03
4.744083e+10	8.184562e+03
4.921867e+10	8.244030e+03
5.104856e+10	8.303930e+03
5.293176e+10	8.364265e+03
5.486957e+10	8.425038e+03
5.686331e+10	8.486253e+03
5.891434e+10	8.547913e+03
6.102402e+10	8.610021e+03
6.319378e+10	8.672580e+03
6.542503e+10	8.735594e+03
6.771925e+10	8.799066e+03
7.007792e+10	8.862999e+03
7.250257e+10	8.927396e+03
7.499476e+10	8.992261e+03
7.755605e+10	9.057598e+03
8.018808e+10	9.123409e+03
8.289248e+10	9.189698e+03
8.567094e+10	9.256469e+03
8.852517e+10	9.323725e+03
9.145692e+10	9.391470e+03
9.446796e+10	9.459707e+03
9.756010e+10	9.528440e+03
1.007352e+11	9.597673e+03
1.039952e+11	9.667408e+03
1.073419e+11	9.737650e+03
1.107773e+11	9.808402e+03
1.143035e+11	9.879669e+03
1.179224e+11	9.951453e+03
1.216361e+11	1.002376e+04
1.254468e+11	1.009659e+04
1.293566e+11	1.016995e+04
1.333677e+11	1.024384e+04
1.374823e+11	1.031827e+04
1.417026e+11	1.039325e+04
1.460311e+11	1.046876e+04
1.504701e+11	1.054483e+04
1.550219e+11	1.062144e+04
1.596891e+11	1.069862e+04
1.644741e+11	1.077635e+04
1.693794e+11	1.085465e+04
1.744077e+11	1.093352e+04
1.795616e+11	1.101296e+04
1.848437e+11	1.109298e+04
1.902569e+11	1.117358e+04
1.958038e+11	1.125477e+04
2.014873e+11	1.133654e+04
2.073103e+11	1.141891e+04
2.132757e+11	1.150188e+04
2.193865e+11	1.158545e+04
2.256457e+11	1.166963e+04
2.320565e+11	1.175442e+04
2.386220e+11	1.183982e+04
2.453453e+11	1.192585e+04
2.522297e+11	1.201250e+04
2.592786e+11	1.209978e+04
2.664953e+11	1.218770e+04
2.738833e+11	1.227625e+04
2.814460e+11	1.236545e+04
2.891870e+11	1.245530e+04
2.971099e+11	1.254579e+04
3.052184e+11	1.263695e+04
3.135163e+11	1.272877e+04
3.220072e+11	1.282125e+04
3.306951e+11	1.291441e+04
3.395840e+11	1.300825e+04
3.486777e+11	1.310276e+04
3.579805e+11	1.319796e+04
3.674963e+11	1.329386e+04
3.772295e+11	1.339045e+04
3.871843e+11	1.348774e+04
3.973651e+11	1.358574e+04
4.077762e+11	1.368446e+04
4.184221e+11	1.378388e+04
4.293075e+11	1.388404e+04
4.404370e+11	1.398492e+04
4.518153e+11	1.408653e+04
4.634471e+11	1.418888e+04
4.753374e+11	1.429197e+04
4.874911e+11	1.439582e+04
