# Oganov & Ono (2004) MgSiO3 (ppv) EOS (https://ui.adsabs.harvard.edu/abs/2004Natur.430..445O/abstract)
# See also Table 2 in Wagner et al. (2012)
# Vinet fit to experimental data
# Pressure (Pa)	Density (kg m-3)
1.000000e+00	3.977600e+03
5.128723e+04	3.977601e+03
5.128741e+05	3.977610e+03
5.128927e+06	3.977700e+03
5.201059e+08	3.987700e+03
1.039212e+09	3.997700e+03
1.527412e+09	4.007033e+03
3.102355e+09	4.036683e+03
4.725804e+09	4.066553e+03
6.398750e+09	4.096644e+03
8.122198e+09	4.126958e+03
9.897169e+09	4.157496e+03
1.172470e+10	4.188260e+03
1.360585e+10	4.219252e+03
1.554167e+10	4.250473e+03
1.753327e+10	4.281925e+03
1.958174e+10	4.313609e+03
2.168819e+10	4.345528e+03
2.385376e+10	4.377684e+03
2.607961e+10	4.410077e+03
2.836690e+10	4.442710e+03
3.071683e+10	4.475584e+03
3.313058e+10	4.508702e+03
3.560940e+10	4.542065e+03
3.815451e+10	4.575675e+03
4.076717e+10	4.609533e+03
4.344866e+10	4.643642e+03
4.620028e+10	4.678003e+03
4.902334e+10	4.712619e+03
5.191917e+10	4.747490e+03
5.488912e+10	4.782620e+03
5.793456e+10	4.818010e+03
6.105690e+10	4.853661e+03
6.425753e+10	4.889576e+03
6.753788e+10	4.925757e+03
7.089942e+10	4.962206e+03
7.434360e+10	4.998925e+03
7.787193e+10	5.035915e+03
8.148591e+10	5.073179e+03
8.518708e+10	5.110719e+03
8.897699e+10	5.148536e+03
9.285723e+10	5.186633e+03
9.682939e+10	5.225013e+03
1.008951e+11	5.263676e+03
1.050560e+11	5.302625e+03
1.093137e+11	5.341863e+03
1.136700e+11	5.381391e+03
1.181265e+11	5.421211e+03
1.226850e+11	5.461326e+03
1.273473e+11	5.501738e+03
1.321150e+11	5.542449e+03
1.369901e+11	5.583461e+03
1.419744e+11	5.624776e+03
1.470697e+11	5.666398e+03
1.522779e+11	5.708327e+03
1.576008e+11	5.750566e+03
1.630405e+11	5.793119e+03
1.685989e+11	5.835986e+03
1.742780e+11	5.879170e+03
1.800797e+11	5.922673e+03
1.860061e+11	5.966499e+03
1.920592e+11	6.010649e+03
1.982413e+11	6.055126e+03
2.045542e+11	6.099931e+03
2.110003e+11	6.145069e+03
2.175816e+11	6.190540e+03
2.243004e+11	6.236348e+03
2.311588e+11	6.282494e+03
2.381592e+11	6.328983e+03
2.453038e+11	6.375815e+03
2.525949e+11	6.422993e+03
2.600348e+11	6.470521e+03
2.676260e+11	6.518401e+03
2.753708e+11	6.566635e+03
2.832717e+11	6.615225e+03
2.913310e+11	6.664176e+03
2.995513e+11	6.713488e+03
3.079352e+11	6.763165e+03
3.164851e+11	6.813210e+03
3.252036e+11	6.863626e+03
3.340934e+11	6.914414e+03
3.431571e+11	6.965578e+03
3.523973e+11	7.017121e+03
3.618168e+11	7.069045e+03
3.714184e+11	7.121353e+03
3.812047e+11	7.174049e+03
3.911786e+11	7.227134e+03
4.013430e+11	7.280612e+03
4.117007e+11	7.334486e+03
4.222547e+11	7.388759e+03
4.330078e+11	7.443433e+03
4.439631e+11	7.498512e+03
4.551236e+11	7.553998e+03
4.664922e+11	7.609895e+03
4.780722e+11	7.666205e+03
4.898667e+11	7.722932e+03
5.018787e+11	7.780079e+03
5.141116e+11	7.837649e+03
5.265684e+11	7.895645e+03
5.392526e+11	7.954070e+03
5.521674e+11	8.012927e+03
5.653161e+11	8.072220e+03
5.787022e+11	8.131951e+03
5.923291e+11	8.192125e+03
6.062002e+11	8.252744e+03
6.203191e+11	8.313811e+03
6.346892e+11	8.375330e+03
6.493143e+11	8.437304e+03
6.641978e+11	8.499737e+03
6.793435e+11	8.562632e+03
6.947551e+11	8.625993e+03
7.104363e+11	8.689822e+03
7.263909e+11	8.754124e+03
7.426227e+11	8.818901e+03
7.591358e+11	8.884158e+03
7.759338e+11	8.949897e+03
7.930209e+11	9.016123e+03
8.104010e+11	9.082839e+03
8.280781e+11	9.150049e+03
8.460565e+11	9.217756e+03
8.643401e+11	9.285964e+03
8.829332e+11	9.354677e+03
9.018401e+11	9.423898e+03
9.210650e+11	9.493631e+03
9.406122e+11	9.563881e+03
9.604861e+11	9.634650e+03
9.806911e+11	9.705943e+03
1.001232e+12	9.777764e+03
1.022113e+12	9.850115e+03
1.043338e+12	9.923003e+03
1.064913e+12	9.996429e+03
1.086841e+12	1.007040e+04
1.109128e+12	1.014492e+04
1.131779e+12	1.021999e+04
1.154798e+12	1.029561e+04
1.178190e+12	1.037179e+04
1.201960e+12	1.044854e+04
1.226113e+12	1.052586e+04
1.250654e+12	1.060374e+04
1.275588e+12	1.068221e+04
1.300920e+12	1.076125e+04
1.326655e+12	1.084088e+04
1.352800e+12	1.092110e+04
1.379357e+12	1.100191e+04
1.406334e+12	1.108332e+04
1.433736e+12	1.116533e+04
1.461568e+12	1.124795e+04
1.489835e+12	1.133119e+04
1.518543e+12	1.141503e+04
1.547698e+12	1.149950e+04
1.577306e+12	1.158459e+04
1.607371e+12	1.167031e+04
1.637901e+12	1.175667e+04
1.668900e+12	1.184366e+04
1.700375e+12	1.193130e+04
1.732331e+12	1.201959e+04
1.764775e+12	1.210853e+04
1.797713e+12	1.219813e+04
1.831151e+12	1.228839e+04
1.865094e+12	1.237932e+04
1.899550e+12	1.247092e+04
1.934525e+12	1.256320e+04
1.970025e+12	1.265617e+04
2.006056e+12	1.274982e+04
2.042626e+12	1.284416e+04
2.079740e+12	1.293920e+04
2.117405e+12	1.303495e+04
2.155628e+12	1.313140e+04
2.194416e+12	1.322857e+04
2.233776e+12	1.332646e+04
2.273714e+12	1.342507e+04
2.314237e+12	1.352441e+04
2.355353e+12	1.362448e+04
2.397069e+12	1.372530e+04
2.439392e+12	1.382686e+04
2.482328e+12	1.392918e+04
2.525886e+12	1.403225e+04
2.570073e+12	1.413608e+04
2.614896e+12	1.424068e+04
2.660363e+12	1.434606e+04
2.706481e+12	1.445222e+04
2.753258e+12	1.455916e+04
2.800702e+12	1.466689e+04
2.848820e+12	1.477542e+04
2.897621e+12	1.488475e+04
2.947112e+12	1.499489e+04
2.997302e+12	1.510585e+04
3.048199e+12	1.521763e+04
3.099810e+12	1.533023e+04
3.152144e+12	1.544367e+04
3.205210e+12	1.555795e+04
3.259015e+12	1.567307e+04
3.313568e+12	1.578905e+04
3.368879e+12	1.590588e+04
3.424955e+12	1.602358e+04
3.481805e+12	1.614215e+04
3.539438e+12	1.626159e+04
3.597863e+12	1.638192e+04
3.657089e+12	1.650314e+04
3.717125e+12	1.662526e+04
3.777980e+12	1.674828e+04
3.839663e+12	1.687221e+04
3.902184e+12	1.699706e+04
3.965552e+12	1.712283e+04
4.029777e+12	1.724953e+04
4.094867e+12	1.737718e+04
4.160833e+12	1.750576e+04
4.227684e+12	1.763530e+04
4.295430e+12	1.776579e+04
4.364082e+12	1.789725e+04
4.433648e+12	1.802968e+04
4.504140e+12	1.816310e+04
4.575567e+12	1.829750e+04
4.647939e+12	1.843289e+04
4.721267e+12	1.856929e+04
4.795562e+12	1.870670e+04
4.870833e+12	1.884512e+04
4.947092e+12	1.898457e+04
5.024348e+12	1.912504e+04
5.102614e+12	1.926656e+04
5.181900e+12	1.940913e+04
5.262216e+12	1.955275e+04
5.343574e+12	1.969743e+04
5.425985e+12	1.984319e+04
5.509461e+12	1.999002e+04
5.594012e+12	2.013794e+04
5.679650e+12	2.028695e+04
5.766388e+12	2.043707e+04
5.854235e+12	2.058829e+04
5.943205e+12	2.074064e+04
6.033308e+12	2.089411e+04
6.124558e+12	2.104872e+04
6.216965e+12	2.120447e+04
6.310543e+12	2.136138e+04
6.405303e+12	2.151945e+04
6.501258e+12	2.167868e+04
6.598421e+12	2.183910e+04
6.696803e+12	2.200070e+04
6.796418e+12	2.216350e+04
6.897278e+12	2.232750e+04
6.999396e+12	2.249271e+04
7.102786e+12	2.265915e+04
7.207460e+12	2.282682e+04
7.313432e+12	2.299573e+04
7.420714e+12	2.316589e+04
7.529321e+12	2.333731e+04
7.639266e+12	2.351000e+04
7.750562e+12	2.368396e+04
7.863224e+12	2.385922e+04
7.977264e+12	2.403577e+04
8.092699e+12	2.421362e+04
8.209540e+12	2.439279e+04
8.327803e+12	2.457329e+04
8.447502e+12	2.475512e+04
8.568651e+12	2.493830e+04
8.691265e+12	2.512284e+04
8.815359e+12	2.530874e+04
8.940947e+12	2.549601e+04
9.068044e+12	2.568467e+04
9.196666e+12	2.587473e+04
9.326828e+12	2.606620e+04
9.458544e+12	2.625908e+04
9.591831e+12	2.645338e+04
9.726704e+12	2.664913e+04
9.863178e+12	2.684632e+04
1.000127e+13	2.704498e+04
1.014099e+13	2.724510e+04
1.028237e+13	2.744670e+04
1.042541e+13	2.764980e+04
1.057013e+13	2.785440e+04
1.071655e+13	2.806051e+04
1.086468e+13	2.826815e+04
1.101454e+13	2.847732e+04
1.116616e+13	2.868804e+04
1.131954e+13	2.890032e+04
1.147470e+13	2.911418e+04
1.163165e+13	2.932961e+04
1.179043e+13	2.954664e+04
1.195104e+13	2.976527e+04
1.211350e+13	2.998553e+04
1.227783e+13	3.020741e+04
1.244405e+13	3.043093e+04
1.261218e+13	3.065611e+04
1.278223e+13	3.088295e+04
1.295421e+13	3.111148e+04
1.312816e+13	3.134169e+04
1.330409e+13	3.157361e+04
1.348202e+13	3.180724e+04
1.366196e+13	3.204260e+04
1.384394e+13	3.227971e+04
1.402797e+13	3.251856e+04
1.421408e+13	3.275919e+04
1.440228e+13	3.300160e+04
1.459259e+13	3.324580e+04
1.478504e+13	3.349180e+04
1.497964e+13	3.373963e+04
1.517641e+13	3.398929e+04
1.537537e+13	3.424080e+04
1.557654e+13	3.449417e+04
1.577995e+13	3.474941e+04
1.598562e+13	3.500655e+04
1.619356e+13	3.526558e+04
1.640379e+13	3.552653e+04
1.661634e+13	3.578942e+04
1.683123e+13	3.605425e+04
1.704848e+13	3.632103e+04
1.726811e+13	3.658980e+04
1.749015e+13	3.686055e+04
1.771461e+13	3.713330e+04
1.794151e+13	3.740808e+04
1.817089e+13	3.768488e+04
1.840275e+13	3.796374e+04
1.863713e+13	3.824465e+04
1.887405e+13	3.852765e+04
1.911353e+13	3.881274e+04
1.935559e+13	3.909994e+04
1.960025e+13	3.938927e+04
1.984755e+13	3.968073e+04
2.009749e+13	3.997436e+04
2.035012e+13	4.027015e+04
2.060544e+13	4.056814e+04
2.086349e+13	4.086833e+04
2.112429e+13	4.117074e+04
2.138786e+13	4.147539e+04
2.165423e+13	4.178229e+04
2.192342e+13	4.209146e+04
2.219546e+13	4.240292e+04
2.247037e+13	4.271669e+04
2.274818e+13	4.303278e+04
2.302891e+13	4.335121e+04
2.331259e+13	4.367199e+04
2.359925e+13	4.399515e+04
2.388891e+13	4.432069e+04
2.418159e+13	4.464865e+04
2.447733e+13	4.497903e+04
2.477614e+13	4.531186e+04
2.507807e+13	4.564715e+04
2.538313e+13	4.598493e+04
2.569134e+13	4.632520e+04
2.600275e+13	4.666799e+04
2.631737e+13	4.701331e+04
2.663524e+13	4.736120e+04
2.695638e+13	4.771165e+04
2.728081e+13	4.806470e+04
2.760858e+13	4.842036e+04
2.793970e+13	4.877866e+04
2.827421e+13	4.913960e+04
2.861213e+13	4.950321e+04
2.895349e+13	4.986952e+04
2.929832e+13	5.023854e+04
2.964666e+13	5.061028e+04
2.999853e+13	5.098478e+04
3.035396e+13	5.136205e+04
3.071298e+13	5.174211e+04
3.107563e+13	5.212498e+04
3.144192e+13	5.251069e+04
3.181190e+13	5.289925e+04
3.218559e+13	5.329069e+04
3.256303e+13	5.368502e+04
3.294425e+13	5.408227e+04
3.332927e+13	5.448246e+04
3.371814e+13	5.488561e+04
3.411087e+13	5.529174e+04
3.450751e+13	5.570088e+04
