# Graphite EOS from Seager et al. (2007)
# Fitted to 3rd order BME EOS, rho0=2.25 g/cm3, K0 = 33.8 GPa, K'0 = 8.9
# Pressure (Pa)	Density (kg/m^3)
1.0000000000e+00	2.2500000000e+03
1.3171238692e+07	2.2508754377e+03
2.6382943680e+07	2.2517508754e+03
3.9635158197e+07	2.2526263132e+03
5.2927925485e+07	2.2535017509e+03
6.6261288790e+07	2.2543771886e+03
7.9635291367e+07	2.2552526263e+03
9.3049976476e+07	2.2561280640e+03
1.0650538738e+08	2.2570035018e+03
1.2000156737e+08	2.2578789395e+03
1.3353855970e+08	2.2587543772e+03
1.4711640768e+08	2.2596298149e+03
1.6073515459e+08	2.2605052526e+03
1.7439484374e+08	2.2613806903e+03
1.8809551842e+08	2.2622561281e+03
2.0183722197e+08	2.2631315658e+03
2.1561999768e+08	2.2640070035e+03
2.2944388890e+08	2.2648824412e+03
2.4330893895e+08	2.2657578789e+03
2.5721519118e+08	2.2666333167e+03
2.7116268893e+08	2.2675087544e+03
2.8515147554e+08	2.2683841921e+03
2.9918159440e+08	2.2692596298e+03
3.1325308884e+08	2.2701350675e+03
3.2736600226e+08	2.2710105053e+03
3.4152037803e+08	2.2718859430e+03
3.5571625953e+08	2.2727613807e+03
3.6995369016e+08	2.2736368184e+03
3.8423271332e+08	2.2745122561e+03
3.9855337240e+08	2.2753876938e+03
4.1291571082e+08	2.2762631316e+03
4.2731977201e+08	2.2771385693e+03
4.4176559937e+08	2.2780140070e+03
4.5625323635e+08	2.2788894447e+03
4.7078272639e+08	2.2797648824e+03
4.8535411291e+08	2.2806403202e+03
4.9996743939e+08	2.2815157579e+03
5.1462274926e+08	2.2823911956e+03
5.2932008601e+08	2.2832666333e+03
5.4405949309e+08	2.2841420710e+03
5.5884101398e+08	2.2850175088e+03
5.7366469216e+08	2.2858929465e+03
5.8853057113e+08	2.2867683842e+03
6.0343869438e+08	2.2876438219e+03
6.1838910542e+08	2.2885192596e+03
6.3338184774e+08	2.2893946973e+03
6.4841696487e+08	2.2902701351e+03
6.6349450032e+08	2.2911455728e+03
6.7861449763e+08	2.2920210105e+03
6.9377700032e+08	2.2928964482e+03
7.0898205195e+08	2.2937718859e+03
7.2422969605e+08	2.2946473237e+03
7.3951997618e+08	2.2955227614e+03
7.5485293590e+08	2.2963981991e+03
7.7022861878e+08	2.2972736368e+03
7.8564706838e+08	2.2981490745e+03
8.0110832829e+08	2.2990245123e+03
8.1661244210e+08	2.2998999500e+03
8.3215945338e+08	2.3007753877e+03
8.4774940575e+08	2.3016508254e+03
8.6338234281e+08	2.3025262631e+03
8.7905830817e+08	2.3034017009e+03
8.9477734544e+08	2.3042771386e+03
9.1053949825e+08	2.3051525763e+03
9.2634481023e+08	2.3060280140e+03
9.4219332501e+08	2.3069034517e+03
9.5808508624e+08	2.3077788894e+03
9.7402013757e+08	2.3086543272e+03
9.8999852265e+08	2.3095297649e+03
1.0060202851e+09	2.3104052026e+03
1.0220854687e+09	2.3112806403e+03
1.0381941170e+09	2.3121560780e+03
1.0543462738e+09	2.3130315158e+03
1.0705419827e+09	2.3139069535e+03
1.0867812874e+09	2.3147823912e+03
1.1030642316e+09	2.3156578289e+03
1.1193908591e+09	2.3165332666e+03
1.1357612135e+09	2.3174087044e+03
1.1521753385e+09	2.3182841421e+03
1.1686332779e+09	2.3191595798e+03
1.1851350754e+09	2.3200350175e+03
1.2016807748e+09	2.3209104552e+03
1.2182704198e+09	2.3217858929e+03
1.2349040541e+09	2.3226613307e+03
1.2515817215e+09	2.3235367684e+03
1.2683034657e+09	2.3244122061e+03
1.2850693306e+09	2.3252876438e+03
1.3018793599e+09	2.3261630815e+03
1.3187335973e+09	2.3270385193e+03
1.3356320868e+09	2.3279139570e+03
1.3525748720e+09	2.3287893947e+03
1.3695619967e+09	2.3296648324e+03
1.3865935049e+09	2.3305402701e+03
1.4036694402e+09	2.3314157079e+03
1.4207898465e+09	2.3322911456e+03
1.4379547676e+09	2.3331665833e+03
1.4551642474e+09	2.3340420210e+03
1.4724183297e+09	2.3349174587e+03
1.4897170583e+09	2.3357928964e+03
1.5070604772e+09	2.3366683342e+03
1.5244486300e+09	2.3375437719e+03
1.5418815608e+09	2.3384192096e+03
1.5593593133e+09	2.3392946473e+03
1.5768819315e+09	2.3401700850e+03
1.5944494592e+09	2.3410455228e+03
1.6120619403e+09	2.3419209605e+03
1.6297194188e+09	2.3427963982e+03
1.6474219384e+09	2.3436718359e+03
1.6651695432e+09	2.3445472736e+03
1.6829622770e+09	2.3454227114e+03
1.7008001837e+09	2.3462981491e+03
1.7186833073e+09	2.3471735868e+03
1.7366116916e+09	2.3480490245e+03
1.7545853807e+09	2.3489244622e+03
1.7726044185e+09	2.3497998999e+03
1.7906688489e+09	2.3506753377e+03
1.8087787159e+09	2.3515507754e+03
1.8269340634e+09	2.3524262131e+03
1.8451349354e+09	2.3533016508e+03
1.8633813759e+09	2.3541770885e+03
1.8816734289e+09	2.3550525263e+03
1.9000111383e+09	2.3559279640e+03
1.9183945481e+09	2.3568034017e+03
1.9368237023e+09	2.3576788394e+03
1.9552986450e+09	2.3585542771e+03
1.9738194201e+09	2.3594297149e+03
1.9923860717e+09	2.3603051526e+03
2.0109986438e+09	2.3611805903e+03
2.0296571803e+09	2.3620560280e+03
2.0483617254e+09	2.3629314657e+03
2.0671123231e+09	2.3638069035e+03
2.0859090174e+09	2.3646823412e+03
2.1047518524e+09	2.3655577789e+03
2.1236408721e+09	2.3664332166e+03
2.1425761207e+09	2.3673086543e+03
2.1615576420e+09	2.3681840920e+03
2.1805854804e+09	2.3690595298e+03
2.1996596797e+09	2.3699349675e+03
2.2187802842e+09	2.3708104052e+03
2.2379473379e+09	2.3716858429e+03
2.2571608849e+09	2.3725612806e+03
2.2764209693e+09	2.3734367184e+03
2.2957276353e+09	2.3743121561e+03
2.3150809269e+09	2.3751875938e+03
2.3344808883e+09	2.3760630315e+03
2.3539275636e+09	2.3769384692e+03
2.3734209969e+09	2.3778139070e+03
2.3929612324e+09	2.3786893447e+03
2.4125483142e+09	2.3795647824e+03
2.4321822865e+09	2.3804402201e+03
2.4518631935e+09	2.3813156578e+03
2.4715910793e+09	2.3821910955e+03
2.4913659880e+09	2.3830665333e+03
2.5111879639e+09	2.3839419710e+03
2.5310570512e+09	2.3848174087e+03
2.5509732940e+09	2.3856928464e+03
2.5709367366e+09	2.3865682841e+03
2.5909474231e+09	2.3874437219e+03
2.6110053977e+09	2.3883191596e+03
2.6311107047e+09	2.3891945973e+03
2.6512633883e+09	2.3900700350e+03
2.6714634926e+09	2.3909454727e+03
2.6917110620e+09	2.3918209105e+03
2.7120061407e+09	2.3926963482e+03
2.7323487730e+09	2.3935717859e+03
2.7527390029e+09	2.3944472236e+03
2.7731768749e+09	2.3953226613e+03
2.7936624332e+09	2.3961980990e+03
2.8141957221e+09	2.3970735368e+03
2.8347767858e+09	2.3979489745e+03
2.8554056686e+09	2.3988244122e+03
2.8760824147e+09	2.3996998499e+03
2.8968070686e+09	2.4005752876e+03
2.9175796745e+09	2.4014507254e+03
2.9384002766e+09	2.4023261631e+03
2.9592689193e+09	2.4032016008e+03
2.9801856470e+09	2.4040770385e+03
3.0011505038e+09	2.4049524762e+03
3.0221635343e+09	2.4058279140e+03
3.0432247826e+09	2.4067033517e+03
3.0643342931e+09	2.4075787894e+03
3.0854921103e+09	2.4084542271e+03
3.1066982783e+09	2.4093296648e+03
3.1279528416e+09	2.4102051026e+03
3.1492558446e+09	2.4110805403e+03
3.1706073316e+09	2.4119559780e+03
3.1920073469e+09	2.4128314157e+03
3.2134559351e+09	2.4137068534e+03
3.2349531403e+09	2.4145822911e+03
3.2564990071e+09	2.4154577289e+03
3.2780935799e+09	2.4163331666e+03
3.2997369029e+09	2.4172086043e+03
3.3214290208e+09	2.4180840420e+03
3.3431699778e+09	2.4189594797e+03
3.3649598183e+09	2.4198349175e+03
3.3867985869e+09	2.4207103552e+03
3.4086863279e+09	2.4215857929e+03
3.4306230858e+09	2.4224612306e+03
3.4526089050e+09	2.4233366683e+03
3.4746438300e+09	2.4242121061e+03
3.4967279052e+09	2.4250875438e+03
3.5188611751e+09	2.4259629815e+03
3.5410436842e+09	2.4268384192e+03
3.5632754768e+09	2.4277138569e+03
3.5855565976e+09	2.4285892946e+03
3.6078870910e+09	2.4294647324e+03
3.6302670014e+09	2.4303401701e+03
3.6526963734e+09	2.4312156078e+03
3.6751752515e+09	2.4320910455e+03
3.6977036802e+09	2.4329664832e+03
3.7202817040e+09	2.4338419210e+03
3.7429093674e+09	2.4347173587e+03
3.7655867149e+09	2.4355927964e+03
3.7883137911e+09	2.4364682341e+03
3.8110906405e+09	2.4373436718e+03
3.8339173076e+09	2.4382191096e+03
3.8567938371e+09	2.4390945473e+03
3.8797202733e+09	2.4399699850e+03
3.9026966610e+09	2.4408454227e+03
3.9257230447e+09	2.4417208604e+03
3.9487994689e+09	2.4425962981e+03
3.9719259782e+09	2.4434717359e+03
3.9951026172e+09	2.4443471736e+03
4.0183294305e+09	2.4452226113e+03
4.0416064627e+09	2.4460980490e+03
4.0649337584e+09	2.4469734867e+03
4.0883113621e+09	2.4478489245e+03
4.1117393185e+09	2.4487243622e+03
4.1352176723e+09	2.4495997999e+03
4.1587464679e+09	2.4504752376e+03
4.1823257502e+09	2.4513506753e+03
4.2059555636e+09	2.4522261131e+03
4.2296359528e+09	2.4531015508e+03
4.2533669626e+09	2.4539769885e+03
4.2771486374e+09	2.4548524262e+03
4.3009810220e+09	2.4557278639e+03
4.3248641611e+09	2.4566033017e+03
4.3487980993e+09	2.4574787394e+03
4.3727828812e+09	2.4583541771e+03
4.3968185517e+09	2.4592296148e+03
