# SiC (rock-salt structure) EOS
# low-density (below 7000.826816 kg/m^3) data come from Miozzi et al. (2018)
# high-density (above 7000.826816 kg/m^3) data come from Wilson & Militzer (2014)
# Pressure (Pa)	Density (kg/m^3)
1.0000000000e+00	4.0169516992e+03
2.4112082837e+08	4.0199385612e+03
4.8265355490e+08	4.0229254232e+03
7.2459806562e+08	4.0259122851e+03
9.6695424646e+08	4.0288991471e+03
1.2097219833e+09	4.0318860091e+03
1.4529011618e+09	4.0348728711e+03
1.6964916677e+09	4.0378597331e+03
1.9404933866e+09	4.0408465950e+03
2.1849062039e+09	4.0438334570e+03
2.4297300052e+09	4.0468203190e+03
2.6749646756e+09	4.0498071810e+03
2.9206101006e+09	4.0527940430e+03
3.1666661651e+09	4.0557809049e+03
3.4131327544e+09	4.0587677669e+03
3.6600097534e+09	4.0617546289e+03
3.9072970470e+09	4.0647414909e+03
4.1549945201e+09	4.0677283529e+03
4.4031020574e+09	4.0707152148e+03
4.6516195436e+09	4.0737020768e+03
4.9005468633e+09	4.0766889388e+03
5.1498839011e+09	4.0796758008e+03
5.3996305412e+09	4.0826626627e+03
5.6497866682e+09	4.0856495247e+03
5.9003521663e+09	4.0886363867e+03
6.1513269197e+09	4.0916232487e+03
6.4027108126e+09	4.0946101107e+03
6.6545037289e+09	4.0975969726e+03
6.9067055528e+09	4.1005838346e+03
7.1593161680e+09	4.1035706966e+03
7.4123354584e+09	4.1065575586e+03
7.6657633077e+09	4.1095444206e+03
7.9195995998e+09	4.1125312825e+03
8.1738442180e+09	4.1155181445e+03
8.4284970461e+09	4.1185050065e+03
8.6835579675e+09	4.1214918685e+03
8.9390268655e+09	4.1244787305e+03
9.1949036235e+09	4.1274655924e+03
9.4511881247e+09	4.1304524544e+03
9.7078802523e+09	4.1334393164e+03
9.9649798894e+09	4.1364261784e+03
1.0222486919e+10	4.1394130403e+03
1.0480401224e+10	4.1423999023e+03
1.0738722688e+10	4.1453867643e+03
1.0997451193e+10	4.1483736263e+03
1.1256586622e+10	4.1513604883e+03
1.1516128858e+10	4.1543473502e+03
1.1776077783e+10	4.1573342122e+03
1.2036433281e+10	4.1603210742e+03
1.2297195232e+10	4.1633079362e+03
1.2558363521e+10	4.1662947982e+03
1.2819938029e+10	4.1692816601e+03
1.3081918638e+10	4.1722685221e+03
1.3344305232e+10	4.1752553841e+03
1.3607097691e+10	4.1782422461e+03
1.3870295899e+10	4.1812291081e+03
1.4133899737e+10	4.1842159700e+03
1.4397909087e+10	4.1872028320e+03
1.4662323831e+10	4.1901896940e+03
1.4927143852e+10	4.1931765560e+03
1.5192369030e+10	4.1961634179e+03
1.5457999248e+10	4.1991502799e+03
1.5724034387e+10	4.2021371419e+03
1.5990474329e+10	4.2051240039e+03
1.6257318956e+10	4.2081108659e+03
1.6524568149e+10	4.2110977278e+03
1.6792221789e+10	4.2140845898e+03
1.7060279758e+10	4.2170714518e+03
1.7328741938e+10	4.2200583138e+03
1.7597608209e+10	4.2230451758e+03
1.7866878453e+10	4.2260320377e+03
1.8136552551e+10	4.2290188997e+03
1.8406630384e+10	4.2320057617e+03
1.8677111833e+10	4.2349926237e+03
1.8947996780e+10	4.2379794857e+03
1.9219285104e+10	4.2409663476e+03
1.9490976688e+10	4.2439532096e+03
1.9763071412e+10	4.2469400716e+03
2.0035569156e+10	4.2499269336e+03
2.0308469802e+10	4.2529137955e+03
2.0581773230e+10	4.2559006575e+03
2.0855479321e+10	4.2588875195e+03
2.1129587955e+10	4.2618743815e+03
2.1404099013e+10	4.2648612435e+03
2.1679012376e+10	4.2678481054e+03
2.1954327923e+10	4.2708349674e+03
2.2230045536e+10	4.2738218294e+03
2.2506165095e+10	4.2768086914e+03
2.2782686479e+10	4.2797955534e+03
2.3059609569e+10	4.2827824153e+03
2.3336934246e+10	4.2857692773e+03
2.3614660390e+10	4.2887561393e+03
2.3892787880e+10	4.2917430013e+03
2.4171316596e+10	4.2947298633e+03
2.4450246420e+10	4.2977167252e+03
2.4729577230e+10	4.3007035872e+03
2.5009308906e+10	4.3036904492e+03
2.5289441329e+10	4.3066773112e+03
2.5569974379e+10	4.3096641731e+03
2.5850907934e+10	4.3126510351e+03
2.6132241875e+10	4.3156378971e+03
2.6413976081e+10	4.3186247591e+03
2.6696110433e+10	4.3216116211e+03
2.6978644809e+10	4.3245984830e+03
2.7261579090e+10	4.3275853450e+03
2.7544913155e+10	4.3305722070e+03
2.7828646882e+10	4.3335590690e+03
2.8112780153e+10	4.3365459310e+03
2.8397312845e+10	4.3395327929e+03
2.8682244840e+10	4.3425196549e+03
2.8967576014e+10	4.3455065169e+03
2.9253306249e+10	4.3484933789e+03
2.9539435424e+10	4.3514802409e+03
2.9825963416e+10	4.3544671028e+03
3.0112890107e+10	4.3574539648e+03
3.0400215374e+10	4.3604408268e+03
3.0687939097e+10	4.3634276888e+03
3.0976061155e+10	4.3664145507e+03
3.1264581427e+10	4.3694014127e+03
3.1553499792e+10	4.3723882747e+03
3.1842816128e+10	4.3753751367e+03
3.2132530315e+10	4.3783619987e+03
3.2422642232e+10	4.3813488606e+03
3.2713151757e+10	4.3843357226e+03
3.3004058769e+10	4.3873225846e+03
3.3295363147e+10	4.3903094466e+03
3.3587064770e+10	4.3932963086e+03
3.3879163516e+10	4.3962831705e+03
3.4171659263e+10	4.3992700325e+03
3.4464551892e+10	4.4022568945e+03
3.4757841279e+10	4.4052437565e+03
3.5051527304e+10	4.4082306185e+03
3.5345609845e+10	4.4112174804e+03
3.5640088781e+10	4.4142043424e+03
3.5934963990e+10	4.4171912044e+03
3.6230235350e+10	4.4201780664e+03
3.6525902741e+10	4.4231649283e+03
3.6821966039e+10	4.4261517903e+03
3.7118425124e+10	4.4291386523e+03
3.7415279874e+10	4.4321255143e+03
3.7712530167e+10	4.4351123763e+03
3.8010175881e+10	4.4380992382e+03
3.8308216894e+10	4.4410861002e+03
3.8606653086e+10	4.4440729622e+03
3.8905484333e+10	4.4470598242e+03
3.9204710514e+10	4.4500466862e+03
