# SiC (zinc-blende structure) EOS from Miozzi et al. (2018)
# Note that the zinc-blende to rock-salt phase transition occurs around 65-70 GPa
# Should switch to rock-salt EOS above that pressure
# Pressure (Pa)	Density (kg/m^3)
1.0000000000e+00	3.2164721939e+03
5.4641330542e+07	3.2172565061e+03
1.0932395763e+08	3.2180408182e+03
1.6404788942e+08	3.2188251303e+03
2.1881313405e+08	3.2196094424e+03
2.7361969969e+08	3.2203937545e+03
3.2846759449e+08	3.2211780666e+03
3.8335682658e+08	3.2219623788e+03
4.3828740412e+08	3.2227466909e+03
4.9325933525e+08	3.2235310030e+03
5.4827262813e+08	3.2243153151e+03
6.0332729088e+08	3.2250996272e+03
6.5842333166e+08	3.2258839394e+03
7.1356075861e+08	3.2266682515e+03
7.6873957986e+08	3.2274525636e+03
8.2395980356e+08	3.2282368757e+03
8.7922143784e+08	3.2290211878e+03
9.3452449083e+08	3.2298054999e+03
9.8986897068e+08	3.2305898121e+03
1.0452548855e+09	3.2313741242e+03
1.1006822435e+09	3.2321584363e+03
1.1561510527e+09	3.2329427484e+03
1.2116613213e+09	3.2337270605e+03
1.2672130574e+09	3.2345113727e+03
1.3228062691e+09	3.2352956848e+03
1.3784409646e+09	3.2360799969e+03
1.4341171520e+09	3.2368643090e+03
1.4898348393e+09	3.2376486211e+03
1.5455940349e+09	3.2384329332e+03
1.6013947467e+09	3.2392172454e+03
1.6572369828e+09	3.2400015575e+03
1.7131207515e+09	3.2407858696e+03
1.7690460607e+09	3.2415701817e+03
1.8250129187e+09	3.2423544938e+03
1.8810213336e+09	3.2431388060e+03
1.9370713134e+09	3.2439231181e+03
1.9931628662e+09	3.2447074302e+03
2.0492960003e+09	3.2454917423e+03
2.1054707237e+09	3.2462760544e+03
2.1616870444e+09	3.2470603665e+03
2.2179449707e+09	3.2478446787e+03
2.2742445105e+09	3.2486289908e+03
2.3305856722e+09	3.2494133029e+03
2.3869684636e+09	3.2501976150e+03
2.4433928929e+09	3.2509819271e+03
2.4998589683e+09	3.2517662393e+03
2.5563666979e+09	3.2525505514e+03
2.6129160896e+09	3.2533348635e+03
2.6695071517e+09	3.2541191756e+03
2.7261398922e+09	3.2549034877e+03
2.7828143193e+09	3.2556877998e+03
2.8395304410e+09	3.2564721120e+03
2.8962882653e+09	3.2572564241e+03
2.9530878005e+09	3.2580407362e+03
3.0099290546e+09	3.2588250483e+03
3.0668120356e+09	3.2596093604e+03
3.1237367518e+09	3.2603936726e+03
3.1807032111e+09	3.2611779847e+03
3.2377114216e+09	3.2619622968e+03
3.2947613915e+09	3.2627466089e+03
3.3518531288e+09	3.2635309210e+03
3.4089866416e+09	3.2643152331e+03
3.4661619379e+09	3.2650995453e+03
3.5233790260e+09	3.2658838574e+03
3.5806379137e+09	3.2666681695e+03
3.6379386093e+09	3.2674524816e+03
3.6952811208e+09	3.2682367937e+03
3.7526654562e+09	3.2690211059e+03
3.8100916237e+09	3.2698054180e+03
3.8675596313e+09	3.2705897301e+03
3.9250694871e+09	3.2713740422e+03
3.9826211992e+09	3.2721583543e+03
4.0402147755e+09	3.2729426664e+03
4.0978502243e+09	3.2737269786e+03
4.1555275535e+09	3.2745112907e+03
4.2132467713e+09	3.2752956028e+03
4.2710078856e+09	3.2760799149e+03
4.3288109047e+09	3.2768642270e+03
4.3866558364e+09	3.2776485392e+03
4.4445426889e+09	3.2784328513e+03
4.5024714702e+09	3.2792171634e+03
4.5604421885e+09	3.2800014755e+03
4.6184548516e+09	3.2807857876e+03
4.6765094679e+09	3.2815700997e+03
4.7346060451e+09	3.2823544119e+03
4.7927445915e+09	3.2831387240e+03
4.8509251151e+09	3.2839230361e+03
4.9091476238e+09	3.2847073482e+03
4.9674121259e+09	3.2854916603e+03
5.0257186293e+09	3.2862759725e+03
5.0840671420e+09	3.2870602846e+03
5.1424576722e+09	3.2878445967e+03
5.2008902278e+09	3.2886289088e+03
5.2593648169e+09	3.2894132209e+03
5.3178814476e+09	3.2901975330e+03
5.3764401279e+09	3.2909818452e+03
5.4350408658e+09	3.2917661573e+03
5.4936836693e+09	3.2925504694e+03
5.5523685466e+09	3.2933347815e+03
