# Smith et al. (2018) solid iron EOS (https://doi.org/10.1038/s41550-018-0437-9)
# Vinet fit to experimental data
# Pressure (Pa)	Density (kg m-3)
1.000000e+00	8.430000e+03
2.108660e+04	8.430001e+03
2.108718e+06	8.430100e+03
2.109240e+07	8.431000e+03
1.055781e+08	8.435000e+03
1.478907e+08	8.437000e+03
1.268488e+09	8.489189e+03
2.587393e+09	8.548793e+03
3.958070e+09	8.608815e+03
5.381905e+09	8.669259e+03
6.860309e+09	8.730128e+03
8.394726e+09	8.791424e+03
9.986629e+09	8.853150e+03
1.163752e+10	8.915309e+03
1.334894e+10	8.977905e+03
1.512244e+10	9.040941e+03
1.695963e+10	9.104419e+03
1.886214e+10	9.168343e+03
2.083164e+10	9.232715e+03
2.286981e+10	9.297540e+03
2.497840e+10	9.362820e+03
2.715917e+10	9.428558e+03
2.941392e+10	9.494757e+03
3.174448e+10	9.561422e+03
3.415275e+10	9.628554e+03
3.664062e+10	9.696158e+03
3.921004e+10	9.764237e+03
4.186301e+10	9.832793e+03
4.460155e+10	9.901831e+03
4.742773e+10	9.971353e+03
5.034365e+10	1.004136e+04
5.335147e+10	1.011187e+04
5.645336e+10	1.018286e+04
5.965156e+10	1.025436e+04
6.294835e+10	1.032636e+04
6.634604e+10	1.039886e+04
6.984699e+10	1.047187e+04
7.345361e+10	1.054540e+04
7.716835e+10	1.061944e+04
8.099370e+10	1.069400e+04
8.493221e+10	1.076908e+04
8.898647e+10	1.084470e+04
9.315912e+10	1.092084e+04
9.745285e+10	1.099752e+04
1.018704e+11	1.107473e+04
1.064145e+11	1.115249e+04
1.110881e+11	1.123079e+04
1.158941e+11	1.130965e+04
1.208353e+11	1.138905e+04
1.259148e+11	1.146902e+04
1.311356e+11	1.154954e+04
1.365008e+11	1.163064e+04
1.420137e+11	1.171230e+04
1.476774e+11	1.179453e+04
1.534951e+11	1.187734e+04
1.594703e+11	1.196073e+04
1.656063e+11	1.204471e+04
1.719066e+11	1.212928e+04
1.783747e+11	1.221444e+04
1.850142e+11	1.230020e+04
1.918286e+11	1.238656e+04
1.988218e+11	1.247353e+04
2.059974e+11	1.256111e+04
2.133594e+11	1.264931e+04
2.209115e+11	1.273812e+04
2.286579e+11	1.282756e+04
2.366024e+11	1.291762e+04
2.447492e+11	1.300832e+04
2.531025e+11	1.309965e+04
2.616665e+11	1.319163e+04
2.704456e+11	1.328425e+04
2.794440e+11	1.337752e+04
2.886664e+11	1.347144e+04
2.981171e+11	1.356603e+04
3.078009e+11	1.366128e+04
3.177224e+11	1.375720e+04
3.278863e+11	1.385379e+04
3.382976e+11	1.395106e+04
3.489611e+11	1.404901e+04
3.598819e+11	1.414765e+04
3.710650e+11	1.424699e+04
3.825156e+11	1.434702e+04
3.942390e+11	1.444775e+04
4.062404e+11	1.454919e+04
4.185254e+11	1.465134e+04
4.310994e+11	1.475421e+04
4.439681e+11	1.485780e+04
4.571371e+11	1.496212e+04
4.706122e+11	1.506717e+04
4.843993e+11	1.517296e+04
4.985043e+11	1.527950e+04
5.129334e+11	1.538678e+04
5.276926e+11	1.549481e+04
5.427882e+11	1.560360e+04
5.582267e+11	1.571316e+04
5.740143e+11	1.582348e+04
5.901578e+11	1.593458e+04
6.066636e+11	1.604646e+04
6.235387e+11	1.615913e+04
6.407899e+11	1.627258e+04
6.584240e+11	1.638684e+04
6.764483e+11	1.650189e+04
6.948699e+11	1.661775e+04
7.136960e+11	1.673443e+04
7.329341e+11	1.685193e+04
7.525917e+11	1.697025e+04
7.726764e+11	1.708940e+04
7.931960e+11	1.720938e+04
8.141583e+11	1.733021e+04
8.355714e+11	1.745189e+04
8.574432e+11	1.757443e+04
8.797821e+11	1.769782e+04
9.025963e+11	1.782208e+04
9.258944e+11	1.794721e+04
9.496849e+11	1.807322e+04
9.739765e+11	1.820012e+04
9.987782e+11	1.832790e+04
1.024099e+12	1.845659e+04
1.049947e+12	1.858617e+04
1.076333e+12	1.871667e+04
1.103266e+12	1.884808e+04
1.130755e+12	1.898042e+04
1.158809e+12	1.911368e+04
1.187440e+12	1.924789e+04
1.216655e+12	1.938303e+04
1.246467e+12	1.951912e+04
1.276884e+12	1.965617e+04
1.307917e+12	1.979418e+04
1.339577e+12	1.993316e+04
1.371874e+12	2.007311e+04
1.404820e+12	2.021405e+04
1.438424e+12	2.035597e+04
1.472699e+12	2.049890e+04
1.507655e+12	2.064282e+04
1.543304e+12	2.078776e+04
1.579657e+12	2.093371e+04
1.616727e+12	2.108069e+04
1.654525e+12	2.122871e+04
1.693062e+12	2.137776e+04
1.732352e+12	2.152785e+04
1.772407e+12	2.167900e+04
1.813240e+12	2.183122e+04
1.854862e+12	2.198450e+04
1.897287e+12	2.213885e+04
1.940529e+12	2.229429e+04
1.984600e+12	2.245083e+04
2.029513e+12	2.260846e+04
2.075283e+12	2.276720e+04
2.121923e+12	2.292705e+04
2.169448e+12	2.308802e+04
2.217871e+12	2.325013e+04
2.267206e+12	2.341337e+04
2.317469e+12	2.357776e+04
2.368674e+12	2.374331e+04
2.420836e+12	2.391001e+04
2.473971e+12	2.407789e+04
2.528093e+12	2.424694e+04
2.583217e+12	2.441719e+04
2.639361e+12	2.458862e+04
2.696540e+12	2.476126e+04
2.754769e+12	2.493512e+04
2.814066e+12	2.511019e+04
2.874447e+12	2.528650e+04
2.935928e+12	2.546404e+04
2.998527e+12	2.564282e+04
3.062261e+12	2.582287e+04
3.127147e+12	2.600417e+04
3.193204e+12	2.618675e+04
3.260448e+12	2.637062e+04
3.328899e+12	2.655577e+04
3.398574e+12	2.674222e+04
3.469492e+12	2.692998e+04
3.541671e+12	2.711906e+04
3.615132e+12	2.730947e+04
3.689893e+12	2.750122e+04
3.765973e+12	2.769431e+04
3.843394e+12	2.788875e+04
3.922173e+12	2.808457e+04
4.002333e+12	2.828175e+04
4.083893e+12	2.848032e+04
4.166873e+12	2.868029e+04
4.251297e+12	2.888166e+04
4.337183e+12	2.908444e+04
4.424555e+12	2.928865e+04
4.513433e+12	2.949429e+04
4.603840e+12	2.970138e+04
4.695798e+12	2.990991e+04
4.789331e+12	3.011992e+04
4.884460e+12	3.033139e+04
4.981209e+12	3.054436e+04
5.079601e+12	3.075881e+04
5.179660e+12	3.097478e+04
5.281411e+12	3.119226e+04
5.384877e+12	3.141126e+04
5.490083e+12	3.163181e+04
5.597054e+12	3.185390e+04
5.705814e+12	3.207755e+04
5.816391e+12	3.230278e+04
5.928808e+12	3.252958e+04
6.043093e+12	3.275797e+04
6.159272e+12	3.298797e+04
6.277371e+12	3.321959e+04
6.397418e+12	3.345283e+04
6.519439e+12	3.368771e+04
6.643463e+12	3.392424e+04
6.769517e+12	3.416242e+04
6.897629e+12	3.440228e+04
7.027829e+12	3.464383e+04
7.160145e+12	3.488707e+04
7.294606e+12	3.513202e+04
7.431242e+12	3.537869e+04
7.570083e+12	3.562709e+04
7.711159e+12	3.587723e+04
7.854501e+12	3.612913e+04
8.000140e+12	3.638280e+04
8.148107e+12	3.663825e+04
8.298433e+12	3.689549e+04
8.451152e+12	3.715454e+04
8.606294e+12	3.741541e+04
8.763893e+12	3.767811e+04
8.923982e+12	3.794266e+04
9.086595e+12	3.820906e+04
9.251765e+12	3.847733e+04
9.419526e+12	3.874749e+04
9.589913e+12	3.901954e+04
9.762962e+12	3.929351e+04
9.938707e+12	3.956939e+04
1.011718e+13	3.984722e+04
1.029843e+13	4.012699e+04
1.048248e+13	4.040873e+04
1.066937e+13	4.069245e+04
1.085914e+13	4.097816e+04
1.105183e+13	4.126587e+04
1.124747e+13	4.155561e+04
1.144611e+13	4.184738e+04
1.164778e+13	4.214119e+04
1.185252e+13	4.243708e+04
1.206037e+13	4.273503e+04
1.227138e+13	4.303508e+04
1.248558e+13	4.333724e+04
1.270301e+13	4.364152e+04
1.292372e+13	4.394794e+04
1.314774e+13	4.425650e+04
1.337512e+13	4.456723e+04
1.360591e+13	4.488015e+04
1.384014e+13	4.519526e+04
1.407787e+13	4.551259e+04
1.431912e+13	4.583214e+04
1.456396e+13	4.615393e+04
1.481242e+13	4.647799e+04
1.506454e+13	4.680432e+04
1.532039e+13	4.713294e+04
1.557999e+13	4.746387e+04
1.584341e+13	4.779712e+04
1.611068e+13	4.813271e+04
1.638186e+13	4.847066e+04
1.665699e+13	4.881098e+04
1.693612e+13	4.915369e+04
1.721930e+13	4.949881e+04
1.750659e+13	4.984635e+04
1.779803e+13	5.019633e+04
1.809367e+13	5.054877e+04
1.839357e+13	5.090368e+04
1.869777e+13	5.126109e+04
1.900634e+13	5.162100e+04
1.931931e+13	5.198344e+04
1.963676e+13	5.234842e+04
1.995872e+13	5.271597e+04
2.028526e+13	5.308610e+04
2.061643e+13	5.345883e+04
2.095229e+13	5.383417e+04
2.129289e+13	5.421215e+04
2.163829e+13	5.459278e+04
2.198854e+13	5.497609e+04
2.234372e+13	5.536209e+04
2.270386e+13	5.575079e+04
2.306904e+13	5.614223e+04
2.343932e+13	5.653642e+04
2.381475e+13	5.693337e+04
2.419539e+13	5.733311e+04
2.458131e+13	5.773565e+04
2.497256e+13	5.814103e+04
2.536922e+13	5.854925e+04
2.577134e+13	5.896033e+04
2.617900e+13	5.937430e+04
2.659224e+13	5.979118e+04
2.701114e+13	6.021098e+04
2.743577e+13	6.063374e+04
2.786619e+13	6.105946e+04
2.830246e+13	6.148817e+04
2.874466e+13	6.191989e+04
2.919285e+13	6.235464e+04
2.964711e+13	6.279244e+04
3.010750e+13	6.323332e+04
3.057409e+13	6.367729e+04
3.104696e+13	6.412438e+04
3.152617e+13	6.457461e+04
3.201180e+13	6.502800e+04
3.250392e+13	6.548457e+04
3.300261e+13	6.594435e+04
3.350793e+13	6.640736e+04
3.401997e+13	6.687362e+04
3.453880e+13	6.734315e+04
3.506449e+13	6.781598e+04
3.559713e+13	6.829212e+04
3.613679e+13	6.877162e+04
3.668355e+13	6.925447e+04
3.723749e+13	6.974072e+04
3.779869e+13	7.023038e+04
3.836722e+13	7.072348e+04
3.894318e+13	7.122005e+04
3.952665e+13	7.172010e+04
4.011770e+13	7.222366e+04
4.071642e+13	7.273075e+04
4.132289e+13	7.324141e+04
4.193721e+13	7.375565e+04
4.255945e+13	7.427350e+04
4.318971e+13	7.479499e+04
4.382806e+13	7.532014e+04
4.447461e+13	7.584897e+04
4.512944e+13	7.638152e+04
4.579263e+13	7.691781e+04
4.646428e+13	7.745787e+04
4.714448e+13	7.800171e+04
4.783333e+13	7.854938e+04
4.853091e+13	7.910088e+04
4.923732e+13	7.965627e+04
4.995266e+13	8.021555e+04
5.067701e+13	8.077876e+04
5.141049e+13	8.134592e+04
5.215318e+13	8.191706e+04
5.290518e+13	8.249222e+04
5.366659e+13	8.307141e+04
5.443752e+13	8.365467e+04
5.521805e+13	8.424202e+04
5.600831e+13	8.483350e+04
5.680837e+13	8.542913e+04
5.761836e+13	8.602895e+04
5.843838e+13	8.663297e+04
5.926852e+13	8.724124e+04
6.010890e+13	8.785377e+04
6.095962e+13	8.847061e+04
6.182079e+13	8.909178e+04
6.269252e+13	8.971731e+04
6.357492e+13	9.034723e+04
6.446810e+13	9.098157e+04
6.537217e+13	9.162037e+04
6.628725e+13	9.226366e+04
6.721344e+13	9.291146e+04
6.815087e+13	9.356380e+04
6.909964e+13	9.422073e+04
7.005988e+13	9.488227e+04
7.103170e+13	9.554846e+04
7.201522e+13	9.621932e+04
7.301055e+13	9.689490e+04
7.401783e+13	9.757521e+04
7.503717e+13	9.826031e+04
7.606869e+13	9.895021e+04
7.711252e+13	9.964496e+04
7.816878e+13	1.003446e+05
