# Diamond EOS from Swift et al. (2022), using a modified Vinet form
# Pressure (Pa)	Density (kg/m^3)
1.0000000000e+00	3.5112556278e+03
1.5283993953e+08	3.5112556278e+03
5.7984708740e+08	3.5147573787e+03
1.0079730914e+09	3.5182591296e+03
1.4372180067e+09	3.5217608804e+03
1.8675818875e+09	3.5252626313e+03
2.2990647869e+09	3.5287643822e+03
2.7316667571e+09	3.5322661331e+03
3.1653878492e+09	3.5357678839e+03
3.6002281136e+09	3.5392696348e+03
4.0361875993e+09	3.5427713857e+03
4.4732663546e+09	3.5462731366e+03
4.9114644268e+09	3.5497748874e+03
5.3507818621e+09	3.5532766383e+03
5.7912187058e+09	3.5567783892e+03
6.2327750023e+09	3.5602801401e+03
6.6754507950e+09	3.5637818909e+03
7.1192461263e+09	3.5672836418e+03
7.5641610376e+09	3.5707853927e+03
8.0101955695e+09	3.5742871436e+03
8.4573497616e+09	3.5777888944e+03
8.9056236525e+09	3.5812906453e+03
9.3550172799e+09	3.5847923962e+03
9.8055306806e+09	3.5882941471e+03
1.0257163890e+10	3.5917958979e+03
1.0709916944e+10	3.5952976488e+03
1.1163789876e+10	3.5987993997e+03
1.1618782719e+10	3.6023011506e+03
1.2074895505e+10	3.6058029015e+03
1.2532128266e+10	3.6093046523e+03
1.2990481031e+10	3.6128064032e+03
1.3449953831e+10	3.6163081541e+03
1.3910546694e+10	3.6198099050e+03
1.4372259646e+10	3.6233116558e+03
1.4835092716e+10	3.6268134067e+03
1.5299045929e+10	3.6303151576e+03
1.5764119310e+10	3.6338169085e+03
1.6230312884e+10	3.6373186593e+03
1.6697626672e+10	3.6408204102e+03
1.7166060698e+10	3.6443221611e+03
1.7635614983e+10	3.6478239120e+03
1.8106289547e+10	3.6513256628e+03
1.8578084411e+10	3.6548274137e+03
1.9050999593e+10	3.6583291646e+03
1.9525035111e+10	3.6618309155e+03
2.0000190983e+10	3.6653326663e+03
2.0476467224e+10	3.6688344172e+03
2.0953863850e+10	3.6723361681e+03
2.1432380876e+10	3.6758379190e+03
2.1912018316e+10	3.6793396698e+03
2.2392776181e+10	3.6828414207e+03
2.2874654486e+10	3.6863431716e+03
2.3357653240e+10	3.6898449225e+03
2.3841772454e+10	3.6933466733e+03
2.4327012138e+10	3.6968484242e+03
2.4813372300e+10	3.7003501751e+03
2.5300852950e+10	3.7038519260e+03
2.5789454092e+10	3.7073536768e+03
2.6279175735e+10	3.7108554277e+03
2.6770017884e+10	3.7143571786e+03
2.7261980543e+10	3.7178589295e+03
2.7755063716e+10	3.7213606803e+03
2.8249267406e+10	3.7248624312e+03
2.8744591616e+10	3.7283641821e+03
2.9241036348e+10	3.7318659330e+03
2.9738601602e+10	3.7353676838e+03
3.0237287377e+10	3.7388694347e+03
3.0737093674e+10	3.7423711856e+03
3.1238020491e+10	3.7458729365e+03
3.1740067825e+10	3.7493746873e+03
3.2243235673e+10	3.7528764382e+03
3.2747524032e+10	3.7563781891e+03
3.3252932896e+10	3.7598799400e+03
3.3759462260e+10	3.7633816908e+03
3.4267112119e+10	3.7668834417e+03
3.4775882465e+10	3.7703851926e+03
3.5285773290e+10	3.7738869435e+03
3.5796784586e+10	3.7773886943e+03
3.6308916343e+10	3.7808904452e+03
3.6822168553e+10	3.7843921961e+03
3.7336541204e+10	3.7878939470e+03
3.7852034285e+10	3.7913956978e+03
3.8368647783e+10	3.7948974487e+03
3.8886381686e+10	3.7983991996e+03
3.9405235980e+10	3.8019009505e+03
3.9925210651e+10	3.8054027014e+03
4.0446305684e+10	3.8089044522e+03
4.0968521063e+10	3.8124062031e+03
4.1491856771e+10	3.8159079540e+03
4.2016312792e+10	3.8194097049e+03
4.2541889107e+10	3.8229114557e+03
4.3068585697e+10	3.8264132066e+03
4.3596402545e+10	3.8299149575e+03
4.4125339628e+10	3.8334167084e+03
4.4655396927e+10	3.8369184592e+03
4.5186574421e+10	3.8404202101e+03
4.5718872086e+10	3.8439219610e+03
4.6252289901e+10	3.8474237119e+03
4.6786827841e+10	3.8509254627e+03
4.7322485884e+10	3.8544272136e+03
4.7859264002e+10	3.8579289645e+03
4.8397162173e+10	3.8614307154e+03
4.8936180367e+10	3.8649324662e+03
4.9476318560e+10	3.8684342171e+03
5.0017576724e+10	3.8719359680e+03
5.0559954830e+10	3.8754377189e+03
5.1103452849e+10	3.8789394697e+03
5.1648070751e+10	3.8824412206e+03
5.2193808508e+10	3.8859429715e+03
5.2740666087e+10	3.8894447224e+03
5.3288643457e+10	3.8929464732e+03
5.3837740585e+10	3.8964482241e+03
5.4387957440e+10	3.8999499750e+03
5.4939293988e+10	3.9034517259e+03
5.5491750194e+10	3.9069534767e+03
5.6045326023e+10	3.9104552276e+03
5.6600021441e+10	3.9139569785e+03
5.7155836411e+10	3.9174587294e+03
5.7712770896e+10	3.9209604802e+03
5.8270824860e+10	3.9244622311e+03
5.8829998264e+10	3.9279639820e+03
5.9390291069e+10	3.9314657329e+03
5.9951703237e+10	3.9349674837e+03
6.0514234727e+10	3.9384692346e+03
6.1077885500e+10	3.9419709855e+03
6.1642655514e+10	3.9454727364e+03
6.2208544727e+10	3.9489744872e+03
6.2775553098e+10	3.9524762381e+03
6.3343680583e+10	3.9559779890e+03
6.3912927139e+10	3.9594797399e+03
6.4483292722e+10	3.9629814907e+03
6.5054777287e+10	3.9664832416e+03
6.5627380788e+10	3.9699849925e+03
6.6201103181e+10	3.9734867434e+03
6.6775944418e+10	3.9769884942e+03
6.7351904452e+10	3.9804902451e+03
6.7928983236e+10	3.9839919960e+03
6.8507180722e+10	3.9874937469e+03
6.9086496861e+10	3.9909954977e+03
6.9666931602e+10	3.9944972486e+03
7.0248484898e+10	3.9979989995e+03
7.0831156696e+10	4.0015007504e+03
7.1414946945e+10	4.0050025013e+03
7.1999855595e+10	4.0085042521e+03
7.2585882592e+10	4.0120060030e+03
7.3173027884e+10	4.0155077539e+03
7.3761291418e+10	4.0190095048e+03
7.4350673140e+10	4.0225112556e+03
7.4941172994e+10	4.0260130065e+03
7.5532790926e+10	4.0295147574e+03
7.6125526881e+10	4.0330165083e+03
7.6719380802e+10	4.0365182591e+03
7.7314352632e+10	4.0400200100e+03
7.7910442315e+10	4.0435217609e+03
7.8507649792e+10	4.0470235118e+03
7.9105975005e+10	4.0505252626e+03
7.9705417895e+10	4.0540270135e+03
8.0305978403e+10	4.0575287644e+03
8.0907656468e+10	4.0610305153e+03
8.1510452031e+10	4.0645322661e+03
8.2114365030e+10	4.0680340170e+03
8.2719395404e+10	4.0715357679e+03
8.3325543090e+10	4.0750375188e+03
8.3932808026e+10	4.0785392696e+03
8.4541190149e+10	4.0820410205e+03
8.5150689395e+10	4.0855427714e+03
8.5761305700e+10	4.0890445223e+03
8.6373039000e+10	4.0925462731e+03
8.6985889228e+10	4.0960480240e+03
8.7599856320e+10	4.0995497749e+03
8.8214940209e+10	4.1030515258e+03
8.8831140829e+10	4.1065532766e+03
8.9448458112e+10	4.1100550275e+03
9.0066891990e+10	4.1135567784e+03
9.0686442395e+10	4.1170585293e+03
9.1307109259e+10	4.1205602801e+03
9.1928892512e+10	4.1240620310e+03
9.2551792085e+10	4.1275637819e+03
9.3175807907e+10	4.1310655328e+03
9.3800939908e+10	4.1345672836e+03
9.4427188017e+10	4.1380690345e+03
9.5054552161e+10	4.1415707854e+03
9.5683032268e+10	4.1450725363e+03
9.6312628267e+10	4.1485742871e+03
9.6943340084e+10	4.1520760380e+03
9.7575167644e+10	4.1555777889e+03
9.8208110875e+10	4.1590795398e+03
9.8842169702e+10	4.1625812906e+03
9.9477344050e+10	4.1660830415e+03
1.0011363384e+11	4.1695847924e+03
1.0075103900e+11	4.1730865433e+03
1.0138955946e+11	4.1765882941e+03
1.0202919513e+11	4.1800900450e+03
1.0266994594e+11	4.1835917959e+03
1.0331181181e+11	4.1870935468e+03
1.0395479266e+11	4.1905952976e+03
1.0459888842e+11	4.1940970485e+03
1.0524409900e+11	4.1975987994e+03
1.0589042432e+11	4.2011005503e+03
1.0653786431e+11	4.2046023012e+03
1.0718641889e+11	4.2081040520e+03
1.0783608797e+11	4.2116058029e+03
1.0848687147e+11	4.2151075538e+03
1.0913876931e+11	4.2186093047e+03
1.0979178141e+11	4.2221110555e+03
1.1044590769e+11	4.2256128064e+03
1.1110114805e+11	4.2291145573e+03
1.1175750243e+11	4.2326163082e+03
1.1241497073e+11	4.2361180590e+03
1.1307355287e+11	4.2396198099e+03
1.1373324876e+11	4.2431215608e+03
1.1439405833e+11	4.2466233117e+03
1.1505598148e+11	4.2501250625e+03
1.1571901813e+11	4.2536268134e+03
1.1638316819e+11	4.2571285643e+03
1.1704843157e+11	4.2606303152e+03
1.1771480819e+11	4.2641320660e+03
1.1838229796e+11	4.2676338169e+03
1.1905090079e+11	4.2711355678e+03
1.1972061660e+11	4.2746373187e+03
1.2039144528e+11	4.2781390695e+03
1.2106338676e+11	4.2816408204e+03
1.2173644095e+11	4.2851425713e+03
1.2241060775e+11	4.2886443222e+03
1.2308588707e+11	4.2921460730e+03
1.2376227883e+11	4.2956478239e+03
1.2443978292e+11	4.2991495748e+03
1.2511839926e+11	4.3026513257e+03
1.2579812776e+11	4.3061530765e+03
1.2647896833e+11	4.3096548274e+03
1.2716092086e+11	4.3131565783e+03
1.2784398528e+11	4.3166583292e+03
1.2852816147e+11	4.3201600800e+03
1.2921344936e+11	4.3236618309e+03
1.2989984884e+11	4.3271635818e+03
1.3058735982e+11	4.3306653327e+03
1.3127598220e+11	4.3341670835e+03
1.3196571590e+11	4.3376688344e+03
1.3265656080e+11	4.3411705853e+03
1.3334851683e+11	4.3446723362e+03
1.3404158387e+11	4.3481740870e+03
1.3473576183e+11	4.3516758379e+03
1.3543105062e+11	4.3551775888e+03
1.3612745013e+11	4.3586793397e+03
1.3682496028e+11	4.3621810905e+03
