# Table 4 
# Equation of State Data Including Density and Enthalpy per Atom for Silicon-Carbon Material Phases
#
#
# Units for pressure, density, and enthalpy are (Mbar),(g cc^-1),(eV atom^-1)
Species,Structure,Pressure,Density,Enthalpy
C,Diamond,1,4.1426,-5.8554
C,Diamond,2,4.6079,-3.0188
C,Diamond,3,5.024,-0.44
C,Diamond,4,5.3709,1.9546
C,Diamond,5,5.6865,4.2046
C,Diamond,6,5.9734,6.3385
C,Diamond,7,6.2415,8.3749
C,Diamond,8,6.496,10.3284
C,Diamond,9,6.734,12.2096
C,Diamond,10,6.9604,14.0268
C,Diamond,11,7.1741,15.787
C,Diamond,12,7.3839,17.4964
C,Diamond,13,7.5829,19.1591
C,Diamond,14,7.7756,20.7795
C,Diamond,15,7.9613,22.3609
C,Diamond,16,8.1328,23.9063
C,Diamond,17,8.3161,25.4182
C,Diamond,18,8.4859,26.8992
C,Diamond,19,8.6534,28.351
C,Diamond,20,8.8121,29.7756
C,Diamond,25,9.5705,36.5412
C,Diamond,30,10.2607,42.8134
C,Diamond,35,10.8991,48.6925
C,Diamond,40,11.4956,54.2475
C,BC8,5,5.8732,4.5184
C,BC8,10,7.1824,14.033
C,BC8,15,8.2055,22.1157
C,BC8,20,9.0754,29.3157
C,BC8,22.5,9.4708,32.671
C,BC8,25,9.8458,35.8926
C,BC8,27.5,10.2027,38.9965
C,BC8,30,10.5449,41.9959
C,BC8,32.5,10.8719,44.9013
C,BC8,35,11.1826,47.7221
C,BC8,40,11.7922,53.1367
C,sc,5,6.1418,6.0218
C,sc,10,7.5009,15.1244
C,sc,15,8.5423,22.8679
C,sc,20,9.4457,29.7732
C,sc,25,10.2435,36.0862
C,sc,30,10.9662,41.9489
C,sc,32.5,11.3106,44.7409
C,sc,35,11.6362,47.4525
C,sc,37.5,11.9506,50.0899
C,sc,40,12.1622,52.6657
SiC,Rocksalt,1,5.0817,-2.2463
SiC,Rocksalt,2,5.7612,1.5787
SiC,Rocksalt,3,6.3364,5.0081
SiC,Rocksalt,4,6.8246,8.1638
SiC,Rocksalt,6,7.6553,13.9003
SiC,Rocksalt,7,8.0183,16.5516
SiC,Rocksalt,8,8.338,19.0894
SiC,Rocksalt,9,8.6729,21.5284
SiC,Rocksalt,10,8.9794,23.8815
SiC,Rocksalt,11,9.2668,26.1583
SiC,Rocksalt,12,9.5408,28.3667
SiC,Rocksalt,13,9.8064,30.5134
SiC,Rocksalt,14,10.0632,32.6039
SiC,Rocksalt,15,10.31,34.6429
SiC,Rocksalt,16,10.5489,36.6347
SiC,Rocksalt,17,10.7793,38.5825
SiC,Rocksalt,18,11.0035,40.4896
SiC,Rocksalt,19,11.2231,42.3587
SiC,Rocksalt,20,11.4365,44.1922
SiC,Rocksalt,25,12.4322,52.8943
SiC,Rocksalt,30,13.3344,60.9563
SiC,Rocksalt,35,14.1631,68.5109
SiC,Rocksalt,40,14.934,75.6493
SiC,Cmcm,10,9.1215,24.9617
SiC,Cmcm,15,10.7121,35.4056
SiC,Cmcm,20,11.8882,44.5932
SiC,Cmcm,25,12.9173,52.9655
SiC,Cmcm,27.5,13.3928,56.9134
SiC,Cmcm,30,13.8407,60.7266
SiC,Cmcm,32.5,14.2806,64.4197
SiC,Cmcm,35,14.6951,68.0041
SiC,Cmcm,37.5,15.0985,71.49
SiC,Cmcm,40,15.4883,74.8858
Si,fcc,1,5.0745,1.9484
Si,fcc,2,5.9749,7.2012
Si,fcc,3,6.6483,11.8067
Si,fcc,4,7.2212,16.0004
Si,fcc,5,7.7143,19.8961
Si,fcc,6,8.1534,23.5609
Si,fcc,7,8.5695,27.0385
Si,fcc,8,8.9486,30.3586
Si,fcc,9,9.2956,33.5467
Si,fcc,10,9.6443,36.6189
Si,fcc,11,9.9552,39.589
Si,fcc,12,10.2541,42.4682
Si,fcc,13,10.5431,45.2657
Si,fcc,14,10.8236,47.989
Si,fcc,15,11.094,50.6447
Si,fcc,16,11.3505,53.2382
Si,fcc,17,11.5983,55.7744
Si,fcc,20,12.3085,63.0787
Si,fcc,25,13.3673,74.4149
Si,fcc,30,14.3139,84.9295
Si,fcc,35,15.1764,94.7971
Si,fcc,40,15.9766,104.1368
Si,bcc,5,7.7133,19.8943
Si,bcc,10,9.6918,37.1199
Si,bcc,15,11.2153,51.0325
Si,bcc,20,12.474,63.313
Si,bcc,25,13.5778,74.4802
Si,bcc,30,14.5602,84.8214
Si,bcc,35,15.458,94.5157
Si,bcc,40,16.2821,103.685
Si_2C,I4mcm,10,9.6143,28.4635
Si_2C,I4mcm,11,7.3242,34.2719
Si_2C,I4mcm,12,8.2958,34.9181
Si_2C,I4mcm,13,10.4987,35.4821
Si_2C,I4mcm,14,10.7799,37.6943
Si_2C,I4mcm,15,11.0457,39.8521
Si_2C,I4mcm,16,11.3001,41.9598
Si_2C,I4mcm,17,11.5455,44.0213
Si_2C,I4mcm,18,11.7847,46.0399
Si_2C,I4mcm,19,12.0179,48.0185
Si_2C,I4mcm,20,12.2461,49.9598
Si_2C,I4mcm,22.5,12.7836,54.6642
Si_2C,I4mcm,25,13.2938,59.1794
Si_2C,I4mcm,27.5,13.7768,63.5289
Si_2C,I4mcm,30,14.2369,67.732
Si_2C,I4mcm,32.5,14.6785,71.8039
