# Zeng et al. (2016) core EOS
# Pressure (Pa)	Density (kg m-3)
# (1) 1 Pa - 12 TPa: BME EOS with rho0 = 7.05 g/cm3 and K0 = 201 GPa
# (2) > 12 TPa: TFD EOS
1.000000e+00	7.084816e+03
1.000000e+09	7.084816e+03
1.009446e+09	7.085143e+03
1.018982e+09	7.085472e+03
1.028608e+09	7.085805e+03
1.038324e+09	7.086141e+03
1.048133e+09	7.086479e+03
1.058034e+09	7.086821e+03
1.068029e+09	7.087166e+03
1.078118e+09	7.087515e+03
1.088302e+09	7.087866e+03
1.098582e+09	7.088221e+03
1.108960e+09	7.088579e+03
1.119436e+09	7.088941e+03
1.130010e+09	7.089306e+03
1.140685e+09	7.089674e+03
1.151460e+09	7.090045e+03
1.162337e+09	7.090420e+03
1.173317e+09	7.090799e+03
1.184401e+09	7.091181e+03
1.195589e+09	7.091567e+03
1.206883e+09	7.091956e+03
1.218284e+09	7.092349e+03
1.229792e+09	7.092745e+03
1.241410e+09	7.093145e+03
1.253136e+09	7.093549e+03
1.264974e+09	7.093957e+03
1.276923e+09	7.094368e+03
1.288986e+09	7.094783e+03
1.301162e+09	7.095202e+03
1.313453e+09	7.095625e+03
1.325861e+09	7.096052e+03
1.338385e+09	7.096483e+03
1.351028e+09	7.096918e+03
1.363791e+09	7.097357e+03
1.376674e+09	7.097799e+03
1.389678e+09	7.098246e+03
1.402806e+09	7.098698e+03
1.416057e+09	7.099153e+03
1.429434e+09	7.099612e+03
1.442937e+09	7.100076e+03
1.456567e+09	7.100544e+03
1.470327e+09	7.101016e+03
1.484216e+09	7.101493e+03
1.498237e+09	7.101974e+03
1.512389e+09	7.102460e+03
1.526676e+09	7.102950e+03
1.541098e+09	7.103445e+03
1.555656e+09	7.103944e+03
1.570351e+09	7.104448e+03
1.585185e+09	7.104956e+03
1.600159e+09	7.105469e+03
1.615275e+09	7.105987e+03
1.630534e+09	7.106510e+03
1.645936e+09	7.107037e+03
1.661484e+09	7.107569e+03
1.677180e+09	7.108107e+03
1.693023e+09	7.108649e+03
1.709016e+09	7.109196e+03
1.725160e+09	7.109748e+03
1.741456e+09	7.110306e+03
1.757907e+09	7.110868e+03
1.774513e+09	7.111436e+03
1.791276e+09	7.112009e+03
1.808197e+09	7.112587e+03
1.825278e+09	7.113170e+03
1.842520e+09	7.113759e+03
1.859925e+09	7.114353e+03
1.877495e+09	7.114953e+03
1.895230e+09	7.115558e+03
1.913133e+09	7.116169e+03
1.931206e+09	7.116785e+03
1.949449e+09	7.117407e+03
1.967864e+09	7.118035e+03
1.986453e+09	7.118669e+03
2.005218e+09	7.119308e+03
2.024160e+09	7.119953e+03
2.043281e+09	7.120604e+03
2.062583e+09	7.121261e+03
2.082067e+09	7.121924e+03
2.101735e+09	7.122594e+03
2.121589e+09	7.123269e+03
2.141630e+09	7.123950e+03
2.161861e+09	7.124638e+03
2.182282e+09	7.125332e+03
2.202897e+09	7.126033e+03
2.223707e+09	7.126740e+03
2.244713e+09	7.127453e+03
2.265917e+09	7.128173e+03
2.287322e+09	7.128899e+03
2.308929e+09	7.129632e+03
2.330740e+09	7.130372e+03
2.352757e+09	7.131118e+03
2.374982e+09	7.131872e+03
2.397417e+09	7.132632e+03
2.420064e+09	7.133399e+03
2.442925e+09	7.134173e+03
2.466002e+09	7.134954e+03
2.489297e+09	7.135742e+03
2.512812e+09	7.136538e+03
2.536549e+09	7.137341e+03
2.560510e+09	7.138151e+03
2.584697e+09	7.138968e+03
2.609114e+09	7.139793e+03
2.633760e+09	7.140625e+03
2.658640e+09	7.141465e+03
2.683754e+09	7.142313e+03
2.709106e+09	7.143168e+03
2.734698e+09	7.144031e+03
2.760531e+09	7.144902e+03
2.786608e+09	7.145781e+03
2.812931e+09	7.146668e+03
2.839503e+09	7.147563e+03
2.866326e+09	7.148466e+03
2.893403e+09	7.149377e+03
2.920735e+09	7.150296e+03
2.948325e+09	7.151224e+03
2.976177e+09	7.152160e+03
3.004291e+09	7.153105e+03
3.032670e+09	7.154058e+03
3.061318e+09	7.155020e+03
3.090237e+09	7.155990e+03
3.119428e+09	7.156970e+03
3.148896e+09	7.157958e+03
3.178641e+09	7.158955e+03
3.208668e+09	7.159961e+03
3.238978e+09	7.160976e+03
3.269575e+09	7.162000e+03
3.300461e+09	7.163034e+03
3.331638e+09	7.164077e+03
3.363110e+09	7.165129e+03
3.394880e+09	7.166191e+03
3.426949e+09	7.167262e+03
3.459321e+09	7.168343e+03
3.492000e+09	7.169434e+03
3.524986e+09	7.170534e+03
3.558285e+09	7.171644e+03
3.591898e+09	7.172765e+03
3.625828e+09	7.173895e+03
3.660079e+09	7.175036e+03
3.694654e+09	7.176187e+03
3.729555e+09	7.177348e+03
3.764786e+09	7.178519e+03
3.800350e+09	7.179701e+03
3.836249e+09	7.180894e+03
3.872488e+09	7.182097e+03
3.909069e+09	7.183311e+03
3.945996e+09	7.184536e+03
3.983271e+09	7.185772e+03
4.020899e+09	7.187019e+03
4.058882e+09	7.188277e+03
4.097224e+09	7.189546e+03
4.135928e+09	7.190827e+03
4.174997e+09	7.192119e+03
4.214436e+09	7.193422e+03
4.254247e+09	7.194738e+03
4.294435e+09	7.196064e+03
4.335002e+09	7.197403e+03
4.375952e+09	7.198754e+03
4.417289e+09	7.200116e+03
4.459016e+09	7.201491e+03
4.501138e+09	7.202878e+03
4.543657e+09	7.204277e+03
4.586579e+09	7.205689e+03
4.629905e+09	7.207113e+03
4.673641e+09	7.208550e+03
4.717790e+09	7.209999e+03
4.762357e+09	7.211461e+03
4.807344e+09	7.212937e+03
4.852756e+09	7.214425e+03
4.898597e+09	7.215926e+03
4.944871e+09	7.217441e+03
4.991582e+09	7.218969e+03
5.038735e+09	7.220511e+03
5.086333e+09	7.222066e+03
5.134380e+09	7.223635e+03
5.182882e+09	7.225218e+03
5.231841e+09	7.226814e+03
5.281263e+09	7.228425e+03
5.331152e+09	7.230050e+03
5.381512e+09	7.231689e+03
5.432348e+09	7.233342e+03
5.483665e+09	7.235010e+03
5.535465e+09	7.236693e+03
