# Zeng et al. (2021) core EOS (Holzapfel EOS)
# Pressure (Pa)	Density (kg m-3)
0.000000e+00	8.200000e+03
1.059061e+09	8.257688e+03
2.161933e+09	8.315782e+03
3.309830e+09	8.374284e+03
4.503992e+09	8.433198e+03
5.745683e+09	8.492527e+03
7.036201e+09	8.552273e+03
8.376868e+09	8.612439e+03
9.769036e+09	8.673029e+03
1.121409e+10	8.734044e+03
1.271344e+10	8.795489e+03
1.426853e+10	8.857367e+03
1.588083e+10	8.919679e+03
1.755186e+10	8.982430e+03
1.928314e+10	9.045623e+03
2.107626e+10	9.109260e+03
2.293282e+10	9.173344e+03
2.485445e+10	9.237880e+03
2.684285e+10	9.302870e+03
2.889971e+10	9.368316e+03
3.102678e+10	9.434223e+03
3.322585e+10	9.500594e+03
3.549875e+10	9.567432e+03
3.784732e+10	9.634740e+03
4.027348e+10	9.702522e+03
4.277917e+10	9.770780e+03
4.536635e+10	9.839519e+03
4.803707e+10	9.908741e+03
5.079337e+10	9.978450e+03
5.363737e+10	1.004865e+04
5.657121e+10	1.011934e+04
5.959709e+10	1.019053e+04
6.271726e+10	1.026223e+04
6.593399e+10	1.033442e+04
6.924963e+10	1.040713e+04
7.266654e+10	1.048034e+04
7.618716e+10	1.055407e+04
7.981397e+10	1.062832e+04
8.354950e+10	1.070309e+04
8.739633e+10	1.077839e+04
9.135708e+10	1.085422e+04
9.543445e+10	1.093058e+04
9.963118e+10	1.100747e+04
1.039500e+11	1.108491e+04
1.083939e+11	1.116290e+04
1.129657e+11	1.124143e+04
1.176683e+11	1.132051e+04
1.225049e+11	1.140016e+04
1.274784e+11	1.148036e+04
1.325920e+11	1.156112e+04
1.378490e+11	1.164246e+04
1.432526e+11	1.172436e+04
1.488061e+11	1.180684e+04
1.545130e+11	1.188991e+04
1.603766e+11	1.197355e+04
1.664006e+11	1.205779e+04
1.725885e+11	1.214262e+04
1.789441e+11	1.222804e+04
1.854710e+11	1.231407e+04
1.921730e+11	1.240070e+04
1.990542e+11	1.248794e+04
2.061183e+11	1.257579e+04
2.133696e+11	1.266427e+04
2.208120e+11	1.275336e+04
2.284499e+11	1.284308e+04
2.362874e+11	1.293343e+04
2.443289e+11	1.302442e+04
2.525790e+11	1.311605e+04
2.610420e+11	1.320832e+04
