# Zeng et al. (2021) mantle EOS (Holzapfel EOS)
# Pressure (Pa)	Density (kg m-3)
0.000000e+00	4.000000e+03
1.496409e+09	4.029587e+03
3.038459e+09	4.059393e+03
4.627150e+09	4.089420e+03
6.263501e+09	4.119669e+03
7.948550e+09	4.150141e+03
9.683354e+09	4.180839e+03
1.146899e+10	4.211764e+03
1.330655e+10	4.242917e+03
1.519716e+10	4.274301e+03
1.714196e+10	4.305917e+03
1.914209e+10	4.337767e+03
2.119875e+10	4.369853e+03
2.331313e+10	4.402176e+03
2.548646e+10	4.434738e+03
2.771998e+10	4.467541e+03
3.001497e+10	4.500587e+03
3.237272e+10	4.533877e+03
3.479453e+10	4.567413e+03
3.728176e+10	4.601197e+03
3.983577e+10	4.635231e+03
4.245794e+10	4.669517e+03
4.514970e+10	4.704057e+03
4.791247e+10	4.738852e+03
5.074774e+10	4.773904e+03
5.365698e+10	4.809216e+03
5.664172e+10	4.844788e+03
5.970351e+10	4.880624e+03
6.284392e+10	4.916725e+03
6.606456e+10	4.953094e+03
6.936705e+10	4.989731e+03
7.275305e+10	5.026639e+03
7.622427e+10	5.063820e+03
7.978241e+10	5.101276e+03
8.342924e+10	5.139009e+03
8.716652e+10	5.177021e+03
9.099609e+10	5.215315e+03
9.491977e+10	5.253891e+03
9.893946e+10	5.292753e+03
1.030571e+11	5.331903e+03
1.072745e+11	5.371342e+03
1.115938e+11	5.411073e+03
1.160170e+11	5.451097e+03
1.205461e+11	5.491418e+03
1.251832e+11	5.532037e+03
1.299303e+11	5.572957e+03
1.347898e+11	5.614179e+03
1.397638e+11	5.655706e+03
1.448544e+11	5.697540e+03
1.500641e+11	5.739683e+03
1.553950e+11	5.782139e+03
1.608497e+11	5.824908e+03
1.664304e+11	5.867994e+03
1.721396e+11	5.911398e+03
1.779797e+11	5.955124e+03
1.839534e+11	5.999173e+03
1.900631e+11	6.043547e+03
1.963116e+11	6.088250e+03
2.027013e+11	6.133284e+03
2.092352e+11	6.178651e+03
2.159158e+11	6.224353e+03
2.227460e+11	6.270393e+03
2.297286e+11	6.316774e+03
2.368666e+11	6.363498e+03
2.441628e+11	6.410568e+03
2.516203e+11	6.457985e+03
