# Zeng et al. (2021) core EOS (Holzapfel EOS)
# Pressure (Pa)	Density (kg m-3)
0.000000e+00	2.100000e+03
8.589292e+08	2.116215e+03
1.743867e+09	2.132556e+03
2.655382e+09	2.149023e+03
3.594052e+09	2.165616e+03
4.560469e+09	2.182338e+03
5.555232e+09	2.199190e+03
6.578955e+09	2.216171e+03
7.632260e+09	2.233283e+03
8.715782e+09	2.250528e+03
9.830169e+09	2.267905e+03
1.097608e+10	2.285417e+03
1.215418e+10	2.303064e+03
1.336517e+10	2.320847e+03
1.460972e+10	2.338768e+03
1.588856e+10	2.356827e+03
1.720241e+10	2.375025e+03
1.855200e+10	2.393364e+03
1.993807e+10	2.411845e+03
2.136140e+10	2.430468e+03
2.282275e+10	2.449235e+03
2.432292e+10	2.468147e+03
2.586272e+10	2.487205e+03
2.744296e+10	2.506410e+03
2.906447e+10	2.525764e+03
3.072812e+10	2.545267e+03
3.243475e+10	2.564920e+03
3.418526e+10	2.584726e+03
3.598053e+10	2.604684e+03
3.782149e+10	2.624796e+03
3.970906e+10	2.645064e+03
4.164419e+10	2.665488e+03
4.362783e+10	2.686069e+03
4.566098e+10	2.706810e+03
4.774463e+10	2.727711e+03
4.987978e+10	2.748773e+03
5.206749e+10	2.769998e+03
5.430879e+10	2.791387e+03
5.660477e+10	2.812941e+03
5.895650e+10	2.834661e+03
6.136511e+10	2.856549e+03
6.383171e+10	2.878606e+03
6.635746e+10	2.900834e+03
6.894353e+10	2.923233e+03
7.159110e+10	2.945805e+03
7.430139e+10	2.968551e+03
7.707564e+10	2.991473e+03
7.991509e+10	3.014572e+03
8.282102e+10	3.037849e+03
8.579473e+10	3.061306e+03
8.883754e+10	3.084944e+03
9.195079e+10	3.108765e+03
9.513586e+10	3.132770e+03
9.839414e+10	3.156959e+03
1.017270e+11	3.181336e+03
1.051360e+11	3.205901e+03
1.086225e+11	3.230656e+03
1.121880e+11	3.255602e+03
1.158341e+11	3.280740e+03
1.195622e+11	3.306072e+03
1.233740e+11	3.331601e+03
1.272710e+11	3.357326e+03
1.312549e+11	3.383250e+03
1.353274e+11	3.409374e+03
1.394900e+11	3.435700e+03
1.437446e+11	3.462229e+03
1.480928e+11	3.488962e+03
1.525365e+11	3.515903e+03
1.570774e+11	3.543051e+03
1.617174e+11	3.570409e+03
1.664583e+11	3.597978e+03
1.713021e+11	3.625760e+03
1.762506e+11	3.653757e+03
1.813058e+11	3.681970e+03
1.864697e+11	3.710400e+03
1.917444e+11	3.739051e+03
1.971318e+11	3.767922e+03
2.026342e+11	3.797016e+03
2.082536e+11	3.826335e+03
2.139921e+11	3.855881e+03
2.198521e+11	3.885654e+03
2.258358e+11	3.915658e+03
2.319453e+11	3.945893e+03
2.381832e+11	3.976361e+03
2.445516e+11	4.007065e+03
2.510530e+11	4.038006e+03
2.576899e+11	4.069186e+03
2.644648e+11	4.100606e+03
2.713800e+11	4.132269e+03
2.784383e+11	4.164177e+03
2.856423e+11	4.196331e+03
2.929945e+11	4.228733e+03
3.004977e+11	4.261386e+03
3.081546e+11	4.294291e+03
3.159680e+11	4.327449e+03
3.239407e+11	4.360864e+03
3.320757e+11	4.394537e+03
3.403758e+11	4.428470e+03
3.488440e+11	4.462664e+03
3.574834e+11	4.497123e+03
3.662971e+11	4.531848e+03
3.752881e+11	4.566841e+03
3.844596e+11	4.602105e+03
3.938149e+11	4.637640e+03
4.033573e+11	4.673450e+03
4.130901e+11	4.709536e+03
4.230166e+11	4.745902e+03
4.331405e+11	4.782547e+03
4.434651e+11	4.819476e+03
4.539940e+11	4.856690e+03
4.647309e+11	4.894192e+03
4.756795e+11	4.931982e+03
4.868434e+11	4.970065e+03
4.982266e+11	5.008442e+03
5.098328e+11	5.047115e+03
5.216661e+11	5.086087e+03
5.337303e+11	5.125359e+03
5.460297e+11	5.164935e+03
5.585682e+11	5.204817e+03
5.713502e+11	5.245006e+03
5.843798e+11	5.285506e+03
5.976615e+11	5.326318e+03
6.111995e+11	5.367446e+03
6.249985e+11	5.408891e+03
6.390629e+11	5.450656e+03
6.533975e+11	5.492744e+03
6.680068e+11	5.535157e+03
6.828956e+11	5.577897e+03
6.980689e+11	5.620967e+03
7.135316e+11	5.664370e+03
7.292886e+11	5.708108e+03
7.453451e+11	5.752184e+03
7.617062e+11	5.796600e+03
7.783773e+11	5.841358e+03
7.953636e+11	5.886463e+03
8.126706e+11	5.931916e+03
8.303038e+11	5.977720e+03
8.482689e+11	6.023877e+03
8.665715e+11	6.070391e+03
8.852174e+11	6.117264e+03
9.042125e+11	6.164499e+03
9.235628e+11	6.212099e+03
9.432743e+11	6.260066e+03
9.633533e+11	6.308404e+03
9.838060e+11	6.357114e+03
1.004639e+12	6.406201e+03
1.025858e+12	6.455667e+03
1.047471e+12	6.505515e+03
1.069483e+12	6.555748e+03
1.091902e+12	6.606369e+03
1.114734e+12	6.657381e+03
1.137987e+12	6.708786e+03
1.161668e+12	6.760589e+03
1.185784e+12	6.812791e+03
1.210341e+12	6.865397e+03
1.235349e+12	6.918408e+03
1.260814e+12	6.971829e+03
1.286743e+12	7.025663e+03
1.313146e+12	7.079912e+03
1.340029e+12	7.134580e+03
1.367402e+12	7.189671e+03
1.395271e+12	7.245186e+03
1.423645e+12	7.301131e+03
1.452534e+12	7.357507e+03
1.481945e+12	7.414319e+03
1.511887e+12	7.471569e+03
1.542370e+12	7.529261e+03
1.573401e+12	7.587399e+03
1.604991e+12	7.645986e+03
1.637148e+12	7.705025e+03
1.669882e+12	7.764520e+03
1.703203e+12	7.824474e+03
1.737120e+12	7.884892e+03
1.771644e+12	7.945775e+03
1.806783e+12	8.007129e+03
1.842550e+12	8.068957e+03
1.878953e+12	8.131262e+03
1.916004e+12	8.194048e+03
1.953712e+12	8.257319e+03
1.992090e+12	8.321079e+03
2.031148e+12	8.385331e+03
2.070897e+12	8.450079e+03
2.111349e+12	8.515327e+03
2.152515e+12	8.581079e+03
2.194407e+12	8.647338e+03
2.237037e+12	8.714109e+03
2.280417e+12	8.781396e+03
2.324560e+12	8.849202e+03
2.369477e+12	8.917532e+03
2.415181e+12	8.986390e+03
2.461686e+12	9.055779e+03
2.509005e+12	9.125704e+03
2.557150e+12	9.196169e+03
2.606136e+12	9.267178e+03
2.655975e+12	9.338735e+03
2.706682e+12	9.410845e+03
2.758272e+12	9.483512e+03
2.810758e+12	9.556739e+03
2.864155e+12	9.630532e+03
2.918477e+12	9.704895e+03
2.973740e+12	9.779833e+03
3.029960e+12	9.855348e+03
3.087151e+12	9.931447e+03
3.145329e+12	1.000813e+04
3.204510e+12	1.008541e+04
3.264711e+12	1.016329e+04
3.325948e+12	1.024176e+04
3.388238e+12	1.032085e+04
3.451597e+12	1.040054e+04
3.516043e+12	1.048085e+04
3.581594e+12	1.056178e+04
3.648266e+12	1.064333e+04
3.716079e+12	1.072551e+04
3.785051e+12	1.080833e+04
3.855200e+12	1.089179e+04
3.926545e+12	1.097589e+04
3.999105e+12	1.106064e+04
4.072900e+12	1.114605e+04
4.147949e+12	1.123211e+04
4.224273e+12	1.131884e+04
4.301892e+12	1.140624e+04
4.380827e+12	1.149432e+04
4.461098e+12	1.158307e+04
4.542728e+12	1.167251e+04
4.625737e+12	1.176264e+04
4.710148e+12	1.185347e+04
4.795983e+12	1.194500e+04
4.883264e+12	1.203723e+04
4.972015e+12	1.213018e+04
5.062259e+12	1.222384e+04
5.154020e+12	1.231823e+04
5.247322e+12	1.241334e+04
5.342189e+12	1.250919e+04
5.438646e+12	1.260579e+04
5.536718e+12	1.270312e+04
5.636431e+12	1.280121e+04
5.737811e+12	1.290006e+04
5.840884e+12	1.299967e+04
5.945677e+12	1.310004e+04
6.052217e+12	1.320120e+04
6.160531e+12	1.330313e+04
6.270648e+12	1.340585e+04
6.382596e+12	1.350937e+04
6.496404e+12	1.361368e+04
6.612100e+12	1.371880e+04
6.729716e+12	1.382473e+04
6.849280e+12	1.393148e+04
6.970824e+12	1.403905e+04
7.094378e+12	1.414746e+04
7.219975e+12	1.425670e+04
7.347645e+12	1.436678e+04
7.477423e+12	1.447771e+04
7.609339e+12	1.458951e+04
7.743429e+12	1.470216e+04
7.879726e+12	1.481568e+04
8.018264e+12	1.493008e+04
8.159079e+12	1.504537e+04
8.302206e+12	1.516154e+04
8.447682e+12	1.527861e+04
8.595541e+12	1.539659e+04
8.745823e+12	1.551547e+04
8.898565e+12	1.563528e+04
9.053804e+12	1.575601e+04
9.211580e+12	1.587767e+04
9.371932e+12	1.600027e+04
9.534900e+12	1.612382e+04
9.700525e+12	1.624832e+04
9.868848e+12	1.637378e+04
1.003991e+13	1.650021e+04
1.021376e+13	1.662762e+04
1.039043e+13	1.675601e+04
1.056997e+13	1.688540e+04
1.075242e+13	1.701578e+04
1.093783e+13	1.714717e+04
1.112625e+13	1.727957e+04
1.131771e+13	1.741299e+04
1.151228e+13	1.754745e+04
1.170999e+13	1.768294e+04
1.191089e+13	1.781949e+04
1.211504e+13	1.795708e+04
1.232248e+13	1.809574e+04
1.253326e+13	1.823546e+04
1.274744e+13	1.837627e+04
1.296507e+13	1.851817e+04
1.318619e+13	1.866115e+04
1.341087e+13	1.880525e+04
1.363916e+13	1.895045e+04
1.387112e+13	1.909678e+04
1.410679e+13	1.924424e+04
1.434624e+13	1.939284e+04
1.458953e+13	1.954258e+04
1.483671e+13	1.969348e+04
1.508785e+13	1.984554e+04
1.534299e+13	1.999878e+04
1.560222e+13	2.015320e+04
1.586558e+13	2.030882e+04
1.613314e+13	2.046564e+04
1.640497e+13	2.062366e+04
1.668112e+13	2.078291e+04
1.696167e+13	2.094339e+04
1.724669e+13	2.110510e+04
1.753624e+13	2.126807e+04
1.783038e+13	2.143229e+04
1.812920e+13	2.159778e+04
1.843275e+13	2.176455e+04
1.874112e+13	2.193261e+04
1.905437e+13	2.210196e+04
1.937259e+13	2.227263e+04
1.969584e+13	2.244461e+04
2.002420e+13	2.261791e+04
2.035775e+13	2.279256e+04
2.069657e+13	2.296855e+04
2.104073e+13	2.314591e+04
2.139033e+13	2.332463e+04
2.174543e+13	2.350473e+04
2.210613e+13	2.368623e+04
2.247251e+13	2.386912e+04
2.284465e+13	2.405343e+04
2.322264e+13	2.423916e+04
2.360658e+13	2.442633e+04
2.399654e+13	2.461494e+04
2.439262e+13	2.480500e+04
2.479491e+13	2.499654e+04
2.520351e+13	2.518955e+04
2.561852e+13	2.538405e+04
2.604001e+13	2.558006e+04
2.646811e+13	2.577758e+04
2.690290e+13	2.597662e+04
2.734448e+13	2.617720e+04
2.779296e+13	2.637933e+04
2.824844e+13	2.658302e+04
2.871102e+13	2.678828e+04
2.918082e+13	2.699513e+04
2.965794e+13	2.720358e+04
3.014249e+13	2.741363e+04
3.063458e+13	2.762531e+04
3.113432e+13	2.783862e+04
3.164183e+13	2.805358e+04
3.215723e+13	2.827019e+04
3.268063e+13	2.848848e+04
3.321215e+13	2.870846e+04
3.375192e+13	2.893014e+04
3.430005e+13	2.915352e+04
3.485667e+13	2.937863e+04
3.542192e+13	2.960548e+04
3.599591e+13	2.983408e+04
3.657878e+13	3.006445e+04
3.717065e+13	3.029660e+04
3.777168e+13	3.053053e+04
3.838198e+13	3.076628e+04
3.900170e+13	3.100384e+04
3.963098e+13	3.124324e+04
4.026996e+13	3.148449e+04
4.091878e+13	3.172760e+04
4.157760e+13	3.197259e+04
4.224655e+13	3.221946e+04
4.292580e+13	3.246825e+04
4.361548e+13	3.271896e+04
4.431577e+13	3.297160e+04
4.502681e+13	3.322619e+04
4.574876e+13	3.348275e+04
4.648179e+13	3.374129e+04
4.722606e+13	3.400183e+04
4.798173e+13	3.426437e+04
4.874898e+13	3.452895e+04
4.952797e+13	3.479557e+04
5.031889e+13	3.506424e+04
5.112190e+13	3.533500e+04
5.193718e+13	3.560784e+04
5.276493e+13	3.588279e+04
5.360531e+13	3.615986e+04
5.445851e+13	3.643907e+04
5.532473e+13	3.672044e+04
5.620416e+13	3.700398e+04
5.709699e+13	3.728971e+04
5.800342e+13	3.757764e+04
5.892365e+13	3.786780e+04
5.985788e+13	3.816020e+04
6.080632e+13	3.845486e+04
6.176918e+13	3.875179e+04
6.274667e+13	3.905102e+04
6.373900e+13	3.935255e+04
6.474639e+13	3.965642e+04
6.576907e+13	3.996263e+04
6.680725e+13	4.027120e+04
6.786118e+13	4.058216e+04
6.893106e+13	4.089552e+04
7.001715e+13	4.121129e+04
7.111968e+13	4.152951e+04
7.223888e+13	4.185018e+04
7.337501e+13	4.217333e+04
7.452831e+13	4.249898e+04
7.569904e+13	4.282714e+04
7.688744e+13	4.315783e+04
7.809377e+13	4.349108e+04
7.931830e+13	4.382690e+04
8.056130e+13	4.416531e+04
8.182303e+13	4.450634e+04
8.310377e+13	4.485000e+04
8.440380e+13	4.519631e+04
8.572339e+13	4.554530e+04
8.706283e+13	4.589698e+04
8.842241e+13	4.625138e+04
8.980243e+13	4.660851e+04
9.120318e+13	4.696840e+04
9.262496e+13	4.733107e+04
9.406809e+13	4.769654e+04
9.553286e+13	4.806484e+04
9.701961e+13	4.843597e+04
9.852864e+13	4.880998e+04
1.000603e+14	4.918687e+04
1.016149e+14	4.956667e+04
1.031927e+14	4.994940e+04
1.047942e+14	5.033509e+04
1.064196e+14	5.072376e+04
1.080693e+14	5.111542e+04
1.097437e+14	5.151011e+04
1.114430e+14	5.190785e+04
1.131678e+14	5.230867e+04
1.149183e+14	5.271257e+04
1.166949e+14	5.311960e+04
1.184980e+14	5.352976e+04
1.203280e+14	5.394310e+04
1.221852e+14	5.435962e+04
1.240701e+14	5.477937e+04
1.259831e+14	5.520235e+04
1.279245e+14	5.562860e+04
1.298949e+14	5.605814e+04
1.318945e+14	5.649100e+04
1.339238e+14	5.692720e+04
1.359833e+14	5.736677e+04
1.380733e+14	5.780973e+04
1.401944e+14	5.825611e+04
1.423470e+14	5.870594e+04
1.445315e+14	5.915924e+04
1.467483e+14	5.961605e+04
1.489980e+14	6.007638e+04
1.512811e+14	6.054026e+04
1.535980e+14	6.100773e+04
1.559491e+14	6.147880e+04
1.583351e+14	6.195352e+04
1.607563e+14	6.243190e+04
1.632133e+14	6.291397e+04
1.657067e+14	6.339977e+04
1.682368e+14	6.388931e+04
1.708044e+14	6.438264e+04
1.734098e+14	6.487978e+04
