# P (GPa)	T (K)
56.726565226754516	4711.0360363133805
71.64231193406933	5055.355744818793
86.55588437885471	5368.9872907664685
103.03662448740526	5677.77721997458
120.2999601266887	5970.197176013937
137.56097943515243	6229.923777055703
154.82070159835718	6471.342099298814
172.07894130983732	6691.836674343467
189.3363471422224	6900.561641588989
206.592641135814	7093.593798435666
223.84819390354335	7276.164081683111
241.10309809864322	7449.580225531232
258.35726106788076	7612.534495780126
275.6110534241871	7770.257829229402
292.8644751675623	7922.750225879063
310.11743364477366	8068.703951529204
327.3702068155194	8212.04220877954
344.62223876040287	8344.918592430646
361.87408539882074	8475.179507681945
379.1255614243074	8600.209486133628
396.37694479656136	8723.931730385408
413.62795755588417	8842.423037837574
430.8786923555086	8956.991142690027
448.12914919543465	9067.63604494277
464.79172276332844	9177.338648574163
481.7848463772204	9272.379974324886
500.2534864811734	9396.0412518985
515.7857924227782	9487.582858899013
534.3791170642454	9588.167201208893
551.6287400250764	9687.042495662503
568.8779923729762	9780.686853316498
586.1271520676432	9873.023476770588
603.3764044155431	9966.667834424583
620.6252861505119	10055.081255278963
637.8742605387133	10144.802410333248
654.2505650117079	10208.685373067166
672.3710048230901	10307.244175843067
689.6197012515931	10393.042128297639
706.8682123736306	10476.224612352406
722.6521919627726	10537.931469825635
741.3647713515418	10636.050909462418
758.6129118606482	10714.002456717568
775.8609597165218	10790.646269772815
793.1088222659299	10864.674614428253
810.3567774685707	10940.010693283595
827.6046400179788	11014.039037939036
844.8523172609213	11085.45191419467
862.0999945038637	11156.8647904503
879.3474864403406	11225.662198306123
898.0584908436801	11301.55184359241
912.6228487139686	11356.95335306021
931.0899622497711	11432.054421873598
948.3372688797826	11498.236361329615
965.5845755097939	11564.418300785632
982.8316041801068	11626.677037641939
999.0983300474054	11680.345542056973
1017.3260321336638	11756.425448154165
1034.5729681507441	11817.376450810567
1051.8199041678242	11878.327453466969
1069.0669328381373	11940.586190323276
1086.313683548752	11998.92172457987
1103.560619565832	12059.872727236274
1120.8073702764466	12118.208261492868
1138.0541209870612	12176.543795749463
1155.300779044443	12233.571595806156
1172.547437101825	12290.599395862846
1189.7942804656723	12350.242664319343
1199.9850242334157	12377.40223880787
