Title: Line and Mean Opacities for Ultracool Dwarfs and Extrasolar Planets
Authors: Freedman R.,  Marley M.S., Lodders K.
Table: Mean Opacities for [M/H] = -0.3
================================================================================
Byte-by-byte Description of file: datafile3.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label                   Explanations
--------------------------------------------------------------------------------
   1-  4 I4     K         Temp      Gas temperature 
   6- 10 E5.0   0.1PA     Pressure  Gas pressure in units of dyne/cm^2^ 
  12- 21 E10.4  g/cm^3    Density   Gas density (1)
  23- 32 E10.4  cm^2/g    kappaR    Rosseland mean opacity (1)
  34- 43 E10.4  cm^2/g    kappaP    Planck mean opacity (1)
--------------------------------------------------------------------------------
Note (1): For [M/H] = -0.3, compared to solar abundances of Lodders (2003).
--------------------------------------------------------------------------------
  75 3E+02 1.1260E-07 2.5662E-06 6.8130E-06 
  75 3E+03 1.1260E-06 2.5632E-05 6.4041E-05 
  75 1E+04 3.7535E-06 8.5404E-05 2.1245E-04 
  75 3E+04 1.1260E-05 2.5615E-04 6.3653E-04 
  75 1E+05 3.7535E-05 8.5363E-04 2.1208E-03 
  75 3E+05 1.1260E-04 2.5605E-03 6.3618E-03 
  75 1E+06 3.7535E-04 8.5345E-03 2.1205E-02 
  75 3E+06 1.1260E-03 2.5603E-02 6.3614E-02 
  75 1E+07 3.7535E-03 8.5343E-02 2.1205E-01 
 100 3E+02 8.4455E-08 4.5476E-06 2.4781E-02 
 100 3E+03 8.4453E-07 4.0027E-05 2.5126E-03 
 100 1E+04 2.8151E-06 1.2874E-04 1.0526E-03 
 100 3E+04 8.4453E-06 3.7770E-04 1.0280E-03 
 100 1E+05 2.8151E-05 1.2366E-03 2.5503E-03 
 100 3E+05 8.4453E-05 3.6650E-03 7.3736E-03 
 100 1E+06 2.8151E-04 1.2127E-02 2.4421E-02 
 100 3E+06 8.4453E-04 3.6329E-02 7.3175E-02 
 100 1E+07 2.8151E-03 1.2109E-01 2.4383E-01 
 100 3E+07 8.4453E-03 3.6325E-01 7.3143E-01 
 110 3E+02 7.6801E-08 6.4410E-06 6.1117E-02 
 110 3E+03 7.6780E-07 5.5053E-05 5.0509E-02 
 110 1E+04 2.5592E-06 1.6658E-04 1.8833E-02 
 110 3E+04 7.6776E-06 4.6639E-04 7.1659E-03 
 110 1E+05 2.5592E-05 1.4741E-03 4.4771E-03 
 110 3E+05 7.6775E-05 4.2706E-03 8.1367E-03 
 110 1E+06 2.5592E-04 1.3831E-02 2.4918E-02 
 110 3E+06 7.6775E-04 4.0838E-02 7.4000E-02 
 110 1E+07 2.5592E-03 1.3557E-01 2.4618E-01 
 110 3E+07 7.6775E-03 4.0642E-01 7.3825E-01 
 110 1E+08 2.5592E-02 1.3543E+00 2.4605E+00 
 120 3E+02 7.0402E-08 6.9074E-06 3.7950E-01 
 120 3E+03 7.0401E-07 6.8469E-05 2.7237E-01 
 120 1E+04 2.3466E-06 2.2504E-04 2.5527E-01 
 120 3E+04 7.0384E-06 6.0756E-04 8.9684E-02 
 120 1E+05 2.3460E-05 1.8186E-03 2.9454E-02 
 120 3E+05 7.0378E-05 5.0191E-03 1.6697E-02 
 120 1E+06 2.3459E-04 1.5599E-02 2.7918E-02 
 120 3E+06 7.0377E-04 4.4643E-02 7.5938E-02 
 120 1E+07 2.3459E-03 1.4412E-01 2.4958E-01 
 120 3E+07 7.0377E-03 4.2915E-01 7.4731E-01 
 120 1E+08 2.3459E-02 1.4281E+00 2.4899E+00 
 130 3E+02 6.4985E-08 7.1361E-06 1.2912E-01 
 130 3E+03 6.4986E-07 7.1136E-05 2.4047E-01 
 130 1E+04 2.1662E-06 2.3578E-04 2.6102E-01 
 130 3E+04 6.4985E-06 7.0537E-04 2.7456E-01 
 130 1E+05 2.1661E-05 2.3178E-03 2.5308E-01 
 130 3E+05 6.4970E-05 6.1939E-03 9.1593E-02 
 130 1E+06 2.1655E-04 1.8327E-02 5.0824E-02 
 130 3E+06 6.4964E-04 4.9931E-02 8.4206E-02 
 130 1E+07 2.1655E-03 1.5235E-01 2.5339E-01 
 130 3E+07 6.4964E-03 4.3622E-01 7.5175E-01 
 130 1E+08 2.1655E-02 1.4383E+00 2.5012E+00 
 140 3E+02 6.0344E-08 7.4379E-06 2.5902E-01 
 140 3E+03 6.0344E-07 7.2486E-05 2.3611E-01 
 140 1E+04 2.0114E-06 2.3995E-04 2.4994E-01 
 140 3E+04 6.0344E-06 7.1962E-04 2.6598E-01 
 140 1E+05 2.0114E-05 2.3714E-03 2.5674E-01 
 140 3E+05 6.0345E-05 7.1441E-03 2.9857E-01 
 140 1E+06 2.0112E-04 2.2261E-02 1.9814E-01 
 140 3E+06 6.0328E-04 5.8830E-02 1.3353E-01 
 140 1E+07 2.0108E-03 1.6889E-01 2.6734E-01 
 140 3E+07 6.0324E-03 4.4576E-01 7.5248E-01 
 140 1E+08 2.0107E-02 1.4021E+00 2.4868E+00 
 150 3E+02 5.6323E-08 8.3122E-06 1.8840E-01 
 150 3E+03 5.6321E-07 7.4265E-05 2.2606E-01 
 150 1E+04 1.8774E-06 2.4219E-04 2.4522E-01 
 150 3E+04 5.6321E-06 7.1812E-04 2.4287E-01 
 150 1E+05 1.8774E-05 2.3669E-03 2.4451E-01 
 150 3E+05 5.6324E-05 7.1258E-03 2.8971E-01 
 150 1E+06 1.8774E-04 2.2925E-02 2.6605E-01 
 150 3E+06 5.6321E-04 6.8005E-02 3.1493E-01 
 150 1E+07 1.8770E-03 1.9586E-01 3.4042E-01 
 150 3E+07 5.6304E-03 4.8176E-01 7.6705E-01 
 150 1E+08 1.8768E-02 1.3574E+00 2.4552E+00 
 160 3E+02 5.2815E-08 9.8007E-06 2.4663E-01 
 160 3E+03 5.2802E-07 7.9890E-05 2.1340E-01 
 160 1E+04 1.7600E-06 2.4691E-04 2.2432E-01 
 160 3E+04 5.2799E-06 7.1463E-04 2.3632E-01 
 160 1E+05 1.7600E-05 2.3247E-03 2.3905E-01 
 160 3E+05 5.2800E-05 6.8534E-03 2.5191E-01 
 160 1E+06 1.7600E-04 2.2130E-02 2.5999E-01 
 160 3E+06 5.2799E-04 6.5055E-02 3.0783E-01 
 160 1E+07 1.7600E-03 2.1007E-01 4.7526E-01 
 160 3E+07 5.2792E-03 5.4005E-01 8.5935E-01 
 160 1E+08 1.7595E-02 1.3646E+00 2.4362E+00 
 170 3E+02 4.9717E-08 1.1306E-05 6.1330E-01 
 170 3E+03 4.9710E-07 8.8212E-05 3.2858E-01 
 170 1E+04 1.6568E-06 2.6855E-04 2.9918E-01 
 170 3E+04 4.9696E-06 7.2509E-04 2.5142E-01 
 170 1E+05 1.6565E-05 2.2596E-03 2.4062E-01 
 170 3E+05 4.9696E-05 6.5775E-03 2.6373E-01 
 170 1E+06 1.6565E-04 2.0824E-02 2.6422E-01 
 170 3E+06 4.9695E-04 6.0213E-02 3.0625E-01 
 170 1E+07 1.6565E-03 1.9244E-01 4.6959E-01 
 170 3E+07 4.9695E-03 5.2734E-01 9.3526E-01 
 170 1E+08 1.6563E-02 1.4332E+00 2.4938E+00 
 180 3E+02 4.7003E-08 1.3690E-05 3.1377E+00 
 180 3E+03 4.6953E-07 9.3779E-05 6.1781E-01 
 180 1E+04 1.5650E-06 2.7411E-04 3.9848E-01 
 180 3E+04 4.6948E-06 7.5817E-04 3.3685E-01 
 180 1E+05 1.5646E-05 2.2567E-03 2.7249E-01 
 180 3E+05 4.6934E-05 6.1499E-03 2.5286E-01 
 180 1E+06 1.5645E-04 1.8997E-02 2.6454E-01 
 180 3E+06 4.6934E-04 5.3875E-02 3.0928E-01 
 180 1E+07 1.5645E-03 1.7079E-01 4.7696E-01 
 180 3E+07 4.6934E-03 4.5997E-01 9.2137E-01 
 180 1E+08 1.5645E-02 1.3136E+00 2.5076E+00 
 190 3E+02 4.4589E-08 1.4550E-05 5.2367E+00 
