# Title: Line and Mean Opacities for Ultra-cool Dwarfs and Extrasolar Planets
# Authors: Freedman R.,  Marley M.S., Lodders K.
# Table: Mean Opacities for [M/H] = 0.0
# Modified by Zifan Lin into rectangular grid
# Empty (low P-T) grid points filled with 75 K, 3.0E+2 dyne/cm2 data
# Pressure, density, kappaR and kappaP are isothermally extended to 1.0e13 Pa (1.0e14 0.1 Pa)
# Temp (K)	Pressure (0.1 Pa)	Density (g/cm3)	kappaR (cm2/g)	kappaP (cm2/g)
75	3.00E+02	1.1277E-07	2.5619E-06	7.1083E-06
75	3.00E+03	1.1277E-06	2.5589E-05	6.4309E-05
75	1.00E+04	3.7591E-06	8.5261E-05	2.1238E-04
75	3.00E+04	1.1277E-05	2.5571E-04	6.3555E-04
75	1.00E+05	3.7591E-05	8.5211E-04	2.1167E-03
75	3.00E+05	1.1277E-04	2.5557E-03	6.3485E-03
75	1.00E+06	3.7591E-04	8.5180E-03	2.1160E-02
75	3.00E+06	1.1277E-03	2.5553E-02	6.3478E-02
75	1.00E+07	3.7591E-03	8.5176E-02	2.1159E-01
75	3.00E+07	1.1277E-07	2.5619E-06	7.1083E-06
75	1.00E+08	1.1277E-07	2.5619E-06	7.1083E-06
75	3.00E+08	1.1277E-07	2.5619E-06	7.1083E-06
100	3.00E+02	8.4584E-08	4.5393E-06	2.4757E-02
100	3.00E+03	8.4583E-07	3.9962E-05	2.5407E-03
100	1.00E+04	2.8193E-06	1.2854E-04	1.0837E-03
100	3.00E+04	8.4582E-06	3.7709E-04	1.0589E-03
100	1.00E+05	2.8193E-05	1.2345E-03	2.5780E-03
100	3.00E+05	8.4582E-05	3.6583E-03	7.3903E-03
100	1.00E+06	2.8193E-04	1.2104E-02	2.4401E-02
100	3.00E+06	8.4582E-04	3.6260E-02	7.3044E-02
100	1.00E+07	2.8193E-03	1.2088E-01	2.4334E-01
100	3.00E+07	8.4582E-03	3.6261E-01	7.2982E-01
100	1.00E+08	1.1277E-07	2.5619E-06	7.1083E-06
100	3.00E+08	1.1277E-07	2.5619E-06	7.1083E-06
110	3.00E+02	7.6932E-08	6.8205E-06	1.1165E-01
110	3.00E+03	7.6887E-07	5.4977E-05	5.0576E-02
110	1.00E+04	2.5628E-06	1.6636E-04	1.8936E-02
110	3.00E+04	7.6883E-06	4.6580E-04	7.2820E-03
110	1.00E+05	2.5628E-05	1.4722E-03	4.5951E-03
110	3.00E+05	7.6883E-05	4.2648E-03	8.2470E-03
110	1.00E+06	2.5628E-04	1.3812E-02	2.4997E-02
110	3.00E+06	7.6883E-04	4.0782E-02	7.3989E-02
110	1.00E+07	2.5628E-03	1.3543E-01	2.4586E-01
110	3.00E+07	7.6883E-03	4.0603E-01	7.3703E-01
110	1.00E+08	2.5628E-02	1.3531E+00	2.4562E+00
110	3.00E+08	1.1277E-07	2.5619E-06	7.1083E-06
120	3.00E+02	7.0537E-08	7.5106E-06	8.9552E-01
