Title: Line and Mean Opacities for Ultracool Dwarfs and Extrasolar Planets
Authors: Freedman R.,  Marley M.S., Lodders K.
Table: Mean Opacities for [M/H] = +0.3
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label                   Explanations
--------------------------------------------------------------------------------
   1-  4 I4     K         Temp      Gas temperature 
   6- 10 E5.0   0.1PA     Pressure  Gas pressure in units of dyne/cm^2^ 
  12- 21 E10.4  g/cm^3    Density   Gas density (1)
  23- 32 E10.4  cm^2/g    kappaR    Rosseland mean opacity (1)
  34- 43 E10.4  cm^2/g    kappaP    Planck mean opacity (1)
--------------------------------------------------------------------------------
Note (1): For [M/H] = +0.3, compared to solar abundances of Lodders (2003).
--------------------------------------------------------------------------------
  75 3E+02 1.1313E-07 2.5527E-06 7.6946E-06 
  75 3E+03 1.1313E-06 2.5496E-05 6.4814E-05 
  75 1E+04 3.7710E-06 8.4951E-05 2.1216E-04 
  75 3E+04 1.1313E-05 2.5478E-04 6.3330E-04 
  75 1E+05 3.7710E-05 8.4894E-04 2.1074E-03 
  75 3E+05 1.1313E-04 2.5460E-03 6.3191E-03 
  75 1E+06 3.7710E-04 8.4845E-03 2.1060E-02 
  75 3E+06 1.1313E-03 2.5452E-02 6.3178E-02 
  75 1E+07 3.7710E-03 8.4837E-02 2.1059E-01 
 100 3E+02 8.4848E-08 4.5234E-06 2.4853E-02 
 100 3E+03 8.4846E-07 3.9824E-05 2.6108E-03 
 100 1E+04 2.8282E-06 1.2808E-04 1.1500E-03 
 100 3E+04 8.4846E-06 3.7575E-04 1.1219E-03 
 100 1E+05 2.8282E-05 1.2300E-03 2.6327E-03 
 100 3E+05 8.4846E-05 3.6443E-03 7.4225E-03 
 100 1E+06 2.8282E-04 1.2056E-02 2.4353E-02 
 100 3E+06 8.4846E-04 3.6115E-02 7.2772E-02 
 100 1E+07 2.8282E-03 1.2042E-01 2.4226E-01 
 100 3E+07 8.4846E-03 3.6123E-01 7.2650E-01 
 110 3E+02 7.7180E-08 6.7946E-06 1.1186E-01 
 110 3E+03 7.7138E-07 5.4772E-05 5.0818E-02 
 110 1E+04 2.5711E-06 1.6575E-04 1.9181E-02 
 110 3E+04 7.7133E-06 4.6411E-04 7.5259E-03 
 110 1E+05 2.5711E-05 1.4668E-03 4.8311E-03 
 110 3E+05 7.7133E-05 4.2485E-03 8.4583E-03 
 110 1E+06 2.5711E-04 1.3757E-02 2.5122E-02 
 110 3E+06 7.7133E-04 4.0620E-02 7.3865E-02 
 110 1E+07 2.5711E-03 1.3496E-01 2.4487E-01 
 110 3E+07 7.7133E-03 4.0464E-01 7.3355E-01 
 110 1E+08 2.5711E-02 1.3485E+00 2.4440E+00 
 120 3E+02 7.0800E-08 7.8300E-06 1.4037E+00 
 120 3E+03 7.0776E-07 7.5761E-05 7.9358E-01 
 120 1E+04 2.3576E-06 2.2408E-04 2.5603E-01 
 120 3E+04 7.0714E-06 6.0500E-04 9.0653E-02 
 120 1E+05 2.3570E-05 1.8110E-03 3.0496E-02 
 120 3E+05 7.0708E-05 4.9980E-03 1.7728E-02 
 120 1E+06 2.3569E-04 1.5533E-02 2.8835E-02 
 120 3E+06 7.0707E-04 4.4471E-02 7.6511E-02 
 120 1E+07 2.3569E-03 1.4385E-01 2.4895E-01 
 120 3E+07 7.0707E-03 4.2848E-01 7.4321E-01 
 120 1E+08 2.3569E-02 1.4262E+00 2.4737E+00 
 130 3E+02 6.5354E-08 8.1818E-06 5.1213E-01 
 130 3E+03 6.5354E-07 8.1361E-05 9.2201E-01 
 130 1E+04 2.1785E-06 2.7063E-04 1.0346E+00 
 130 3E+04 6.5334E-06 7.8789E-04 8.3278E-01 
 130 1E+05 2.1763E-05 2.3130E-03 2.5538E-01 
 130 3E+05 6.5275E-05 6.1818E-03 9.4085E-02 
 130 1E+06 2.1757E-04 1.8294E-02 5.3269E-02 
 130 3E+06 6.5269E-04 4.9877E-02 8.6327E-02 
 130 1E+07 2.1756E-03 1.5279E-01 2.5431E-01 
 130 3E+07 6.5268E-03 4.3797E-01 7.4920E-01 
 130 1E+08 2.1756E-02 1.4450E+00 2.4865E+00 
 140 3E+02 6.0684E-08 8.5631E-06 1.0262E+00 
 140 3E+03 6.0684E-07 8.3920E-05 9.3122E-01 
 140 1E+04 2.0228E-06 2.7823E-04 9.9065E-01 
 140 3E+04 6.0684E-06 8.3111E-04 1.0096E+00 
 140 1E+05 2.0228E-05 2.7516E-03 1.0110E+00 
 140 3E+05 6.0650E-05 7.6948E-03 5.8588E-01 
 140 1E+06 2.0206E-04 2.2318E-02 2.0328E-01 
 140 3E+06 6.0609E-04 5.9055E-02 1.3848E-01 
 140 1E+07 2.0202E-03 1.7048E-01 2.7115E-01 
 140 3E+07 6.0605E-03 4.5137E-01 7.5292E-01 
 140 1E+08 2.0202E-02 1.4225E+00 2.4751E+00 
 150 3E+02 5.6640E-08 9.3236E-06 7.0403E-01 
 150 3E+03 5.6639E-07 8.6641E-05 8.9523E-01 
 150 1E+04 1.8880E-06 2.8412E-04 9.7149E-01 
 150 3E+04 5.6639E-06 8.4448E-04 9.6111E-01 
 150 1E+05 1.8880E-05 2.7866E-03 9.6243E-01 
 150 3E+05 5.6639E-05 8.2454E-03 9.6673E-01 
 150 1E+06 1.8879E-04 2.6981E-02 9.6190E-01 
 150 3E+06 5.6588E-04 7.0926E-02 3.9486E-01 
 150 1E+07 1.8857E-03 1.9927E-01 3.4895E-01 
 150 3E+07 5.6567E-03 4.9260E-01 7.7232E-01 
 150 1E+08 1.8855E-02 1.3949E+00 2.4488E+00 
 160 3E+02 5.3151E-08 1.1405E-05 8.6074E-01 
 160 3E+03 5.3100E-07 9.1287E-05 7.9865E-01 
 160 1E+04 1.7700E-06 2.9005E-04 8.8223E-01 
 160 3E+04 5.3099E-06 8.4919E-04 9.3371E-01 
 160 1E+05 1.7700E-05 2.7785E-03 9.4065E-01 
 160 3E+05 5.3099E-05 8.1746E-03 9.4481E-01 
 160 1E+06 1.7700E-04 2.6587E-02 9.6025E-01 
 160 3E+06 5.3099E-04 7.8921E-02 1.0078E+00 
 160 1E+07 1.7687E-03 2.3433E-01 6.7038E-01 
 160 3E+07 5.3039E-03 5.5765E-01 8.7165E-01 
 160 1E+08 1.7677E-02 1.4203E+00 2.4373E+00 
 170 3E+02 5.0041E-08 1.3189E-05 1.3986E+00 
 170 3E+03 5.0008E-07 1.0279E-04 1.0792E+00 
 170 1E+04 1.6660E-06 3.0225E-04 9.5986E-01 
 170 3E+04 4.9977E-06 8.5122E-04 9.4642E-01 
 170 1E+05 1.6659E-05 2.7213E-03 9.4227E-01 
 170 3E+05 4.9977E-05 7.9151E-03 9.4555E-01 
 170 1E+06 1.6659E-04 2.5391E-02 9.6037E-01 
 170 3E+06 4.9977E-04 7.4259E-02 1.0067E+00 
 170 1E+07 1.6659E-03 2.4698E-01 1.1695E+00 
 170 3E+07 4.9949E-03 6.2651E-01 1.2463E+00 
 170 1E+08 1.6641E-02 1.5073E+00 2.5047E+00 
 180 3E+02 4.7310E-08 1.6287E-05 4.3886E+00 
 180 3E+03 4.7259E-07 1.1215E-04 1.7113E+00 
 180 1E+04 1.5752E-06 3.3193E-04 1.3757E+00 
 180 3E+04 4.7213E-06 8.7734E-04 1.0455E+00 
 180 1E+05 1.5734E-05 2.6529E-03 9.7196E-01 
 180 3E+05 4.7201E-05 7.4974E-03 9.6636E-01 
 180 1E+06 1.5733E-04 2.3546E-02 9.7899E-01 
 180 3E+06 4.7200E-04 6.7346E-02 1.0237E+00 
 180 1E+07 1.5733E-03 2.2128E-01 1.1820E+00 
 180 3E+07 4.7200E-03 6.1002E-01 1.6304E+00 
 180 1E+08 1.5724E-02 1.6067E+00 2.8136E+00 
 190 3E+02 4.5087E-08 2.1452E-05 1.5210E+01 
