#T (K)	rho (g/cm3)	P (kbar)	P (Pa)	u (KJ/g)
1000.00	1.00	18.60	1.8600E+09	−74.48
1000.00	1.11	28.40	2.8400E+09	−74.42
1000.00	1.25	43.50	4.3500E+09	−74.43
1000.00	1.50	88.10	8.8100E+09	−74.01
1000.00	1.75	158.00	1.5800E+10	−73.32
1000.00	1.90	207.00	2.0700E+10	−72.77
1000.00	1.99	246.00	2.4600E+10	−72.40
1000.00	2.50	436.00	4.3600E+10	−71.29
1000.00	3.00	918.00	9.1800E+10	−67.68
1000.00	3.50	1720.00	1.7200E+11	−62.16
1000.00	4.00	2840.00	2.8400E+11	−54.52
2000.00	1.00	36.80	3.6800E+09	−70.83
2000.00	1.11	49.10	4.9100E+09	−70.81
2000.00	1.15	56.30	5.6300E+09	−70.81
2000.00	1.36	87.90	8.7900E+09	−70.34
2000.00	1.50	120.00	1.2000E+10	−69.96
2000.00	1.76	196.00	1.9600E+10	−69.20
2000.00	2.00	304.00	3.0400E+10	−67.90
2000.00	2.30	478.00	4.7800E+10	−66.20
2000.00	2.50	593.00	5.9300E+10	−65.18
2000.00	2.75	790.00	7.9000E+10	−63.88
2000.00	3.00	1050.00	1.0500E+11	−62.78
2000.00	3.25	1400.00	1.4000E+11	−60.57
2000.00	3.50	1830.00	1.8300E+11	−57.64
2000.00	3.75	2340.00	2.3400E+11	−54.05
2000.00	4.00	2900.00	2.9000E+11	−50.24
3000.00	2.50	694.00	6.9400E+10	−60.4
3000.00	3.00	1180.00	1.1800E+11	−56.5
3000.00	3.50	1950.00	1.9500E+11	−50.5
3000.00	4.00	2960.00	2.9600E+11	−42.9
4000.00	1.00	59.50	5.9500E+09	−63.3
4000.00	1.36	126.00	1.2600E+10	−62.0
4000.00	1.99	385.00	3.8500E+10	−59.4
4000.00	2.50	776.00	7.7600E+10	−55.7
4000.00	3.00	1260.00	1.2600E+11	−52.4
4000.00	3.32	1730.00	1.7300E+11	−48.7
4000.00	3.50	2040.00	2.0400E+11	−46.4
4000.00	4.00	3060.00	3.0600E+11	−38.8
4000.00	5.00	5870.00	5.8700E+11	−19.9
4000.00	6.00	9660.00	9.6600E+11	3.30
4000.00	7.00	14400.00	1.4400E+12	29.60
4000.00	9.00	27030.00	2.7030E+12	88.70
4000.00	11.00	44050.00	4.4050E+12	155.80
4000.00	13.00	64160.00	6.4160E+12	228.70
4000.00	15.00	88930.00	8.8930E+12	304.00
6000.00	1.00	77.70	7.7700E+09	−52.5
6000.00	1.50	212.00	2.1200E+10	−51.6
6000.00	1.99	478.00	4.7800E+10	−49.6
6000.00	2.50	901.00	9.0100E+10	−45.9
6000.00	3.00	1530.00	1.5300E+11	−41.5
6000.00	3.32	2030.00	2.0300E+11	−38.0
6000.00	3.50	2340.00	2.3400E+11	−36.1
6000.00	3.74	2710.00	2.7100E+11	−34.7
6000.00	4.00	3290.00	3.2900E+11	−30.9
6000.00	5.00	6140.00	6.1400E+11	−12.2
6000.00	6.00	9980.00	9.9800E+11	10.80
6000.00	7.00	14850.00	1.4850E+12	37.40
6000.00	9.00	27670.00	2.7670E+12	97.00
6000.00	11.00	44790.00	4.4790E+12	164.30
6000.00	13.00	65160.00	6.5160E+12	237.60
6000.00	15.00	90140.00	9.0140E+12	313.30
8000.00	1.00	108.00	1.0800E+10	−41.3
8000.00	1.36	213.00	2.1300E+10	−42.1
8000.00	1.99	565.00	5.6500E+10	−40.1
8000.00	2.30	821.00	8.2100E+10	−38.5
8000.00	2.50	1030.00	1.0300E+11	−37.2
8000.00	2.72	1300.00	1.3000E+11	−35.1
8000.00	2.75	1350.00	1.3500E+11	−34.8
8000.00	2.99	1690.00	1.6900E+11	−32.4
8000.00	3.50	2590.00	2.5900E+11	26.20
8000.00	4.00	3680.00	3.6800E+11	−18.9
8000.00	6.00	10300.00	1.0300E+12	18.60
8000.00	7.00	15270.00	1.5270E+12	44.90
8000.00	9.00	28260.00	2.8260E+12	104.80
8000.00	11.00	45510.00	4.5510E+12	172.70
8000.00	13.00	66000.00	6.6000E+12	246.10
8000.00	15.00	91170.00	9.1170E+12	321.90
9000.00	4.00	3820.00	3.8200E+11	−14.3
9000.00	5.00	6790.00	6.7900E+11	4.70
9000.00	7.00	15480.00	1.5480E+12	48.80
