# V[A^3]  rho[g/cc]  T[K]  P[GPa]  P[GPa](stdev)  E[Ha]  E[Ha](stdev)
1943.984553  3.8520   500   63.975  0.096  -71.45768300  0.02789100
1943.984553  3.8520  1000   66.773  0.181  -70.13825200  0.05512300
1943.984553  3.8520  1500   72.118  0.113  -68.25276000  0.02781400
1943.984553  3.8520  2000   75.478  0.165  -66.97925000  0.11589400
1943.984553  3.8520  2500   79.656  0.157  -65.33958800  0.07560600
1943.984553  3.8520  3000   82.160  0.307  -63.69671100  0.11950000
1943.984553  3.8520  3500   85.797  0.081  -61.99243000  0.02314600
1943.984553  3.8520  4000   90.256  0.260  -59.82070400  0.02368100
1943.984553  3.8520  4500   94.656  0.192  -57.76065000  0.04648800
1943.984553  3.8520  5000  100.561  0.126  -55.13142200  0.06417600
1943.984553  3.8520  5500  107.311  0.965  -52.03255100  0.32319600
1943.984553  3.8520  6000  111.717  0.747  -49.85753800  0.31890800
1943.984553  3.8520  6500  118.042  0.662  -46.77606200  0.29533400
1943.984553  3.8520  7000  121.829  0.801  -44.64406200  0.41077900
1943.984553  3.8520  7500  126.274  0.664  -42.36096500  0.42167800
1943.984553  3.8520  8000  129.780  1.010  -40.03576200  0.46221600
