# a2	a3	a4	a5	a6	a7	a8	v1	v2	sigma1	sigma2	z1	z2
-1853.5439232246208	-1736.3450054854875	9620.812571255356	-9365.86085192007	-665.0961348950495	9330.943881186122	-6037.868247710341	70.30185534502795	120.82787749028569	4149.203625046014	1281.7799794703055	0.20938105771104404	0.733842177828019
-4169.991194207985	-5011.303716516853	6202.440894584754	-1314.6103991250002	-4459.002529762121	8330.94045091635	-3467.68520949144	404.1296303168424	334.99670484409836	2974.773256149694	1591.1035818640173	0.09956022754792998	0.6082653342751296
-7768.361640174792	6906.830488855172	6768.214487557892	-8585.082285838576	-6416.901401050579	-1780.787137641133	7455.474617825894	437.72267388459375	793.3663570525836	512.9968720755706	837.8082549370225	0.4350070195849372	0.6391938590692554
-1449.589787404655	-4973.98836429708	8265.9778154349	-9791.792388217402	9238.84417101692	-2225.651658652033	-793.4486469183976	339.1956581008716	86.99919115329729	688.8674751138501	2500.0459432243892	0.10849977826876264	0.5145737928523384
-6804.2160374314735	3930.0644634454857	3750.476786656918	7877.9784508537705	-8436.653063419715	-9102.849967271382	7315.7097811513595	407.0350338001679	925.0066896923262	6193.814115455943	1271.8297520801002	0.2138078498600151	0.626744272293398
-559.8917422452887	-7341.524919983105	1683.3146873792339	5564.166894474887	27.30027659647203	2896.435926536722	-4079.1770710067694	529.5162293620626	52.679050414226	7867.968501451548	1899.7676558207743	0.06272332863457497	0.5283092185838029
-9178.8992421875	-4317.06357196604	5274.27569863094	9367.197620435258	5476.637966842847	-3987.164751179177	-7143.824711182533	317.7882931637503	728.0385997385416	11236.757215032358	774.9658261431991	0.16207912186997414	0.5413488190819049
-768.7831072865574	-4101.437666606551	-3211.1006786597554	1310.9354970199001	1939.2551657893382	7270.111406927932	-6041.205984804374	964.003637557039	66.2922439086948	1995.7398850841469	2323.6465841608656	0.36173543829828825	0.5363560599529288
1212.3983507463417	-7237.13107397169	4347.302545238304	36.963212761695104	-2110.2874986418656	9250.734632658885	-6801.348171831938	432.2754947318402	992.0338429925418	10495.24659207299	1154.2422547928365	0.144474208093901	0.5645130922385054
-2539.470497477032	9071.92472695803	-6582.484012910772	-8341.079161620952	4035.2482972878697	3712.8332442957453	-562.8776949535168	854.3861104844652	382.1511083908637	9056.07782536025	2717.823586597157	0.17281197064504905	0.568960162810019
-5243.294515406982	-8673.490213077652	7468.0570316726735	1633.3279977998063	2562.724124510263	-7556.041802106987	4420.26344669129	995.0097034018562	306.5457270190069	8242.30114446754	684.6136633825273	0.23455771410687126	0.5469406451726114
1476.6654997872593	-4723.527002656558	4884.145655885841	236.75052056743516	-8256.630285791829	-268.3470420177	5090.854158976552	796.5332226549157	26.625114436784674	3294.8477744830516	1196.5557014390015	0.10267753291503778	0.618663866900218
-828.3617979841456	976.6211229661476	-1808.4720794019722	-9810.175672148955	8496.970982716859	7359.1146688540175	-6291.586893676473	912.7703371056224	429.80082422094245	4620.264366054083	2702.812400996659	0.153910761643632	0.5611835835119355
-457.3036647788813	-8843.007477918873	2583.922423224056	3750.3973842452015	5067.267805648202	4922.871656015184	-9847.655587220042	479.5436076385553	754.6238034084831	7996.371959440349	1118.0354382772427	0.20824652213349776	0.5488084550440228
-4670.548553134211	2111.8162791708146	-832.2486042064738	-4104.48885643244	9957.031833512763	-4795.975769539269	-464.4557832639566	287.30586898194264	904.8774639437661	3258.354133350334	1878.9800561737957	0.31341639099221075	0.6080608058623733
-8920.45723534899	-94.22911342754014	326.8939018719084	3494.3768521063175	9835.000381416092	-755.3398093048199	-8480.427043523929	558.9581979905881	649.9912561186328	3092.200901349269	246.74660199700992	0.21162717808070108	0.6602269370850955
-5043.665388752663	201.83593040336018	5525.6606124147675	-1560.9673537313702	-1729.952041199067	4381.55497304894	-4586.806473334879	112.21377270888925	197.78474303585267	8581.435921620956	2776.463420888613	0.07033023713028985	0.5628494438581207
-2598.999885463233	-956.6007594089915	-1437.2069971431029	3524.660978209389	343.9064840484025	5924.091650043354	-7385.03864097205	94.23203977815247	468.15406519832294	6992.4888139538525	73.07369845313217	0.22691913064954583	0.8369054764203974
-9901.88840468975	7207.248567823004	1548.434384986018	-3045.986515608006	4308.556893969191	6479.675375140196	-9259.309524793905	596.0355223850813	355.17724762422085	2731.163409394304	1171.403816980867	0.29456860604219376	0.6100385770372395
-5545.570952584351	7158.777532975368	-2921.077016749793	2787.237244906497	-4504.759898025714	-708.5688097951388	1531.6919602038633	913.6174163745893	175.25911698040113	1747.9199563433513	1181.0699418082015	0.07772236083163374	0.6498253596533264
-6395.9374792191775	-3554.804447853883	8883.333194870316	-4083.7133870786984	9371.76558273775	-4596.233980575042	-3062.174913887501	234.4957458758172	484.5549479435468	10282.926087616335	545.5690241379397	0.268819770851187	0.7751713540131969
-3017.6783620273227	1605.6894708878372	6942.485892185683	-9454.25214712262	4050.4651220990363	-4652.925953615699	2970.0333076716797	485.7189481057571	218.39990001671072	10081.131690011433	2338.879373333367	0.17364353173470118	0.5517897972683722
-8839.543868839315	5439.634174883355	-7173.178452617659	8415.225789844608	-140.43480068887766	6451.733195169119	-7734.396898609781	415.7353709082272	479.4843955119616	12101.284059847329	1070.6050186578952	0.2127804593711668	0.5622027039644231
-8294.198439788583	-5086.949373173328	7279.787387687822	8633.058616105693	-3397.351281926788	2670.310701505061	-5332.388265525112	159.80034840715908	497.87409343071323	1557.1573555941786	863.2300780078417	0.25880603909555205	0.5397762583097007
-7907.373938992295	9576.170218086776	-2850.0968682789953	4211.853348360242	-7297.499677759986	-1168.5237368956896	3609.6821922565705	831.3752717990254	287.10091541092584	1597.546844129656	1671.896498310459	0.40205365997781856	0.5831248492345635
-6575.636065673323	8586.808401166349	-3290.417283860287	-3101.179762009143	-3256.5934434490455	9669.118089624884	-4290.965535448534	531.2754385008309	922.4092264857441	1743.6060079927129	2707.090691301166	0.1701723300353538	0.5127495826812466
-5483.759023218895	-391.45904601336406	-2618.0947331272428	4059.9419267640405	704.0229101766363	1504.312821771813	-1825.0688454585306	487.6965237554457	353.07488819798436	3471.11659973218	1699.2366609248388	0.2536686271114311	0.6084439203227547
2304.2737487048616	-5100.081994793994	-7611.9770456551605	-2235.763858934325	9652.729691222765	8195.825459758431	-8150.788121182238	615.8434649568998	930.917223698609	5428.99180947281	1048.012556294775	0.0740666763384982	0.6333214974284003
-5003.132238317047	9301.174802257283	-4791.64583148725	-3953.237989096505	3513.589580959264	2385.4050884418084	-2306.7308549439012	768.687693326994	668.5694214330732	12771.738708035022	1754.611509801176	0.11077953970989138	0.7105487469806578
-6349.979362620481	8990.405407377828	-9170.429021907867	4068.422388383262	-1451.359914273531	1370.6799455716136	-27.444037585424667	809.9726119051319	488.5044907872642	3897.260644555618	648.5757870663899	0.20732867406349115	0.6627276229224661
-2378.4928824511417	-1545.4863827740355	-4171.60727310615	6057.62072949325	-848.6301795452364	-1107.6896942127587	1046.4080434240077	701.4371955857864	37.443919796297266	5091.644532895647	84.17806742702095	0.3496563243191598	0.8384268649350788
-1092.289509726972	-5264.293064044965	6659.528842966374	-2532.003203700632	2115.8047270758852	-3410.594465515839	1513.8992149461847	660.336386579966	705.2206212238485	7405.96838457789	78.6551622858478	0.3180467161572109	0.7630328765372193
-4074.56486610714	3688.7254808157995	759.1111424635747	-1701.184428283288	5939.952057411416	-8774.968839794961	2902.4239486995793	90.85768092058488	630.2994603523609	8744.695595364548	2132.4474278460025	0.12433433726753912	0.5844599850719231
-3495.568487846641	-1003.6023645919631	2922.6042509469607	-372.04241089740026	-6055.813783500299	6442.120576652189	-1186.1764457741501	434.0130506086438	948.0789332070938	2336.4970314049538	1160.2126201242058	0.27037243308657427	0.5145847495979157
442.17648587513213	-1865.9727651583216	-1389.298301233468	-2243.739012416215	4443.060318498619	-3418.350133346069	1926.2579356556307	330.7161585990564	627.1203018896556	5041.24057810291	383.6357101853505	0.18104704835667235	0.6069407044798238
-7239.198049844331	1925.2043170252127	-7432.446588650526	7516.711860840998	7892.316405835747	-6183.226186723372	-714.5670744831241	109.05165862179926	635.0344589662839	2179.561117713746	322.28292493868827	0.4769694877926267	0.7167911362316258
-2669.27074236669	5516.789534263826	-4690.363167546303	-162.8080106632333	-4818.65318366701	5992.127301771508	-972.5691116841499	529.4719997022632	25.729147531389003	7292.231693725919	849.5537368686201	0.058356196412882096	0.7422244616807154
-8557.640884802	2611.485316907989	103.68090774835764	5566.05960928963	2117.6646906716305	-3233.555750839365	-1727.4121764614629	830.4651458663271	637.3593913549423	7531.218859473487	3955.109584119323	0.07259946158870684	0.5205353509863977
-7825.052800712091	6355.829149971243	-9566.08109879832	7850.294543995682	-4590.634977216481	9355.028355626713	-6111.658050195694	83.55749595498222	272.47640214921626	3546.0554701929814	702.0767294080188	0.20804595657488772	0.6096520771322841
-9555.019508301028	7200.9375540762885	-9955.237488872757	6924.426962327325	9466.823883575249	-8580.750369540767	-297.15424425741185	836.0212319156425	45.356765820967226	10113.735358226508	2321.346269019582	0.06843567594279432	0.5181721405961331
-5746.2270091827	5925.452185133279	6324.589591407874	-4474.069771841471	-2554.2937065945616	-7457.927268975602	5949.322399922803	670.8639309291244	161.29735071606663	4225.288785618018	457.7045800980994	0.16396627323198215	0.5233150217816029
-3502.6228678561047	-9796.522458325368	7243.244994010511	8090.456233872304	-3748.033506368267	1647.9004640896092	-3968.3326737192683	768.464928282285	698.5629439427112	279.71101363849505	2274.771201584158	0.2676862289822561	0.537737991297739
-3570.909318905992	969.0638425973102	8810.241558331669	-4091.2093746406117	-1777.6485917060254	-3286.14875430995	1892.5184452927751	113.8953759873052	560.4115255689343	5547.779425571802	1463.3519899706248	0.30559583716435657	0.6631676255103084
-1776.5641324251264	4194.668739846957	-9115.706080145601	7578.501032069842	-8469.56286556242	6763.56004320526	-1563.625056738385	423.2865205028986	466.1944197532173	9604.149693115649	158.20283634480737	0.13551011271501318	0.7450544745979799
-7058.636736637782	3315.0243961522883	559.3314938614731	9245.165657058664	-6697.834337064114	426.3805848926204	-2668.0560480959994	952.6281405384753	330.9370628781028	5743.702145798539	353.9955922583693	0.34812685321565384	0.7503991038409521
-1532.7672853099975	-3996.916635319847	2077.905533979276	1633.3165054098536	5866.075373269561	-2195.773827636507	-3613.9105423514484	556.386381142955	111.29652498666822	1790.279484801236	2050.3699675183575	0.09871932779667209	0.5780949350378379
-4545.963679695804	-2116.923028157207	-9755.920479625007	9312.609620329855	2353.8107770613224	9684.209372575555	-9399.642339091468	324.50051534802117	50.7053227177073	9268.141558821359	6.069800825461158	0.23253120822416734	0.6067719391880619
-5764.750361243125	-160.2496878013735	8831.527750640198	-3713.364556583487	-4148.988759612868	1015.4604818978914	1584.8908055252614	232.95958607825253	910.2524287616499	7759.704241272998	2165.2780871443356	0.18145337896964475	0.5308078514576936
-702.1189297853489	2141.1733016613634	-7371.065885959709	5693.125195434655	-5067.511095981756	1217.6696723731166	2134.0950245591266	113.95014287505505	532.4956528984889	6902.529902704599	511.4085649907918	0.2509333975456728	0.830357002966761
-3401.1001988929747	-5601.287955632215	7856.44995535885	-1003.9279329510118	9025.2461546866	-5971.371667541621	-3180.339101959069	440.54831948088025	75.28566849515707	11520.551148857157	1398.550103848195	0.2273433737938298	0.6341786942764027
193.00045490350203	-1142.3145648418194	-7123.11035697039	5626.438954548092	-4658.295281336242	7582.834697873488	-3424.514205315223	763.0984278387534	853.904404415611	6195.56769679013	1043.9095018170751	0.23332291494288948	0.5681291545217448
