Planet name,pl_rade,pl_radeerr,pl_masse,pl_masseerr,P_HD (%),Spectral type,Star Teff,Star age (Gyr),TSM,ESM,Teq
Kepler-105 c,1.31,0.07,4.6,0.92,92.46,,5827,,0.584958,0.319613,997
Kepler-406 b,1.43,0.03,6.35,1.4,93.722,,5538,5.84,0.636548,0.603005,1302
HD 137496 b,1.31,0.06,4.04,0.55,91.383,G,,,1.999731,1.692598,2130
Kepler-107 c,1.597,0.026,10,2,96.058,,5854,4.29,2.064422,0.407352,1378
K2-229 b,1,0.02,2.49,0.43,99.905,G9,5315,5.4,3.442659,2.406349,1818
Kepler-80 d,1.53,0.09,6.75,0.69,81.307,K5,4540,2,3.698796,0.332248,722
L 168-9 b,1.39,0.09,4.6,0.56,77.782,M1 V,3800,,11.398954,9.545256,965
TOI-1468 b,1.28,0.039,3.21,0.24,88.867,M3.0 V,3496,,14.632045,6.247928,682
TOI-431 b,1.28,0.04,3.07,0.35,76.644,,4850,,20.510634,15.617444,1862
GJ 3929 b,1.09,0.04,1.75,0.45,68.026,M3.5 V,3369,,20.808627,4.12642,568
GJ 367 b,0.718,0.054,0.546,0.078,92.574,M1.0 V,3522,,46.174097,16.197738,1365
