# Podolak et al. (2019), Fig 4, Uranus P-T profile					
# P1 (GPa)	T1 (K)	P2	T2	P3	T3
0.001107317	188.2559465	0.089901123	703.1557556	0.040944568	363.4210742
0.001308281	197.2734563	0.110599389	741.1795886	0.04755737	383.034158
0.001545717	206.2909661	0.137445327	784.1630519	0.056188428	405.5779325
0.001826245	220.7189818	0.164870702	822.1868849	0.066385913	424.9655785
0.002157686	236.0487484	0.197768445	861.863928	0.078434112	444.8041001
0.002549278	250.0258886	0.236512238	903.5248232	0.092668906	465.9952481
0.00301194	268.5117837	0.280710079	945.1857185	0.109487134	488.5390226
0.003558568	287.4485542	0.322656908	980.1865386	0.129357657	511.984548
0.004204403	306.3853248	0.390265584	1015.61247	0.152834427	531.3721941
0.004967449	324.8712199	0.46342998	1047.023462	0.180571931	554.3668441
0.005868978	344.2588659	0.555550168	1081.327573	0.213343441	577.361494
0.006934123	364.0973874	0.675302249	1119.764708	0.252062562	601.7087705
0.008192578	383.4850335	0.828682935	1161.921566	0.297808712	626.5069224
0.009679426	403.7744305	0.974963664	1198.567724	0.351857206	653.5594518
0.011436119	424.5147031	1.17147641	1240.449047	0.415714814	681.0628566
0.013511629	445.2549756	1.3718975	1278.47288	0.491161766	710.820639
0.015963818	466.8969991	1.622108646	1320.133776	0.58030138	741.9310477
0.018861048	488.9898981	1.934014234	1365.762375	0.685618701	774.8449585
0.022284088	511.984548	2.264321248	1408.415196	0.810049777	807.3079937
0.026328367	534.979198	2.69154024	1457.019574	0.95706351	842.9271574
0.031106631	559.7773499	3.170392535	1503.910625	1.130758366	879.4480721
0.036752089	584.5755019	3.745778463	1553.506929	1.335976629	918.2233642
0.043422125	610.7262803	4.425589619	1604.455859	1.578439398	957.4495318
0.051302689	637.3279341	4.996280512	1641.517825	1.864906076	999.3809523
0.060613474	665.2822145	7.410418808	1773.083292	2.203362813	1042.214124
0.071614049	693.6873703	8.755315584	1829.442729	2.603245143	1087.301673
0.084611088	724.3469036	10.34429402	1886.703916	3.075701032	1132.840097
0.099966925	755.0064369	12.22165184	1945.317729	3.633901655	1180.632899
0.118109651	787.4694722	14.43972623	2003.931543	4.293408594	1230.229203
0.13954505	820.3833829	17.06035291	2045.412088	5.072607654	1281.178133
0.164870702	856.9042976	20.71424405	2079.949151	5.993221436	1332.577939
0.194792638	893.8760877	23.81475476	2097.262769	7.080914911	1384.879496
0.230145025	933.5531308	28.91526599	2126.569676	8.36601092	1439.886306
0.27191342	974.1319249	33.24330671	2144.604696	9.884335512	1493.991364
0.321262248	1014.710719	39.63546371	2171.20635	11.67821671	1551.252552
0.37956726	1044.468501	46.40473741	2194.651875	13.79766453	1607.161112
0.448453891	1074.226284	55.32762735	2223.778432	16.30176518	1647.289031
0.52984257	1105.787568	64.77693909	2246.953432	18.74181548	1665.32405
0.626002258	1138.701479	77.23251002	2274.366662	22.7558329	1691.023953
0.739613707	1172.968016	90.42291956	2301.509366	26.16192888	1710.95265
0.873844189	1208.587179	106.8335296	2327.434707	31.76514476	1738.36588
1.032435797	1246.460721	126.2224566	2357.868802	35.86133994	1754.597397
1.219809765	1285.686888	147.7797761	2383.47853	44.34135311	1788.413059
1.441189725	1326.716558	176.1954671	2416.482616	50.05928193	1805.185627
1.702747332	1367.746227	206.2875924	2443.986021	61.89663577	1839.812865
2.011774319	1411.932025	245.9534021	2475.998181	69.87836237	1857.757709
2.376885775	1458.372201	287.9593669	2503.501586	86.40226902	1894.819675
2.808260316	1506.615878	343.3293546	2535.06287	98.28631466	1914.132175
3.317923851	1555.310431	401.9659934	2560.041372	120.6099814	1951.629986
3.920084836	1607.161112	479.2576347	2586.913551	137.1990657	1970.341319
4.631530383	1658.560918	566.2368007	2602.243318	168.3609445	2010.2438
5.472094248	1716.272981	653.9588992	2607.03387	191.5178497	2029.856884
7.873731305	1824.483098	808.5984105	2611.373547	235.0170965	2070.21024
9.302713408	1894.368799	0	0	267.3421029	2089.372448
10.99103759	1952.982613	0	0	333.0749863	2131.529307
12.98577114	2012.949053	0	0	376.025842	2148.39205
15.34252346	2069.308489	0	0	464.9434369	2183.830863
17.58558941	2104.605599	0	0	549.324758	2201.415008
22.07617446	2175.715105	0	0	644.1188293	2206.419726
25.75525295	2222.455864	0	0	808.5984105	2210.263439
30.81640126	2285.728724	0	0	0	0
36.87211259	2353.059464	0	0	0	0
43.01699048	2409.719484	0	0	0	0
54.00163533	2512.06822	0	0	0	0
63.52646499	2583.56419	0	0	0	0
75.38154157	2669.423766	0	0	0	0
93.20676692	2798.374156	0	0	0	0
109.6466131	2900.272016	0	0	0	0
125.2692273	2989.545363	0	0	0	0
151.4084589	3151.86054	0	0	0	0
183.0020182	3339.199306	0	0	0	0
216.2145573	3531.798286	0	0	0	0
249.7107812	3738.449552	0	0	0	0
269.8305981	3866.297802	0	0	0	0
290.1017035	3983.675721	0	0	0	0
308.7590689	4099.262662	0	0	0	0
328.0632322	4210.854346	0	0	0	0
348.574326	4326.165752	0	0	0	0
367.9690759	4442.008548	0	0	0	0
390.5519769	4563.608057	0	0	0	0
414.9699776	4691.318539	0	0	0	0
440.4374056	4823.191569	0	0	0	0
461.4321941	4943.639735	0	0	0	0
488.4269444	5066.390587	0	0	0	0
511.8016677	5185.008414	0	0	0	0
533.9287567	5309.412476	0	0	0	0
556.6607173	5440.222728	0	0	0	0
579.2616545	5561.113718	0	0	0	0
607.7508402	5739.715519	0	0	0	0
624.8806499	5877.978993	0	0	0	0
644.1188293	5989.295142	0	0	0	0
666.1098702	6102.776208	0	0	0	0
689.5981082	6226.058449	0	0	0	0
716.8412901	6353.827975	0	0	0	0
740.691027	6498.129602	0	0	0	0
758.5497872	6632.039622	0	0	0	0
784.4476473	6783.166645	0	0	0	0
810.644225	6968.822143	0	0	0	0
820.9512009	7118.437659	0	0	0	0
