# z (km)	p (mbar)	T (K)	rho (kg/m3)	mu (amu)	R (J/kg*K)	g (m/s2)	cp/cv
1029.2	9.63E-07	899.9	2.58E-11	1.999	4159	22.526	1.4
1020	1.02E-06	903.4	2.71E-11	2	4157.8	22.533	1.4
1000	1.15E-06	897	3.08E-11	2.001	4155.4	22.547	1.4
980	1.30E-06	883.9	3.54E-11	2.002	4152.9	22.562	1.4
960	1.47E-06	872.2	4.06E-11	2.003	4150.5	22.576	1.4
940	1.66E-06	866	4.64E-11	2.004	4148.1	22.59	1.4
920	1.89E-06	865.4	5.26E-11	2.006	4145.6	22.605	1.4
900	2.14E-06	869.1	5.95E-11	2.007	4143.2	22.619	1.4
880	2.43E-06	875.2	6.70E-11	2.008	4140.9	22.633	1.4
860	2.75E-06	881.4	7.54E-11	2.009	4138.5	22.648	1.4
840	3.11E-06	885.2	8.50E-11	2.01	4136.2	22.662	1.4
820	3.52E-06	884.4	9.64E-11	2.011	4133.9	22.677	1.4
800	3.99E-06	877.2	1.10E-10	2.012	4131.6	22.691	1.4
780	4.53E-06	862.2	1.27E-10	2.014	4128.5	22.706	1.401
760	5.15E-06	840	1.49E-10	2.015	4125.5	22.72	1.401
740	5.89E-06	812	1.76E-10	2.017	4122.4	22.735	1.401
720	6.77E-06	776.1	2.12E-10	2.018	4119.3	22.749	1.401
700	7.83E-06	741	2.57E-10	2.02	4116.2	22.763	1.401
680	9.12E-06	712.8	3.11E-10	2.023	4110.6	22.778	1.401
660	1.07E-05	692.7	3.76E-10	2.026	4104.8	22.792	1.401
640	1.26E-05	680.2	4.51E-10	2.028	4099.1	22.807	1.402
620	1.48E-05	674.6	5.36E-10	2.031	4093.4	22.822	1.402
600	1.75E-05	669.8	6.39E-10	2.034	4087.6	22.836	1.402
580	2.06E-05	670.3	7.56E-10	2.039	4078.2	22.851	1.402
560	2.45E-05	664	9.05E-10	2.043	4068.8	22.865	1.403
540	2.90E-05	642.4	1.11E-09	2.049	4056.9	22.88	1.404
520	3.48E-05	594.3	1.45E-09	2.057	4042.2	22.894	1.404
500	4.26E-05	545.9	1.94E-09	2.064	4027.4	22.909	1.405
480	5.27E-05	535.8	2.46E-09	2.077	4003.9	22.924	1.406
460	6.52E-05	535.7	3.06E-09	2.089	3980.4	22.938	1.408
440	8.15E-05	483.1	4.28E-09	2.107	3946.1	22.953	1.411
420	0.0001072	392.9	6.99E-09	2.129	3904.6	22.968	1.413
400	0.0001463	370.2	1.02E-08	2.152	3863.2	22.982	1.414
380	0.0002107	289.2	1.92E-08	2.187	3802.5	22.997	1.429
360	0.0003367	231.7	3.89E-08	2.224	3738.7	23.012	1.445
340	0.0006036	198.6	8.25E-08	2.257	3684.5	23.026	1.461
320	0.001152	194.2	1.63E-07	2.281	3645.4	23.041	1.472
300	0.002177	177.6	3.42E-07	2.296	3621.3	23.056	1.483
280	0.0048	152.8	8.71E-07	2.303	3610.5	23.07	1.488
260	0.01094	151	2.01E-06	2.306	3604.8	23.085	1.489
240	0.02475	155.7	4.42E-06	2.308	3602.5	23.1	1.489
220	0.05593	157.2	9.88E-06	2.309	3601.6	23.115	1.49
200	0.1257	158.2	2.21E-05	2.309	3600.7	23.13	1.49
180	0.2824	157.4	4.98E-05	2.309	3600.6	23.144	1.49
160	0.6192	168.6	0.000102	2.309	3600.6	23.159	1.49
140	1.342	160.5	0.0002325	2.309	3600.5	23.174	1.491
120	3.079	149.8	0.000571	2.309	3600.4	23.189	1.491
100	7.177	158.1	0.001261	2.309	3600.4	23.204	1.493
80	16.4	143.8	0.003168	2.309	3600.4	23.218	1.511
60	43.74	122.6	0.009915	2.309	3600.4	23.233	1.534
40	135.8	113.2	0.03335	2.309	3600.4	23.248	1.547
23.3	351.5	122.9	0.07945	2.309	3600.4	23.261	1.528
0.0	1.0e4	400.0	0.07945	2.309	3600.4	23.261	1.528
# last row was added based on Voyager & ASI experiment data, i.e. Fig. 30 and 32 in Seiff+1997
