# phase transition data from Table 2 in Dunaeva et al. 2010
# note that some ranges are extended
# phase transition	T_min (K)	T_max (K)	P_min (bar)	P_max(bar)	a	b	c	d	e	error (%)
L-I	251.165	300	0.01	2085.66	273.0159	-0.0132	-0.1577	0	0.1516	0.63
L-III	251.165	256.16	2085.66	3501	10.277	0.0265	50.1624	0.5868	-4.3288	0.38
L-V	256.16	273.31	3501	6324	5.0321	-0.0004	30.9482	1.0018	0	0.16
L-VI	273.31	355	6324	22160	4.2804	-0.0013	21.8756	1.0018	1.0785	0.13
L-VII	355	1500	22160	400000	-1355.42	0.0018	167.0609	-0.6633	0	9.43
L-X	1500	2821	400000	900000	0.2524	0.0019	0.2795	0.5	1.1675	7.57
I-II	200	238.5	1500	2130	0.2569	0.1026	0.2931	0.5	0.3789	1.82
I-III	238.5	251.165	2085.66	2130	18.9177	-0.3447	124.452	0.5709	0	1.58
II-III	238.5	248.9	2130	3440	6.8396	0.0007	33.13	0.5	-0.5162	0.05
II-V	209.8	248.9	3440	6080	6.6088	-0.028	36.2934	0.0086	0.7358	2.47
II-VI	200	209.8	6080	6500	1.0231	-0.3688	6.2306	0.501	30.7367	0.14
III-V	248.9	256.16	3440	3501	0.7846	0.1647	-0.5408	0.9999	-5.3526	0.98
V-VI	209.8	273.31	6080	6324	0.1181	0.4754	-5.8193	0.9997	-33.7273	1.49
VI-VII	278.16	355	21200	22160	-47.8507	0	-389.006	0.9932	28.8539	0.8
VI-VIII	200	278.16	19000	21200	-8.2483	0.0518	-81.5196	0.9991	0	1.48
VII-VIII	100	278.16	21200	620000	696.858	-0.0009	-52.7565	1.4191	0.8696	3.09
VII-X	100	1500	400	620000	28.3439	-0.007	331.927	1.0001	0	2.75
VIII-X	0	100	620000	635500	10	-0.0128	9.9998	10	9.9873	1.46
