# P_core (Pa)	M (Me)	R (Re)
3.199267e+11	0.487164	0.627344
3.287380e+11	0.502022	0.632838
3.377919e+11	0.517278	0.638347
3.470952e+11	0.532969	0.643888
3.566547e+11	0.549078	0.649444
3.664776e+11	0.565646	0.655032
3.765709e+11	0.582683	0.660651
3.869422e+11	0.600172	0.666286
3.975992e+11	0.618155	0.671953
4.085497e+11	0.636612	0.677635
4.198018e+11	0.655588	0.683348
4.313638e+11	0.675097	0.689093
4.432442e+11	0.695117	0.694853
4.554518e+11	0.715697	0.700645
4.679956e+11	0.736851	0.706468
4.808849e+11	0.758557	0.712307
4.941292e+11	0.780829	0.718162
5.077383e+11	0.803717	0.724048
5.217222e+11	0.827237	0.729965
5.360912e+11	0.851368	0.735899
5.508560e+11	0.876162	0.741863
5.660274e+11	0.901596	0.747843
5.816166e+11	0.927727	0.753855
5.976352e+11	0.954531	0.759882
6.140950e+11	0.982066	0.765941
6.310081e+11	1.010307	0.772015
6.483871e+11	1.039314	0.778121
6.662446e+11	1.069063	0.784243
6.845940e+11	1.099616	0.790396
7.034488e+11	1.130947	0.796564
7.228228e+11	1.163121	0.802764
7.427305e+11	1.196113	0.808980
7.631864e+11	1.229941	0.815211
7.842057e+11	1.264672	0.821474
8.058039e+11	1.300281	0.827752
8.279970e+11	1.336837	0.834062
8.508013e+11	1.374314	0.840388
8.742336e+11	1.412733	0.846729
8.983114e+11	1.452166	0.853102
9.230522e+11	1.492588	0.859490
9.484745e+11	1.534019	0.865894
9.745969e+11	1.576539	0.872329
1.001439e+12	1.620117	0.878780
1.029020e+12	1.664780	0.885247
1.057361e+12	1.710606	0.891745
1.086482e+12	1.757569	0.898259
1.116405e+12	1.805693	0.904789
1.147153e+12	1.855064	0.911350
1.178747e+12	1.905592	0.917911
1.211212e+12	1.957484	0.924519
1.244570e+12	2.010590	0.931127
1.278848e+12	2.064997	0.937751
1.314069e+12	2.120799	0.944406
1.350261e+12	2.177963	0.951077
1.387449e+12	2.236522	0.957763
1.425661e+12	2.296506	0.964466
1.464926e+12	2.358013	0.971199
1.505272e+12	2.420945	0.977933
1.546730e+12	2.485469	0.984698
1.589329e+12	2.551551	0.991479
1.633102e+12	2.619228	0.998275
1.678080e+12	2.688534	1.005087
1.724297e+12	2.759505	1.011915
1.771786e+12	2.832252	1.018774
1.820584e+12	2.906666	1.025633
1.870726e+12	2.982860	1.032508
1.922248e+12	3.060946	1.039415
1.975190e+12	3.140815	1.046321
2.029590e+12	3.222660	1.053259
2.085488e+12	3.306368	1.060196
2.142925e+12	3.392137	1.067165
2.201945e+12	3.479853	1.074134
2.262590e+12	3.569720	1.081135
2.324905e+12	3.661620	1.088135
2.388936e+12	3.755764	1.095167
2.454731e+12	3.852031	1.102199
2.522338e+12	3.950551	1.109247
2.591807e+12	4.051462	1.116326
2.663189e+12	4.154638	1.123404
2.736538e+12	4.260126	1.130483
2.811906e+12	4.368156	1.137594
2.889350e+12	4.478691	1.144720
2.968927e+12	4.591692	1.151846
3.050696e+12	4.707398	1.159003
3.134717e+12	4.825677	1.166161
3.221052e+12	4.946677	1.173334
3.309764e+12	5.070359	1.180507
3.400920e+12	5.196976	1.187712
3.494587e+12	5.326389	1.194916
3.590833e+12	5.458758	1.202136
3.689730e+12	5.594144	1.209372
3.791351e+12	5.732506	1.216608
3.895770e+12	5.874009	1.223860
4.003066e+12	6.018717	1.231127
4.113316e+12	6.166591	1.238394
4.226603e+12	6.317803	1.245677
4.343010e+12	6.472420	1.252976
4.462624e+12	6.630402	1.260275
4.585531e+12	6.791928	1.267589
4.711823e+12	6.957072	1.274919
4.841594e+12	7.125790	1.282249
4.974939e+12	7.298154	1.289579
5.111956e+12	7.474355	1.296925
5.252748e+12	7.654470	1.304287
5.397416e+12	7.838456	1.311648
5.546069e+12	8.026513	1.319025
5.698816e+12	8.218600	1.326402
5.855770e+12	8.414917	1.333795
6.017047e+12	8.615426	1.341188
6.182766e+12	8.820336	1.348597
6.353049e+12	9.029603	1.356005
6.528021e+12	9.243314	1.363414
6.707813e+12	9.461686	1.370838
6.892556e+12	9.684677	1.378262
7.082388e+12	9.912512	1.385702
7.277447e+12	10.145150	1.393142
7.477879e+12	10.382682	1.400582
7.683832e+12	10.625202	1.408022
7.895456e+12	10.872948	1.415478
8.112909e+12	11.125876	1.422934
8.336351e+12	11.384087	1.430389
8.565946e+12	11.647826	1.437861
8.801866e+12	11.917051	1.445332
9.044282e+12	12.191868	1.452803
9.293376e+12	12.472382	1.460275
9.549329e+12	12.758849	1.467762
9.812332e+12	13.051081	1.475233
1.008258e+13	13.349489	1.482720
1.036027e+13	13.654035	1.490207
1.064561e+13	13.964836	1.497694
1.093880e+13	14.282004	1.505181
1.124007e+13	14.605659	1.512668
1.154964e+13	14.935922	1.520155
1.186774e+13	15.272912	1.527642
1.219459e+13	15.616921	1.535145
1.253045e+13	15.967743	1.542632
1.287556e+13	16.325672	1.550119
1.323017e+13	16.691006	1.557622
1.359455e+13	17.063537	1.565109
1.396896e+13	17.443570	1.572596
1.435369e+13	17.831238	1.580083
1.474901e+13	18.226859	1.587586
1.515522e+13	18.630040	1.595057
1.557262e+13	19.041455	1.602544
1.600151e+13	19.461071	1.610031
1.644222e+13	19.889033	1.617518
1.689506e+13	20.325308	1.624990
1.736038e+13	20.770226	1.632461
1.783851e+13	21.223942	1.639933
1.832981e+13	21.686610	1.647404
