P_core (Pa)	M (Me)	R (Re)
1.000000e+09	0.000215	0.053070
1.097499e+09	0.000247	0.055597
1.204504e+09	0.000284	0.058234
1.321941e+09	0.000326	0.061012
1.450829e+09	0.000375	0.063900
1.592283e+09	0.000431	0.066930
1.747528e+09	0.000494	0.070085
1.917910e+09	0.000568	0.073397
2.104904e+09	0.000652	0.076850
2.310130e+09	0.000749	0.080460
2.535364e+09	0.000859	0.084227
2.782559e+09	0.000986	0.088167
3.053856e+09	0.001131	0.092295
3.351603e+09	0.001298	0.096596
3.678380e+09	0.001488	0.101085
4.037017e+09	0.001706	0.105778
4.430621e+09	0.001956	0.110675
4.862602e+09	0.002242	0.115792
5.336699e+09	0.002568	0.121113
5.857021e+09	0.002941	0.126669
6.428073e+09	0.003367	0.132461
7.054802e+09	0.003854	0.138504
7.742637e+09	0.004408	0.144783
8.497534e+09	0.005041	0.151328
9.326033e+09	0.005762	0.158140
1.023531e+10	0.006585	0.165235
1.123324e+10	0.007520	0.172596
1.232847e+10	0.008584	0.180256
1.353048e+10	0.009792	0.188198
1.484968e+10	0.011166	0.196454
1.629751e+10	0.012723	0.205009
1.788650e+10	0.014488	0.213877
1.963041e+10	0.016489	0.223075
2.154435e+10	0.018751	0.232587
2.364489e+10	0.021309	0.242428
2.595024e+10	0.024201	0.252615
2.848036e+10	0.027462	0.263131
3.125716e+10	0.031133	0.273977
3.430469e+10	0.035273	0.285184
3.764936e+10	0.039930	0.296737
4.132012e+10	0.045167	0.308650
4.534879e+10	0.051036	0.320893
4.977024e+10	0.057628	0.333513
5.462277e+10	0.065000	0.346462
5.994843e+10	0.073261	0.359788
6.579332e+10	0.082490	0.373459
7.220809e+10	0.092788	0.387476
7.924829e+10	0.104280	0.401854
8.697490e+10	0.117090	0.416592
9.545485e+10	0.131344	0.431676
1.047616e+11	0.147176	0.447090
1.149757e+11	0.164773	0.462865
1.261857e+11	0.184298	0.478984
1.384886e+11	0.205929	0.495434
1.519911e+11	0.229870	0.512213
1.668101e+11	0.256367	0.529338
1.830738e+11	0.285626	0.546776
2.009233e+11	0.317933	0.564544
2.205131e+11	0.353554	0.582626
2.420128e+11	0.392773	0.601006
2.656088e+11	0.435950	0.619700
2.915053e+11	0.483419	0.638693
3.199267e+11	0.535542	0.657967
3.511192e+11	0.592765	0.677540
3.853529e+11	0.655477	0.697380
4.229243e+11	0.724158	0.717487
4.641589e+11	0.799289	0.737845
5.094138e+11	0.881420	0.758454
5.590810e+11	0.971145	0.779314
6.135907e+11	1.069016	0.800394
6.734151e+11	1.175748	0.821709
7.390722e+11	1.291974	0.843229
8.111308e+11	1.418406	0.864936
8.902151e+11	1.555909	0.886848
9.770100e+11	1.705245	0.908933
1.072267e+12	1.867271	0.931174
1.176812e+12	2.042896	0.953557
1.291550e+12	2.233206	0.976096
1.417474e+12	2.439097	0.998746
1.555676e+12	2.662641	1.021615
1.707353e+12	2.906235	1.044798
1.873817e+12	3.171330	1.068280
2.056512e+12	3.459575	1.092059
2.257020e+12	3.772578	1.116106
2.477076e+12	4.112128	1.140403
2.718588e+12	4.480127	1.164936
2.983647e+12	4.878494	1.189674
3.274549e+12	5.309351	1.214599
3.593814e+12	5.774938	1.239697
3.944206e+12	6.277727	1.264968
4.328761e+12	6.819996	1.290364
4.750810e+12	7.404350	1.315870
5.214008e+12	8.033526	1.341471
5.722368e+12	8.710520	1.367165
6.280291e+12	9.438086	1.392907
6.892612e+12	10.219350	1.418680
7.564633e+12	11.057571	1.444469
8.302176e+12	11.956144	1.470257
9.111628e+12	12.918445	1.496015
1.000000e+13	13.948275	1.521741
1.013904e+13	14.106950	1.525539
1.028002e+13	14.267376	1.529353
1.042296e+13	14.429409	1.533167
1.056788e+13	14.592905	1.536966
1.071483e+13	14.758194	1.540780
1.086381e+13	14.924970	1.544579
1.101486e+13	15.093406	1.548377
1.116802e+13	15.263516	1.552175
1.132330e+13	15.435315	1.555974
1.148075e+13	15.608650	1.559757
1.164038e+13	15.783865	1.563555
1.180223e+13	15.960643	1.567338
1.196634e+13	16.139330	1.571136
1.213272e+13	16.319608	1.574919
1.230142e+13	16.501655	1.578702
1.247247e+13	16.685318	1.582469
1.264589e+13	16.870948	1.586252
1.282172e+13	17.058220	1.590019
1.300000e+13	17.247490	1.593802
