P_core (Pa)	M (Me)	R (Re)
1.000000e+08	0.000178	0.086063
1.097499e+08	0.000205	0.090160
1.204504e+08	0.000236	0.094461
1.321941e+08	0.000271	0.098950
1.450829e+08	0.000312	0.103659
1.592283e+08	0.000359	0.108603
1.747528e+08	0.000412	0.113767
1.917910e+08	0.000474	0.119182
2.104904e+08	0.000545	0.124849
2.310130e+08	0.000626	0.130797
2.535364e+08	0.000720	0.137029
2.782559e+08	0.000828	0.143543
3.053856e+08	0.000952	0.150386
3.351603e+08	0.001095	0.157544
3.678380e+08	0.001259	0.165046
4.037017e+08	0.001447	0.172894
4.430621e+08	0.001663	0.181119
4.862602e+08	0.001913	0.189752
5.336699e+08	0.002199	0.198777
5.857021e+08	0.002528	0.208242
6.428073e+08	0.002907	0.218162
7.054802e+08	0.003342	0.228553
7.742637e+08	0.003843	0.239430
8.497534e+08	0.004418	0.250826
9.326033e+08	0.005080	0.262770
1.023531e+09	0.005840	0.275280
1.123324e+09	0.006715	0.288386
1.232847e+09	0.007721	0.302121
1.353048e+09	0.008876	0.316498
1.484968e+09	0.010205	0.331566
1.629751e+09	0.011719	0.347200
1.788650e+09	0.013433	0.363335
1.963041e+09	0.015374	0.379989
2.154435e+09	0.017573	0.397208
2.364489e+09	0.020062	0.414991
2.595024e+09	0.022879	0.433372
2.848036e+09	0.026060	0.452332
3.125716e+09	0.029652	0.471906
3.430469e+09	0.033707	0.492106
3.764936e+09	0.038273	0.512919
4.132012e+09	0.043416	0.534376
4.534879e+09	0.049198	0.556461
4.977024e+09	0.055693	0.579189
5.462277e+09	0.062972	0.602529
5.994843e+09	0.071134	0.626528
6.579332e+09	0.080261	0.651140
7.220809e+09	0.090466	0.676395
7.924829e+09	0.101845	0.702246
8.697490e+09	0.114534	0.728725
9.545485e+09	0.128662	0.755817
1.047616e+10	0.144362	0.783489
1.149757e+10	0.161789	0.811742
1.261857e+10	0.181119	0.840576
1.384886e+10	0.202528	0.869975
1.519911e+10	0.226198	0.899907
1.668101e+10	0.252346	0.930374
1.830738e+10	0.281207	0.961373
2.009233e+10	0.313011	0.992876
2.205131e+10	0.348018	1.024864
2.420128e+10	0.386504	1.057324
2.656088e+10	0.428786	1.090254
2.915053e+10	0.475170	1.123624
3.199267e+10	0.526017	1.157434
3.511192e+10	0.581683	1.191651
3.853529e+10	0.642583	1.226277
4.229243e+10	0.709144	1.261295
4.641589e+10	0.781846	1.296705
5.094138e+10	0.861138	1.332461
5.590810e+10	0.947588	1.368578
6.135907e+10	1.041764	1.405040
6.734151e+10	1.144268	1.441832
7.390722e+10	1.255747	1.478937
8.111308e+10	1.376922	1.516357
8.902151e+10	1.508538	1.554075
9.770100e+10	1.651420	1.592091
1.072267e+11	1.806423	1.630389
1.176812e+11	1.945082	1.661734
1.291550e+11	2.092723	1.692326
1.417474e+11	2.255869	1.723765
1.555676e+11	2.435173	1.756005
1.707353e+11	2.631388	1.788951
1.873817e+11	2.845458	1.822541
2.056512e+11	3.078461	1.856727
2.257020e+11	3.331362	1.891400
2.477076e+11	3.605417	1.926528
2.718588e+11	3.901807	1.962033
2.983647e+11	4.221816	1.997851
3.274549e+11	4.566899	2.033952
3.593814e+11	4.938418	2.070257
3.944206e+11	5.337963	2.106735
4.328761e+11	5.767207	2.143354
4.750810e+11	6.227720	2.180036
5.214008e+11	6.721456	2.216781
5.722368e+11	7.250280	2.253541
6.280291e+11	7.816212	2.290286
6.892612e+11	8.421449	2.326999
7.564633e+11	9.068159	2.363634
8.302176e+11	9.758766	2.400174
9.111628e+11	10.495829	2.436605
1.000000e+12	11.282045	2.472910
1.048113e+12	11.698751	2.491196
1.098541e+12	12.129057	2.509435
1.151395e+12	12.573446	2.527642
1.206793e+12	13.032251	2.545803
1.264855e+12	13.505984	2.563932
1.325711e+12	13.994908	2.581998
1.389495e+12	14.499648	2.600033
1.456348e+12	15.020488	2.618005
1.526418e+12	15.557993	2.635930
1.599859e+12	16.112745	2.653824
1.676833e+12	16.685060	2.671654
1.757511e+12	17.275548	2.689438
1.842070e+12	17.884644	2.707159
1.930698e+12	18.512989	2.724833
2.023590e+12	19.161144	2.742460
2.120951e+12	19.829586	2.760024
2.222996e+12	20.519005	2.777540
2.329952e+12	21.229909	2.794995
2.442053e+12	21.962919	2.812386
2.559548e+12	22.718781	2.829730
2.682696e+12	23.498153	2.847027
2.811769e+12	24.301498	2.864246
2.947052e+12	25.129830	2.881433
3.088844e+12	25.983534	2.898542
3.237458e+12	26.863446	2.915588
3.393222e+12	27.770426	2.932587
3.556480e+12	28.705127	2.949523
3.727594e+12	29.668331	2.966396
3.906940e+12	30.660960	2.983222
4.094915e+12	31.683602	2.999970
4.291934e+12	32.737214	3.016655
4.498433e+12	33.822777	3.033293
4.714866e+12	34.940931	3.049852
4.941713e+12	36.092694	3.066349
5.179475e+12	37.278986	3.082783
5.428675e+12	38.500746	3.099154
5.689866e+12	39.758933	3.115462
5.963623e+12	41.054394	3.131692
6.250552e+12	42.388256	3.147859
6.551286e+12	43.761404	3.163948
6.866488e+12	45.175003	3.179973
7.196857e+12	46.629975	3.195921
7.543120e+12	48.127390	3.211789
7.906043e+12	49.668477	3.227595
8.286428e+12	51.254210	3.243323
8.685114e+12	52.885577	3.258956
9.102982e+12	54.564000	3.274527
9.540955e+12	56.290364	3.290003
1.000000e+13	58.065990	3.305401
