#P_core (Pa)	M (Me)	R (Re)
7.000000e+08	0.006037	0.313155
8.306250e+08	0.007560	0.336338
9.856256e+08	0.009378	0.359992
1.169550e+09	0.011249	0.380695
1.387797e+09	0.013604	0.403125
1.646770e+09	0.016655	0.428380
1.954069e+09	0.020550	0.456304
2.318712e+09	0.024690	0.481857
2.751400e+09	0.029660	0.508195
3.264831e+09	0.036109	0.538033
3.874072e+09	0.044326	0.571121
4.597002e+09	0.054668	0.607253
5.454835e+09	0.067560	0.646227
6.472746e+09	0.083506	0.687868
7.680607e+09	0.103083	0.731975
9.113863e+09	0.126970	0.778388
1.081458e+10	0.155940	0.826936
1.283265e+10	0.190890	0.877478
1.522732e+10	0.232849	0.929871
1.806884e+10	0.282977	0.983960
2.144062e+10	0.342629	1.039650
2.544159e+10	0.413304	1.096784
3.018918e+10	0.496709	1.155236
3.582269e+10	0.594799	1.214913
4.250746e+10	0.709855	1.275735
5.043966e+10	0.844932	1.337876
5.985206e+10	1.004518	1.401885
7.102088e+10	1.195104	1.468688
8.427389e+10	1.424988	1.539226
1.000000e+11	1.703726	1.614207
1.050000e+11	1.793534	1.636432
1.207762e+11	2.079635	1.702199
1.389228e+11	2.411589	1.770634
1.597958e+11	2.793716	1.841220
1.838051e+11	3.231073	1.913563
2.114217e+11	3.730656	1.987539
2.431877e+11	4.301314	2.063210
2.797265e+11	4.953198	2.140655
3.217553e+11	5.697697	2.219951
3.700989e+11	6.536158	2.299970
4.257061e+11	7.462924	2.379063
4.896682e+11	8.470248	2.455801
5.632406e+11	9.542310	2.528521
6.478672e+11	10.655134	2.595418
7.452090e+11	11.863139	2.659929
8.571762e+11	13.212507	2.724629
9.859665e+11	14.716319	2.789548
1.134108e+12	16.389444	2.854687
1.304507e+12	18.248347	2.920046
1.500508e+12	20.310704	2.985561
1.725959e+12	22.595760	3.051187
1.985283e+12	25.124129	3.116859
2.283571e+12	27.917933	3.182516
2.626676e+12	31.000745	3.248079
3.021333e+12	34.397550	3.313453
3.475287e+12	38.134876	3.378545
3.997447e+12	42.240711	3.443260
4.598062e+12	46.744576	3.507504
5.288918e+12	51.677411	3.571168
6.083575e+12	57.071495	3.634141
6.997630e+12	62.960454	3.696297
8.049020e+12	69.379482	3.757544
9.258381e+12	76.364805	3.817754
1.064945e+13	83.954160	3.876834
1.224952e+13	92.186099	3.934659
1.409001e+13	101.100582	3.991118
1.620702e+13	110.738654	4.046101
1.864212e+13	121.142450	4.099531
2.144309e+13	132.355331	4.151312
2.466491e+13	144.421179	4.201320
2.837079e+13	157.386003	4.249523
3.263349e+13	171.296026	4.295795
3.753666e+13	186.199395	4.340105
4.317652e+13	202.145829	4.382391
4.966377e+13	219.186241	4.422588
5.712573e+13	237.373246	4.460667
6.570885e+13	256.761733	4.496580
7.558157e+13	277.408992	4.530326
8.693766e+13	299.374584	4.561876
1.000000e+14	322.720865	4.591227
