P_core (Pa)	M (Me)	R (Re)
1.000000E+08	0.000096	0.063226
1.370000E+08	0.000155	0.074087
1.890000E+08	0.000249	0.086801
2.070000E+08	0.000286	0.090866
2.590000E+08	0.000401	0.101697
3.560000E+08	0.000645	0.119135
4.280000E+08	0.000849	0.130546
4.890000E+08	0.001037	0.139524
6.720000E+08	0.001665	0.163367
8.860000E+08	0.002511	0.187303
9.240000E+08	0.002673	0.191227
1.270000E+09	0.004285	0.223718
1.740000E+09	0.00686	0.261562
1.830000E+09	0.007388	0.268076
2.400000E+09	0.01096	0.305542
3.290000E+09	0.017463	0.356508
3.790000E+09	0.021485	0.381794
4.520000E+09	0.027724	0.415321
6.210000E+09	0.043814	0.482893
7.850000E+09	0.061164	0.538771
8.530000E+09	0.068846	0.560055
1.000000E+10	0.08607	0.60245
1.091126E+10	0.097219	0.626858
1.170000E+10	0.107392	0.647498
1.190556E+10	0.109746	0.652081
1.299047E+10	0.123795	0.678105
1.417423E+10	0.139559	0.704977
1.546588E+10	0.157207	0.732665
1.610000E+10	0.166067	0.745756
1.620000E+10	0.167959	0.748487
1.687522E+10	0.17695	0.761185
1.841299E+10	0.199023	0.790553
2.009089E+10	0.22365	0.820736
2.192170E+10	0.251122	0.851767
2.210000E+10	0.254173	0.855064
2.391933E+10	0.281722	0.883631
2.609900E+10	0.315756	0.91631
2.847730E+10	0.353586	0.949821
3.040000E+10	0.384487	0.975343
3.107233E+10	0.395545	0.984117
3.360000E+10	0.437011	1.015541
3.390382E+10	0.442074	1.019229
3.699334E+10	0.493565	1.055111
4.036440E+10	0.550495	1.091761
4.180000E+10	0.574131	1.10617
4.404264E+10	0.613337	1.129149
4.805607E+10	0.682647	1.167275
5.243523E+10	0.758973	1.206107
5.721344E+10	0.842929	1.24563
5.740000E+10	0.845532	1.246807
6.242707E+10	0.935145	1.285812
6.811580E+10	1.036322	1.326638
6.950000E+10	1.061353	1.336275
7.432292E+10	1.147178	1.368076
7.880000E+10	1.227405	1.396219
8.109568E+10	1.268478	1.410094
8.848560E+10	1.40107	1.452678
9.654894E+10	1.545819	1.495795
1.053471E+11	1.703643	1.539415
1.080000E+11	1.755928	1.55318
1.149469E+11	1.875514	1.583505
1.254216E+11	2.062506	1.628051
1.368507E+11	2.26561	1.672989
1.440000E+11	2.389428	1.698856
1.490000E+11	2.475776	1.716278
1.493214E+11	2.486123	1.718335
1.629285E+11	2.7251	1.76401
1.777755E+11	2.983981	1.810031
1.939754E+11	3.263997	1.856335
2.040000E+11	3.441722	1.884086
2.116516E+11	3.566557	1.90289
2.309386E+11	3.893272	1.949695
2.519831E+11	4.245573	1.99669
2.749453E+11	4.625235	2.043872
2.810000E+11	4.71996	2.055142
2.980000E+11	4.995492	2.08688
3.000000E+11	5.033827	2.09118
3.860000E+11	6.389732	2.228003
5.300000E+11	8.545534	2.401336
6.160000E+11	9.767639	2.483222
7.280000E+11	11.298529	2.57382
1.000000E+12	14.779594	2.744296
1.270000E+12	18.019465	2.872345
2.640000E+12	31.629823	3.241267
5.460000E+12	53.212378	3.579754
1.130000E+13	86.315925	3.88013
2.340000E+13	135.664039	4.137201
4.830000E+13	207.434484	4.347875
1.000000E+14	309.597816	4.511036
