#P_core (Pa)	M (Me)	R (Re)
7.000000e+08	0.153694	1.577933
8.306250e+08	0.193044	1.696909
9.856256e+08	0.241910	1.822949
1.169550e+09	0.302415	1.956209
1.387797e+09	0.377121	2.096847
1.646770e+09	0.469193	2.245175
1.954069e+09	0.582066	2.400881
2.318712e+09	0.720195	2.564277
2.751400e+09	0.888420	2.735051
3.264831e+09	1.092796	2.913359
3.874072e+09	1.340006	3.098887
4.597002e+09	1.638143	3.291636
5.454835e+09	1.996035	3.491133
6.472746e+09	2.423982	3.697066
7.680607e+09	2.933504	3.908964
9.113863e+09	3.538217	4.126669
1.081458e+10	4.252029	4.349240
1.283265e+10	5.092025	4.576520
1.522732e+10	6.075500	4.807567
1.806884e+10	7.222159	5.041753
2.144062e+10	8.553129	5.278294
2.544159e+10	10.091820	5.516561
3.018918e+10	11.863014	5.755770
3.582269e+10	13.892625	5.994979
4.250746e+10	16.209377	6.233560
5.043966e+10	18.842381	6.470571
5.985206e+10	21.823598	6.705385
7.102088e+10	25.185005	6.937060
8.427389e+10	28.961477	7.164968
1.000000e+11	33.189415	7.388481
1.050000e+11	34.483618	7.451422
1.207762e+11	38.423612	7.629259
1.389228e+11	42.721742	7.803486
1.597958e+11	47.399865	7.973632
1.838051e+11	52.482759	8.139540
2.114217e+11	57.996328	8.301053
2.431877e+11	63.966496	8.457857
2.797265e+11	70.422907	8.609953
3.217553e+11	77.395619	8.757183
3.700989e+11	84.917759	8.899546
4.257061e+11	93.023163	9.036887
4.896682e+11	101.750661	9.169363
5.632406e+11	111.138832	9.296815
6.478672e+11	121.231840	9.419402
7.452090e+11	132.075395	9.537123
8.571762e+11	143.718318	9.649978
9.859665e+11	156.214308	9.758124
1.134108e+12	169.618918	9.861562
1.304507e+12	183.992795	9.960447
1.500508e+12	199.398397	10.054781
1.725959e+12	215.903231	10.144720
1.985283e+12	233.578052	10.230421
2.283571e+12	252.492981	10.311727
2.626676e+12	272.724207	10.388795
3.021333e+12	294.348253	10.461625
3.475287e+12	317.443220	10.530217
3.997447e+12	342.090135	10.594728
4.598062e+12	368.366676	10.655001
5.288918e+12	396.352210	10.711036
6.083575e+12	426.125364	10.762833
6.997630e+12	457.761545	10.810235
8.049020e+12	491.338510	10.853400
9.258381e+12	526.928233	10.892169
1.064945e+13	564.602868	10.926544
1.224952e+13	604.428941	10.956209
1.409001e+13	646.480140	10.981480
1.620702e+13	690.821829	11.002042
1.864212e+13	737.526570	11.018052
2.144309e+13	786.665309	11.029353
2.466491e+13	838.315333	11.035946
2.837079e+13	892.564415	11.038143
3.263349e+13	949.502554	11.035789
3.753666e+13	1009.232658	11.028882
4.317652e+13	1071.872896	11.017581
4.966377e+13	1137.559019	11.002199
5.712573e+13	1206.440240	10.982736
6.570885e+13	1278.687446	10.959349
7.558157e+13	1354.492703	10.932194
8.693766e+13	1434.072510	10.901587
1.000000e+14	1517.664351	10.867683
1.050000e+14	1547.790873	10.855126
1.228639e+14	1648.473542	10.812276
1.437669e+14	1755.077519	10.765972
1.682263e+14	1868.051005	10.716530
1.968470e+14	1987.870101	10.664105
2.303369e+14	2115.042272	10.609325
2.695246e+14	2250.087000	10.552191
3.153794e+14	2393.541823	10.493017
3.690355e+14	2545.950188	10.431959
4.318202e+14	2707.859323	10.369331
5.052866e+14	2879.810937	10.305291
5.912521e+14	3062.336864	10.239838
6.918430e+14	3255.961659	10.173287
8.095476e+14	3461.190019	10.105323
9.472775e+14	3678.523934	10.036417
1.108440e+15	3908.446608	9.966255
1.297021e+15	4151.441299	9.894995
1.517685e+15	4407.989725	9.822635
1.775892e+15	4678.579135	9.749021
2.078028e+15	4963.715391	9.674307
2.431568e+15	5263.925884	9.598495
2.845255e+15	5579.766143	9.521270
3.329324e+15	5911.837750	9.442946
3.895748e+15	6260.785117	9.363524
4.558540e+15	6627.303289	9.282846
5.334093e+15	7012.147824	9.201069
6.241593e+15	7416.132037	9.118036
7.303488e+15	7840.137776	9.034062
8.546044e+15	8285.109219	8.949146
1.000000e+16	8752.057205	8.863288
