#P_core (Pa)	M (Me)	R (Re)
7.000000e+08	0.224951	1.910377
8.306250e+08	0.282225	2.053368
9.856256e+08	0.353304	2.204836
1.169550e+09	0.441171	2.364779
1.387797e+09	0.549651	2.533670
1.646770e+09	0.682886	2.711193
1.954069e+09	0.846194	2.897663
2.318712e+09	1.045691	3.093080
2.751400e+09	1.288305	3.297129
3.264831e+09	1.582611	3.509969
3.874072e+09	1.938155	3.731284
4.597002e+09	2.365982	3.960761
5.454835e+09	2.878579	4.197930
6.472746e+09	3.490756	4.442632
7.680607e+09	4.218619	4.694241
9.113863e+09	5.080310	4.952128
1.081458e+10	6.096180	5.215666
1.283265e+10	7.288933	5.484227
1.522732e+10	8.683308	5.757026
1.806884e+10	10.305966	6.033120
2.144062e+10	12.185865	6.311570
2.544159e+10	14.355486	6.591745
3.018918e+10	16.848030	6.872549
3.582269e+10	19.698723	7.152882
4.250746e+10	22.947016	7.432116
5.043966e+10	26.631530	7.708995
5.985206e+10	30.795871	7.982893
7.102088e+10	35.483056	8.252709
8.427389e+10	40.740564	8.517817
1.000000e+11	46.615837	8.777274
1.050000e+11	48.412389	8.850261
1.207762e+11	53.877294	9.056351
1.389228e+11	59.830447	9.257889
1.597958e+11	66.302779	9.454561
1.838051e+11	73.325114	9.645897
2.114217e+11	80.933437	9.831896
2.431877e+11	89.164221	10.012402
2.797265e+11	98.054378	10.187099
3.217553e+11	107.645715	10.355990
3.700989e+11	117.982593	10.519072
4.257061e+11	129.110597	10.676191
4.896682e+11	141.079855	10.827344
5.632406e+11	153.945550	10.972690
6.478672e+11	167.764964	11.112229
7.452090e+11	182.599272	11.245960
8.571762e+11	198.515557	11.374040
9.859665e+11	215.583492	11.496470
1.134108e+12	233.878992	11.613406
1.304507e+12	253.480588	11.724849
1.500508e+12	274.475009	11.831111
1.725959e+12	296.947421	11.932037
1.985283e+12	320.990698	12.027784
2.283571e+12	346.701230	12.118507
2.626676e+12	374.178381	12.204365
3.021333e+12	403.517516	12.285043
3.475287e+12	434.823774	12.360855
3.997447e+12	468.196709	12.431645
4.598062e+12	503.737803	12.497412
5.288918e+12	541.549779	12.558313
6.083575e+12	581.727084	12.614034
6.997630e+12	624.368416	12.664732
8.049020e+12	669.563069	12.710094
9.258381e+12	717.406419	12.750433
1.064945e+13	767.979830	12.785279
1.224952e+13	821.373822	12.814944
1.409001e+13	877.668546	12.839116
1.620702e+13	936.948857	12.857795
1.864212e+13	999.301568	12.870979
2.144309e+13	1064.820019	12.878827
2.466491e+13	1133.599696	12.881182
2.837079e+13	1205.750454	12.878200
3.263349e+13	1281.392690	12.869881
3.753666e+13	1360.665268	12.856382
4.317652e+13	1443.726470	12.837861
4.966377e+13	1530.759483	12.814630
5.712573e+13	1621.966036	12.786534
6.570885e+13	1717.585183	12.754043
7.558157e+13	1817.883737	12.717471
8.693766e+13	1923.155459	12.676818
1.000000e+14	2033.733262	12.632555
1.050000e+14	2073.586903	12.616231
1.228639e+14	2206.799553	12.561138
1.437669e+14	2347.895705	12.502278
1.682263e+14	2497.493433	12.439964
1.968470e+14	2656.252804	12.374668
2.303369e+14	2824.864587	12.306704
2.695246e+14	3004.044500	12.236385
3.153794e+14	3194.524443	12.164026
3.690355e+14	3397.041361	12.089783
4.318202e+14	3612.332804	12.013971
5.052866e+14	3841.124906	11.936746
5.912521e+14	4084.128282	11.858266
6.918430e+14	4342.033802	11.778686
8.095476e+14	4615.506825	11.697851
9.472775e+14	4905.196247	11.615917
1.108440e+15	5211.732059	11.532885
1.297021e+15	5535.735552	11.448911
1.517685e+15	5877.818021	11.363524
1.775892e+15	6238.608467	11.277038
2.078028e+15	6618.751220	11.189454
2.431568e+15	7018.917914	11.100457
2.845255e+15	7439.828523	11.010204
3.329324e+15	7882.252914	10.918539
3.895748e+15	8347.027996	10.825618
4.558540e+15	8835.060533	10.731441
5.334093e+15	9347.335674	10.636008
6.241593e+15	9884.922032	10.539320
7.303488e+15	10448.975232	10.441377
8.546044e+15	11040.741784	10.342334
1.000000e+16	11661.556868	10.242193
