P_core (Pa)	M (Me)	R (Re)	P_surf (Pa)	CMF	CRF
1.404078e+10	0.010002	0.205103	-8.354567e+05	0.700029	0.805925
1.680940e+10	0.012870	0.222777	-8.374789e+05	0.700055	0.805187
2.015925e+10	0.016561	0.241926	-2.734998e+05	0.700057	0.804322
2.422336e+10	0.021313	0.262676	-5.103842e+05	0.699986	0.803288
2.916600e+10	0.027425	0.285106	-6.244145e+05	0.700038	0.802192
3.519431e+10	0.035286	0.309356	-1.245996e+06	0.700022	0.800904
4.257970e+10	0.045404	0.335553	-5.759370e+05	0.700106	0.799514
5.165549e+10	0.058427	0.363853	-2.805473e+05	0.700105	0.797896
6.285500e+10	0.075203	0.394429	-1.777169e+05	0.699921	0.795974
7.670201e+10	0.096752	0.427281	-1.978211e+05	0.700067	0.794064
9.392030e+10	0.124505	0.462692	-1.553461e+06	0.700102	0.791879
1.154051e+11	0.160214	0.500771	-1.897221e+06	0.700100	0.789463
1.423372e+11	0.206191	0.541706	-2.269032e+06	0.699997	0.786770
1.762215e+11	0.265326	0.585577	-1.949264e+06	0.699986	0.783929
2.190577e+11	0.341419	0.632555	-2.192753e+06	0.700030	0.780919
2.734553e+11	0.439332	0.682799	-2.561182e+06	0.700060	0.777707
3.428999e+11	0.565424	0.736511	-1.746049e+06	0.699956	0.774226
4.318864e+11	0.727550	0.793676	-2.438989e+06	0.699986	0.770672
5.465481e+11	0.936130	0.854451	-2.818788e+06	0.700075	0.767016
6.951130e+11	1.204641	0.919010	-8.531715e+04	0.700069	0.763177
8.886283e+11	1.550317	0.987429	-2.383611e+06	0.699986	0.759192
1.141874e+12	1.994667	1.059553	-9.410361e+05	0.700098	0.755274
1.475726e+12	2.567226	1.135710	-1.540308e+05	0.700003	0.751175
1.917764e+12	3.303374	1.215588	-4.080246e+06	0.700036	0.747150
2.507453e+12	4.251564	1.299374	-7.163636e+06	0.699924	0.743039
3.297970e+12	5.470123	1.386597	-3.230097e+06	0.700040	0.739122
4.365809e+12	7.038549	1.477383	-1.195543e+07	0.700084	0.735211
5.818850e+12	9.058003	1.571544	-1.199990e+07	0.700043	0.731321
7.809468e+12	11.656440	1.668688	-1.014143e+07	0.700024	0.727538
8.075208e+12	11.991078	1.679769	-5.998686e+06	0.700008	0.727112
8.347044e+12	12.330386	1.690694	-7.519930e+06	0.700052	0.726730
8.629851e+12	12.680989	1.701744	-8.548003e+05	0.700020	0.726300
8.922409e+12	13.040577	1.712778	-1.730784e+07	0.700037	0.725901
9.227158e+12	13.412690	1.723970	-1.425322e+07	0.699944	0.725431
9.541658e+12	13.792769	1.735035	-2.412432e+06	0.699973	0.725048
9.868349e+12	14.184755	1.746211	-1.659272e+07	0.699947	0.724623
1.020609e+13	14.585783	1.757277	-9.638898e+05	0.700026	0.724276
1.055737e+13	15.000103	1.768499	-1.640780e+07	0.700008	0.723860
