P_core (Pa)	M (Me)	R (Re)	P_surf (Pa)	CMF	CRF
8.83E+09	0.010003	0.244547	-3.38E+05	0.199953	0.452635
9.69E+09	0.011441	0.255723	-4.29E+05	0.199901	0.452188
1.05E+10	0.012866	0.265894	6.88E+03	0.200068	0.451951
1.15E+10	0.014725	0.27809	-1.68E+05	0.199915	0.451377
1.25E+10	0.016559	0.289124	-2.20E+05	0.200046	0.451089
1.38E+10	0.01893	0.30223	-2.04E+04	0.200074	0.450639
1.50E+10	0.021313	0.314332	-8.50E+04	0.199972	0.450118
1.65E+10	0.024368	0.328553	-3.25E+05	0.20002	0.449649
1.79E+10	0.027421	0.341596	-3.26E+05	0.200046	0.449205
1.97E+10	0.031349	0.356994	-7.59E+05	0.200034	0.448648
2.15E+10	0.035309	0.371246	-6.46E+05	0.199912	0.448041
2.37E+10	0.040372	0.387931	-3.38E+05	0.199928	0.447463
2.58E+10	0.045391	0.403094	-1.44E+05	0.200091	0.447064
2.84E+10	0.051948	0.421286	-6.88E+05	0.199918	0.446276
3.10E+10	0.058403	0.437672	-6.02E+05	0.2001	0.445849
3.43E+10	0.066785	0.457198	-7.29E+05	0.200079	0.445141
3.74E+10	0.075203	0.47517	-1.01E+06	0.199983	0.444424
4.14E+10	0.085961	0.496187	-5.48E+05	0.20004	0.443726
4.53E+10	0.096713	0.515431	-6.97E+05	0.200092	0.443086
5.02E+10	0.110676	0.538332	-6.75E+05	0.199933	0.442139
5.50E+10	0.124535	0.559113	-6.02E+05	0.199965	0.441427
6.10E+10	0.142432	0.583678	-9.15E+05	0.199923	0.440517
6.69E+10	0.160277	0.606076	-1.06E+06	0.19996	0.43975
7.44E+10	0.183232	0.63243	-4.42E+05	0.199975	0.438823
8.17E+10	0.206196	0.656539	-1.08E+06	0.2	0.437985
9.10E+10	0.235846	0.684996	-5.99E+05	0.199946	0.43693
1.00E+11	0.26537	0.710879	-1.05E+06	0.199975	0.436036
1.12E+11	0.303434	0.741361	-1.13E+06	0.199979	0.434961
1.23E+11	0.341408	0.769127	-7.21E+05	0.200018	0.434013
1.38E+11	0.390232	0.801712	-6.87E+05	0.200078	0.432916
1.52E+11	0.43918	0.831535	-8.85E+05	0.200094	0.431887
1.71E+11	0.502577	0.866789	-1.16E+05	0.199929	0.430528
1.89E+11	0.565362	0.898573	-1.57E+06	0.200019	0.429501
2.12E+11	0.646511	0.93604	-3.10E+05	0.199989	0.428189
2.35E+11	0.727431	0.970069	-2.10E+06	0.200041	0.427068
2.65E+11	0.832306	1.010267	-2.14E+06	0.199904	0.425596
2.94E+11	0.936127	1.046431	-3.15E+05	0.20003	0.424477
3.32E+11	1.070814	1.089187	-2.27E+06	0.199938	0.422975
3.70E+11	1.20445	1.127721	-5.40E+05	0.200054	0.421786
4.19E+11	1.377451	1.17313	-1.76E+06	0.200013	0.420258
4.68E+11	1.550796	1.214489	-2.64E+05	0.199935	0.418844
5.32E+11	1.773415	1.262708	1.41E+03	0.199909	0.417257
5.95E+11	1.996002	1.306484	-1.39E+05	0.199908	0.415842
6.78E+11	2.28037	1.357198	-2.75E+05	0.200063	0.414332
7.61E+11	2.5668	1.403627	-1.39E+06	0.200034	0.412827
8.69E+11	2.934998	1.457732	-5.49E+05	0.200029	0.411104
9.78E+11	3.30414	1.506939	-4.68E+06	0.199971	0.409502
1.12E+12	3.777567	1.564073	-3.98E+05	0.199986	0.40771
1.26E+12	4.251025	1.615855	-4.01E+06	0.199998	0.406087
1.45E+12	4.86022	1.675971	-1.98E+06	0.200025	0.404211
1.65E+12	5.470204	1.73006	-1.26E+06	0.200005	0.402515
1.90E+12	6.255043	1.792389	-2.78E+05	0.200001	0.400673
2.17E+12	7.039225	1.848063	-3.34E+06	0.200007	0.399151
2.52E+12	8.049125	1.911993	-6.19E+06	0.200001	0.397552
2.87E+12	9.055834	1.968672	-3.42E+06	0.20006	0.396336
3.35E+12	10.356108	2.033733	-4.99E+06	0.200034	0.395056
3.85E+12	11.657767	2.091463	-5.60E+06	0.199981	0.394043
4.52E+12	13.325965	2.156759	-5.62E+06	0.200037	0.393059
5.22E+12	15.002204	2.214709	-1.30E+06	0.199971	0.392165
