# P_core (Pa)	M (Me)	R (Re)
1.000000e+08	0.000008	0.018758
1.097156e+08	0.000010	0.019653
1.203752e+08	0.000011	0.020579
1.320704e+08	0.000013	0.021552
1.449018e+08	0.000015	0.022573
1.589799e+08	0.000017	0.023656
1.744258e+08	0.000020	0.024770
1.913724e+08	0.000022	0.025947
2.099654e+08	0.000026	0.027172
2.303648e+08	0.000030	0.028459
2.527462e+08	0.000034	0.029809
2.773020e+08	0.000039	0.031221
3.042436e+08	0.000045	0.032712
3.338028e+08	0.000052	0.034266
3.662338e+08	0.000059	0.035883
4.018156e+08	0.000068	0.037578
4.408545e+08	0.000078	0.039367
4.836863e+08	0.000090	0.041235
5.306794e+08	0.000104	0.043197
5.822382e+08	0.000119	0.045238
6.388062e+08	0.000137	0.047388
7.008702e+08	0.000157	0.049633
7.689641e+08	0.000180	0.051987
8.436737e+08	0.000207	0.054451
9.256418e+08	0.000238	0.057041
1.015574e+09	0.000274	0.059741
1.114243e+09	0.000315	0.062566
1.222498e+09	0.000362	0.065533
1.341272e+09	0.000415	0.068625
1.471585e+09	0.000477	0.071858
1.614558e+09	0.000548	0.075249
1.771422e+09	0.000629	0.078796
1.943527e+09	0.000722	0.082500
2.132353e+09	0.000829	0.086377
2.339524e+09	0.000951	0.090427
2.566823e+09	0.001091	0.094665
2.816206e+09	0.001252	0.099091
3.089818e+09	0.001436	0.103706
3.390013e+09	0.001647	0.108540
3.719374e+09	0.001889	0.113594
4.080734e+09	0.002166	0.118868
4.477202e+09	0.002482	0.124362
4.912190e+09	0.002846	0.130122
5.389440e+09	0.003260	0.136118
5.913057e+09	0.003733	0.142365
6.487547e+09	0.004275	0.148895
7.117853e+09	0.004893	0.155691
7.809396e+09	0.005600	0.162786
8.568127e+09	0.006405	0.170163
9.400574e+09	0.007324	0.177854
1.031390e+10	0.008371	0.185859
1.131596e+10	0.009562	0.194178
1.241537e+10	0.010918	0.202827
1.362160e+10	0.012458	0.211805
1.494502e+10	0.014211	0.221144
1.639703e+10	0.016200	0.230829
1.799010e+10	0.018455	0.240874
1.973795e+10	0.021007	0.251265
2.165561e+10	0.023900	0.262048
2.375959e+10	0.027168	0.273193
2.606798e+10	0.030859	0.284714
2.860065e+10	0.035027	0.296627
3.137938e+10	0.039722	0.308917
3.442808e+10	0.045003	0.321584
3.777298e+10	0.050944	0.334643
4.144285e+10	0.057610	0.348079
4.546928e+10	0.065089	0.361907
4.988691e+10	0.073463	0.376112
5.473373e+10	0.082828	0.390694
6.005145e+10	0.093279	0.405636
6.588582e+10	0.104942	0.420956
7.228703e+10	0.117932	0.436636
7.931017e+10	0.132384	0.452678
8.701564e+10	0.148422	0.469049
9.546975e+10	0.166216	0.485765
1.047452e+11	0.185942	0.502827
1.149219e+11	0.207755	0.520202
1.260872e+11	0.231839	0.537876
1.383374e+11	0.258424	0.555864
1.517777e+11	0.287728	0.574150
1.665239e+11	0.319958	0.592703
1.827027e+11	0.355401	0.611538
2.004534e+11	0.394299	0.630625
2.199287e+11	0.436983	0.649978
2.412961e+11	0.483703	0.669551
2.647395e+11	0.534834	0.689360
2.904606e+11	0.590691	0.709372
3.186807e+11	0.651702	0.729604
3.496425e+11	0.718228	0.750025
3.836124e+11	0.790720	0.770634
4.208827e+11	0.869625	0.791416
4.617741e+11	0.955456	0.812370
5.066383e+11	1.048722	0.833481
5.558613e+11	1.149917	0.854718
6.098667e+11	1.259745	0.876112
6.691190e+11	1.378778	0.897631
7.341280e+11	1.507663	0.919261
8.054531e+11	1.647196	0.941016
8.837079e+11	1.798063	0.962865
9.695656e+11	1.961104	0.984808
1.063765e+12	2.137212	1.006845
1.167116e+12	2.327344	1.028977
1.280509e+12	2.532384	1.051171
1.404918e+12	2.753403	1.073428
1.541415e+12	2.991612	1.095764
1.691173e+12	3.248162	1.118162
1.855480e+12	3.524269	1.140607
2.035752e+12	3.821305	1.163100
2.233538e+12	4.140645	1.185624
2.450540e+12	4.484010	1.208211
2.688625e+12	4.852793	1.230813
2.949841e+12	5.248926	1.253463
3.236437e+12	5.674087	1.276128
3.550877e+12	6.130355	1.298824
3.895866e+12	6.619843	1.321552
4.274374e+12	7.144580	1.344280
4.689655e+12	7.707162	1.367040
5.145285e+12	8.310016	1.389815
5.645181e+12	8.955716	1.412590
6.193645e+12	9.647241	1.435381
6.795396e+12	10.387509	1.458171
7.455611e+12	11.179884	1.480978
8.179969e+12	12.027673	1.503784
8.974704e+12	12.934531	1.526591
9.846652e+12	13.904339	1.549397
1.080332e+13	14.941227	1.572204
1.185292e+13	16.049740	1.595026
1.300451e+13	17.280618	1.618837
1.426798e+13	18.633684	1.643621
1.565420e+13	20.063494	1.668186
1.717510e+13	21.575807	1.692483
1.884377e+13	23.176447	1.716514
2.067456e+13	24.871234	1.740278
2.268322e+13	26.666100	1.763775
2.488703e+13	28.567337	1.787021
2.730496e+13	30.581041	1.810000
2.995781e+13	32.714105	1.832744
3.286840e+13	34.972831	1.855221
3.606177e+13	37.364329	1.877446
3.956539e+13	39.895725	1.899421
4.340941e+13	42.574127	1.921129
4.762690e+13	45.407291	1.942585
5.225415e+13	48.402501	1.963759
5.733097e+13	51.567928	1.984666
6.290102e+13	54.911241	2.005275
6.901225e+13	58.441036	2.025602
7.571721e+13	62.165649	2.045630
8.307361e+13	66.093630	2.065345
9.114473e+13	70.233769	2.084729
1.000000e+14	74.595646	2.103800
