P_core (Pa)	M (Me)	R (Re)
1.000000e+08	0.000404	0.129997
1.097156e+08	0.000462	0.135883
1.203752e+08	0.000528	0.141989
1.320704e+08	0.000603	0.148346
1.449018e+08	0.000688	0.154969
1.589799e+08	0.000786	0.161844
1.744258e+08	0.000897	0.169002
1.913724e+08	0.001023	0.176426
2.099654e+08	0.001165	0.184133
2.303648e+08	0.001328	0.192138
2.527462e+08	0.001512	0.200441
2.773020e+08	0.001720	0.209043
3.042436e+08	0.001956	0.217958
3.338028e+08	0.002223	0.227187
3.662338e+08	0.002525	0.236746
4.018156e+08	0.002866	0.246635
4.408545e+08	0.003251	0.256869
4.836863e+08	0.003685	0.267432
5.306794e+08	0.004176	0.278372
5.822382e+08	0.004728	0.289658
6.388062e+08	0.005349	0.301304
7.008702e+08	0.006047	0.313328
7.689641e+08	0.006834	0.325743
8.436737e+08	0.007717	0.338536
9.256418e+08	0.008702	0.351642
1.015574e+09	0.009717	0.364010
1.114243e+09	0.010694	0.374888
1.222498e+09	0.011799	0.386220
1.341272e+09	0.013084	0.398432
1.471585e+09	0.014565	0.411475
1.614558e+09	0.016264	0.425335
1.771422e+09	0.018204	0.439980
1.943527e+09	0.020414	0.455393
2.132353e+09	0.022738	0.470367
2.339524e+09	0.024917	0.483144
2.566823e+09	0.027478	0.497066
2.816206e+09	0.030445	0.512056
3.089818e+09	0.033854	0.528051
3.390013e+09	0.037753	0.545034
3.719374e+09	0.042191	0.562959
4.080734e+09	0.047226	0.581794
4.477202e+09	0.052918	0.601493
4.912190e+09	0.059337	0.622039
5.389440e+09	0.066560	0.643401
5.913057e+09	0.074662	0.665533
6.487547e+09	0.083740	0.688434
7.117853e+09	0.093884	0.712056
7.809396e+09	0.105203	0.736385
8.568127e+09	0.117808	0.761389
9.400574e+09	0.131812	0.787021
1.031390e+10	0.147355	0.813280
1.131596e+10	0.164576	0.840137
1.241537e+10	0.183629	0.867573
1.362160e+10	0.204669	0.895544
1.494502e+10	0.227881	0.924048
1.639703e+10	0.253457	0.953070
1.799010e+10	0.281587	0.982563
1.973795e+10	0.312501	1.012527
2.165561e+10	0.346425	1.042930
2.375959e+10	0.383620	1.073773
2.606798e+10	0.424337	1.105009
2.860065e+10	0.468873	1.136636
3.137938e+10	0.517522	1.168625
3.442808e+10	0.570613	1.200959
3.777298e+10	0.628503	1.233623
4.144285e+10	0.691624	1.266647
4.546928e+10	0.760430	1.300017
4.988691e+10	0.835553	1.333827
5.473373e+10	0.917742	1.368170
6.005145e+10	1.007906	1.403156
6.588582e+10	1.107190	1.438975
7.228703e+10	1.216869	1.475782
7.931017e+10	1.338347	1.513720
8.701564e+10	1.473142	1.552913
9.546975e+10	1.622800	1.593425
1.047452e+11	1.788948	1.635318
1.149219e+11	1.973047	1.678514
1.260872e+11	2.176585	1.722965
1.383374e+11	2.400855	1.768531
1.517777e+11	2.647060	1.815038
1.665239e+11	2.916563	1.862362
1.827027e+11	3.211062	1.910424
2.004534e+11	3.532662	1.959192
2.199287e+11	3.883853	2.008682
2.412961e+11	4.267435	2.058941
2.647395e+11	4.686351	2.109969
2.904606e+11	5.143906	2.161813
3.186807e+11	5.643483	2.214458
3.496425e+11	6.184729	2.267511
3.836124e+11	6.765370	2.320375
4.208827e+11	7.384314	2.372690
4.617741e+11	8.039160	2.424032
5.066383e+11	8.726046	2.473946
5.558613e+11	9.439190	2.521898
6.098667e+11	10.170642	2.567307
6.691190e+11	10.921737	2.610283
7.341280e+11	11.727329	2.653023
8.054531e+11	12.594323	2.695842
8.837079e+11	13.526316	2.738740
9.695656e+11	14.527448	2.781747
1.063765e+12	15.602078	2.824864
1.167116e+12	16.754787	2.868076
1.280509e+12	17.990464	2.911366
1.404918e+12	19.314346	2.954734
1.541415e+12	20.731883	2.998165
1.691173e+12	22.248735	3.041628
1.855480e+12	23.871057	3.085137
2.035752e+12	25.604933	3.128631
2.233538e+12	27.457119	3.172125
2.450540e+12	29.434431	3.215588
2.688625e+12	31.543878	3.258972
2.949841e+12	33.793006	3.302278
3.236437e+12	36.189517	3.345473
3.550877e+12	38.741270	3.388512
3.895866e+12	41.456740	3.431394
4.274374e+12	44.344367	3.474072
4.689655e+12	47.412979	3.516514
5.145285e+12	50.671811	3.558705
5.645181e+12	54.130003	3.600582
6.193645e+12	57.797469	3.642146
6.795396e+12	61.684005	3.683348
7.455611e+12	65.799789	3.724158
8.179969e+12	70.155279	3.764544
8.974704e+12	74.760978	3.804459
9.846652e+12	79.628089	3.843904
1.080332e+13	84.767473	3.882814
1.185292e+13	90.190611	3.921176
1.300451e+13	95.909195	3.958956
1.426798e+13	101.934689	3.996109
1.565420e+13	108.279400	4.032618
1.717510e+13	114.955363	4.068452
1.884377e+13	121.975051	4.103580
2.067456e+13	129.351198	4.137970
2.268322e+13	137.096504	4.171607
2.488703e+13	145.224292	4.204475
2.730496e+13	153.747508	4.236526
2.995781e+13	162.679832	4.267746
3.286840e+13	172.035123	4.298118
3.606177e+13	181.827323	4.327627
3.956539e+13	192.070923	4.356256
4.340941e+13	202.780174	4.383976
4.762690e+13	213.970332	4.410785
5.225415e+13	225.656684	4.436668
5.733097e+13	237.854674	4.461609
6.290102e+13	250.580589	4.485608
6.901225e+13	263.850551	4.508650
7.571721e+13	277.681800	4.530735
8.307361e+13	292.091887	4.551862
9.114473e+13	307.098730	4.572031
1.000000e+14	322.720865	4.591227
