P_core (Pa)	M (Me)	R (Re)
1.000000e+08	0.000178	0.086048
1.097156e+08	0.000205	0.090144
1.203752e+08	0.000235	0.094414
1.320704e+08	0.000271	0.098887
1.449018e+08	0.000311	0.103580
1.589799e+08	0.000357	0.108493
1.744258e+08	0.000411	0.113642
1.913724e+08	0.000472	0.119041
2.099654e+08	0.000543	0.124692
2.303648e+08	0.000623	0.130593
2.527462e+08	0.000716	0.136793
2.773020e+08	0.000823	0.143291
3.042436e+08	0.000946	0.150088
3.338028e+08	0.001087	0.157198
3.662338e+08	0.001250	0.164670
4.018156e+08	0.001436	0.172471
4.408545e+08	0.001650	0.180664
4.836863e+08	0.001896	0.189234
5.306794e+08	0.002179	0.198212
5.822382e+08	0.002504	0.207614
6.388062e+08	0.002878	0.217456
7.008702e+08	0.003308	0.227784
7.689641e+08	0.003801	0.238583
8.436737e+08	0.004368	0.249915
9.256418e+08	0.005020	0.261766
1.015574e+09	0.005768	0.274181
1.114243e+09	0.006629	0.287194
1.222498e+09	0.007618	0.300818
1.341272e+09	0.008756	0.315101
1.471585e+09	0.010062	0.330044
1.614558e+09	0.011551	0.345583
1.771422e+09	0.013237	0.361609
1.943527e+09	0.015145	0.378153
2.132353e+09	0.017308	0.395261
2.339524e+09	0.019753	0.412919
2.566823e+09	0.022518	0.431158
2.816206e+09	0.025643	0.449994
3.089818e+09	0.029169	0.469426
3.390013e+09	0.033145	0.489469
3.719374e+09	0.037626	0.510141
4.080734e+09	0.042670	0.531441
4.477202e+09	0.048340	0.553368
4.912190e+09	0.054705	0.575924
5.389440e+09	0.061842	0.599107
5.913057e+09	0.069836	0.622918
6.487547e+09	0.078778	0.647357
7.117853e+09	0.088771	0.672423
7.809396e+09	0.099919	0.698102
8.568127e+09	0.112344	0.724393
9.400574e+09	0.126176	0.751296
1.031390e+10	0.141546	0.778780
1.131596e+10	0.158607	0.806845
1.241537e+10	0.177518	0.835475
1.362160e+10	0.198463	0.864670
1.494502e+10	0.221628	0.894414
1.639703e+10	0.247217	0.924692
1.799010e+10	0.275434	0.955472
1.973795e+10	0.306539	0.986770
2.165561e+10	0.340772	1.018554
2.375959e+10	0.378420	1.050826
2.606798e+10	0.419760	1.083552
2.860065e+10	0.465107	1.116718
3.137938e+10	0.514813	1.150323
3.442808e+10	0.569242	1.184353
3.777298e+10	0.628763	1.218774
4.144285e+10	0.693810	1.253588
4.546928e+10	0.764851	1.288795
4.988691e+10	0.842345	1.324362
5.473373e+10	0.926802	1.360275
6.005145e+10	1.018794	1.396533
6.588582e+10	1.118911	1.433120
7.228703e+10	1.227809	1.470038
7.931017e+10	1.346136	1.507253
8.701564e+10	1.474640	1.544767
9.546975e+10	1.614128	1.582579
1.047452e+11	1.765430	1.620673
1.149219e+11	1.909078	1.654043
1.260872e+11	2.052199	1.684290
1.383374e+11	2.210679	1.715415
1.517777e+11	2.384988	1.747341
1.665239e+11	2.575864	1.779989
1.827027e+11	2.784258	1.813312
2.004534e+11	3.011084	1.847216
2.199287e+11	3.257455	1.881653
2.412961e+11	3.524412	1.916530
2.647395e+11	3.813245	1.951814
2.904606e+11	4.125210	1.987445
3.186807e+11	4.461573	2.023342
3.496425e+11	4.823816	2.059474
3.836124e+11	5.213384	2.095779
4.208827e+11	5.631902	2.132226
4.617741e+11	6.081080	2.168782
5.066383e+11	6.562583	2.205385
5.558613e+11	7.078348	2.242020
6.098667e+11	7.630346	2.278655
6.691190e+11	8.220578	2.315243
7.341280e+11	8.851359	2.351783
8.054531e+11	9.524909	2.388229
8.837079e+11	10.243790	2.424582
9.695656e+11	11.010550	2.460808
1.063765e+12	11.827953	2.496894
1.167116e+12	12.699001	2.532838
1.280509e+12	13.626693	2.568609
1.404918e+12	14.614279	2.604192
1.541415e+12	15.665374	2.639603
1.691173e+12	16.783520	2.674809
1.855480e+12	17.972742	2.709827
2.035752e+12	19.237098	2.744641
2.233538e+12	20.580865	2.779236
2.450540e+12	22.008657	2.813610
2.688625e+12	23.525342	2.847765
2.949841e+12	25.136044	2.881700
3.236437e+12	26.846156	2.915415
3.550877e+12	28.661236	2.948895
3.895866e+12	30.587227	2.982139
4.274374e+12	32.630245	3.015133
4.689655e+12	34.796931	3.047890
5.145285e+12	37.094105	3.080413
5.645181e+12	39.528506	3.112653
6.193645e+12	42.107787	3.144641
6.795396e+12	44.839524	3.176363
7.455611e+12	47.731436	3.207787
8.179969e+12	50.791931	3.238928
8.974704e+12	54.029427	3.269771
9.846652e+12	57.452467	3.300284
1.080332e+13	61.070142	3.330468
1.185292e+13	64.891655	3.360306
1.300451e+13	68.926461	3.389783
1.426798e+13	73.184255	3.418884
1.565420e+13	77.674813	3.447577
1.717510e+13	82.408455	3.475861
1.884377e+13	87.395580	3.503722
2.067456e+13	92.646497	3.531111
2.268322e+13	98.172399	3.558046
2.488703e+13	103.984078	3.584478
2.730496e+13	110.093263	3.610424
2.995781e+13	116.511115	3.635820
3.286840e+13	123.249973	3.660683
3.606177e+13	130.322183	3.684996
3.956539e+13	137.740306	3.708729
4.340941e+13	145.517702	3.731880
4.762690e+13	153.668052	3.754436
5.225415e+13	162.205600	3.776379
5.733097e+13	171.145601	3.797726
6.290102e+13	180.503265	3.818429
6.901225e+13	190.295551	3.838520
7.571721e+13	200.539728	3.857983
8.307361e+13	211.254439	3.876834
9.114473e+13	222.458797	3.895042
1.000000e+14	234.173886	3.912637
