P_core (Pa)	M (Me)	R (Re)
1.000000e+08	0.000096	0.063210
1.097156e+08	0.000111	0.066208
1.203752e+08	0.000127	0.069331
1.320704e+08	0.000146	0.072628
1.449018e+08	0.000168	0.076065
1.589799e+08	0.000193	0.079659
1.744258e+08	0.000221	0.083442
1.913724e+08	0.000254	0.087382
2.099654e+08	0.000292	0.091526
2.303648e+08	0.000336	0.095858
2.527462e+08	0.000386	0.100394
2.773020e+08	0.000443	0.105134
3.042436e+08	0.000509	0.110110
3.338028e+08	0.000585	0.115321
3.662338e+08	0.000672	0.120768
4.018156e+08	0.000771	0.126465
4.408545e+08	0.000886	0.132445
4.836863e+08	0.001018	0.138693
5.306794e+08	0.001169	0.145238
5.822382e+08	0.001342	0.152081
6.388062e+08	0.001542	0.159254
7.008702e+08	0.001770	0.166757
7.689641e+08	0.002033	0.174605
8.436737e+08	0.002334	0.182814
9.256418e+08	0.002679	0.191400
1.015574e+09	0.003076	0.200394
1.114243e+09	0.003531	0.209796
1.222498e+09	0.004052	0.219622
1.341272e+09	0.004650	0.229903
1.471585e+09	0.005335	0.240639
1.614558e+09	0.006120	0.251862
1.771422e+09	0.007020	0.263602
1.943527e+09	0.008051	0.275861
2.132353e+09	0.009231	0.288669
2.339524e+09	0.010582	0.302042
2.566823e+09	0.012128	0.316012
2.816206e+09	0.013898	0.330593
3.089818e+09	0.015920	0.345803
3.390013e+09	0.018230	0.361656
3.719374e+09	0.020871	0.378200
4.080734e+09	0.023885	0.395434
4.477202e+09	0.027328	0.413406
4.912190e+09	0.031253	0.432116
5.389440e+09	0.035725	0.451579
5.913057e+09	0.040821	0.471843
6.487547e+09	0.046621	0.492907
7.117853e+09	0.053219	0.514803
7.809396e+09	0.060713	0.537531
8.568127e+09	0.069228	0.561138
9.400574e+09	0.078882	0.585608
1.031390e+10	0.089832	0.610989
1.131596e+10	0.102223	0.637264
1.241537e+10	0.116244	0.664466
1.362160e+10	0.132084	0.692593
1.494502e+10	0.149965	0.721662
1.639703e+10	0.170112	0.751658
1.799010e+10	0.192805	0.782610
1.973795e+10	0.218321	0.814505
2.165561e+10	0.246977	0.847341
2.375959e+10	0.279119	0.881119
2.606798e+10	0.315131	0.915839
2.860065e+10	0.355399	0.951469
3.137938e+10	0.400377	0.988010
3.442808e+10	0.450543	1.025445
3.777298e+10	0.506437	1.063775
4.144285e+10	0.568586	1.102952
4.546928e+10	0.637597	1.142962
4.988691e+10	0.714153	1.183803
5.473373e+10	0.798920	1.225429
6.005145e+10	0.892664	1.267825
6.588582e+10	0.996150	1.310942
7.228703e+10	1.110290	1.354781
7.931017e+10	1.235934	1.399280
8.701564e+10	1.374086	1.444422
9.546975e+10	1.525789	1.490176
1.047452e+11	1.692111	1.536495
1.149219e+11	1.874225	1.583348
1.260872e+11	2.073431	1.630719
1.383374e+11	2.290963	1.678545
1.517777e+11	2.528277	1.726811
1.665239e+11	2.786754	1.775453
1.827027e+11	3.068079	1.824472
2.004534e+11	3.373737	1.873789
2.199287e+11	3.705599	1.923404
2.412961e+11	4.065455	1.973271
2.647395e+11	4.455178	2.023342
2.904606e+11	4.876811	2.073585
3.186807e+11	5.332582	2.123985
3.496425e+11	5.824595	2.174480
3.836124e+11	6.355302	2.225053
4.208827e+11	6.927101	2.275657
4.617741e+11	7.542693	2.326277
5.066383e+11	8.204716	2.376865
5.558613e+11	8.916132	2.427407
6.098667e+11	9.679834	2.477854
6.691190e+11	10.499063	2.528192
7.341280e+11	11.376980	2.578372
8.054531e+11	12.317121	2.628380
8.837079e+11	13.323060	2.678184
9.695656e+11	14.398658	2.727768
1.063765e+12	15.547541	2.777070
1.167116e+12	16.774170	2.826104
1.280509e+12	18.082645	2.874825
1.404918e+12	19.477517	2.923216
1.541415e+12	20.963541	2.971262
1.691173e+12	22.545344	3.018915
1.855480e+12	24.228055	3.066161
2.035752e+12	26.017020	3.112982
2.233538e+12	27.917801	3.159364
2.450540e+12	29.936184	3.205291
2.688625e+12	32.077995	3.250731
2.949841e+12	34.349280	3.295654
3.236437e+12	36.756901	3.340074
3.550877e+12	39.307192	3.383944
3.895866e+12	42.007334	3.427266
4.274374e+12	44.864357	3.470006
4.689655e+12	47.886200	3.512182
5.145285e+12	51.080217	3.553745
5.645181e+12	54.454701	3.594696
6.193645e+12	58.017780	3.635004
6.795396e+12	61.778833	3.674699
7.455611e+12	65.746116	3.713720
8.179969e+12	69.929402	3.752081
8.974704e+12	74.338580	3.789783
9.846652e+12	78.983087	3.826779
1.080332e+13	83.874009	3.863100
1.185292e+13	89.021756	3.898714
1.300451e+13	94.437333	3.933607
1.426798e+13	100.132706	3.967793
1.565420e+13	106.119370	4.001242
1.717510e+13	112.409799	4.033952
1.884377e+13	119.016861	4.065925
2.067456e+13	125.953873	4.097161
2.268322e+13	133.234268	4.127642
2.488703e+13	140.872226	4.157371
2.730496e+13	148.882406	4.186346
2.995781e+13	157.279276	4.214536
3.286840e+13	166.079062	4.241973
3.606177e+13	175.297545	4.268641
3.956539e+13	184.951323	4.294539
4.340941e+13	195.057510	4.319669
4.762690e+13	205.633431	4.344013
5.225415e+13	216.697631	4.367589
5.733097e+13	228.268888	4.390396
6.290102e+13	240.366214	4.412417
6.901225e+13	253.009903	4.433670
7.571721e+13	266.220523	4.454153
8.307361e+13	280.018901	4.473852
9.114473e+13	294.427229	4.492781
1.000000e+14	309.468006	4.510942
