P_core (Pa)	M (Me)	R (Re)
1.000000e+09	0.000198	0.051030
1.097499e+09	0.000228	0.053447
1.204504e+09	0.000261	0.055958
1.321941e+09	0.000300	0.058595
1.450829e+09	0.000345	0.061358
1.592283e+09	0.000396	0.064246
1.747528e+09	0.000455	0.067259
1.917910e+09	0.000522	0.070414
2.104904e+09	0.000599	0.073711
2.310130e+09	0.000687	0.077148
2.535364e+09	0.000789	0.080758
2.782559e+09	0.000905	0.084525
3.053856e+09	0.001037	0.088449
3.351603e+09	0.001190	0.092562
3.678380e+09	0.001364	0.096847
4.037017e+09	0.001564	0.101336
4.430621e+09	0.001792	0.105997
4.862602e+09	0.002053	0.110879
5.336699e+09	0.002351	0.115965
5.857021e+09	0.002692	0.121270
6.428073e+09	0.003080	0.126779
7.054802e+09	0.003525	0.132540
7.742637e+09	0.004031	0.138536
8.497534e+09	0.004608	0.144767
9.326033e+09	0.005265	0.151249
1.023531e+10	0.006014	0.157999
1.123324e+10	0.006864	0.164999
1.232847e+10	0.007832	0.172282
1.353048e+10	0.008931	0.179848
1.484968e+10	0.010177	0.187680
1.629751e+10	0.011594	0.195826
1.788650e+10	0.013194	0.204240
1.963041e+10	0.015011	0.212982
2.154435e+10	0.017061	0.222008
2.364489e+10	0.019378	0.231347
2.595024e+10	0.021998	0.241016
2.848036e+10	0.024948	0.250983
3.125716e+10	0.028278	0.261295
3.430469e+10	0.032023	0.271921
3.764936e+10	0.036235	0.282877
4.132012e+10	0.040967	0.294163
4.534879e+10	0.046275	0.305778
4.977024e+10	0.052231	0.317738
5.462277e+10	0.058899	0.330028
5.994843e+10	0.066355	0.342648
6.579332e+10	0.074702	0.355629
7.220809e+10	0.084017	0.368939
7.924829e+10	0.094401	0.382579
8.697490e+10	0.105978	0.396564
9.545485e+10	0.118872	0.410895
1.047616e+11	0.133219	0.425571
1.149757e+11	0.149155	0.440576
1.261857e+11	0.166840	0.455911
1.384886e+11	0.186464	0.471592
1.519911e+11	0.208205	0.487602
1.668101e+11	0.232272	0.503941
1.830738e+11	0.258891	0.520611
2.009233e+11	0.288310	0.537609
2.205131e+11	0.320777	0.554922
2.420128e+11	0.356605	0.572565
2.656088e+11	0.396086	0.590521
2.915053e+11	0.439562	0.608791
3.199267e+11	0.487404	0.627376
3.511192e+11	0.539985	0.646258
3.853529e+11	0.597766	0.665454
4.229243e+11	0.661186	0.684949
4.641589e+11	0.730716	0.704726
5.094138e+11	0.806932	0.724801
5.590810e+11	0.890386	0.745159
6.135907e+11	0.981669	0.765784
6.734151e+11	1.081498	0.786691
7.390722e+11	1.190562	0.807865
8.111308e+11	1.309646	0.829306
8.902151e+11	1.439544	0.850998
9.770100e+11	1.581160	0.872941
1.072267e+12	1.735462	0.895136
1.176812e+12	1.903376	0.917550
1.291550e+12	2.086067	0.940199
1.417474e+12	2.284728	0.963084
1.555676e+12	2.500501	0.986173
1.707353e+12	2.734740	1.009466
1.873817e+12	2.988892	1.032963
2.056512e+12	3.264507	1.056665
2.257020e+12	3.563081	1.080538
2.477076e+12	3.886364	1.104585
2.718588e+12	4.236225	1.128804
2.983647e+12	4.614567	1.153180
3.274549e+12	5.023507	1.177713
3.593814e+12	5.465199	1.202387
3.944206e+12	5.942035	1.227203
4.328761e+12	6.456340	1.252128
4.750810e+12	7.010907	1.277179
5.214008e+12	7.608363	1.302325
5.722368e+12	8.251718	1.327564
6.280291e+12	8.944171	1.352898
6.892612e+12	9.688981	1.378310
7.564633e+12	10.489590	1.403784
8.302176e+12	11.349633	1.429306
9.111628e+12	12.273095	1.454875
1.000000e+13	13.264189	1.480491
1.128838e+13	14.663653	1.513893
1.274275e+13	16.195235	1.547310
1.438450e+13	17.869925	1.580727
1.623777e+13	19.699302	1.614112
1.832981e+13	21.695914	1.647451
2.069138e+13	23.872971	1.680711
2.335721e+13	26.244748	1.713877
2.636651e+13	28.826466	1.746933
2.976351e+13	31.633882	1.779832
3.359818e+13	34.684187	1.812558
3.792690e+13	37.995888	1.845112
4.281332e+13	41.587910	1.877446
4.832930e+13	45.480546	1.909529
5.455595e+13	49.696077	1.941377
6.158482e+13	54.256769	1.972926
6.951928e+13	59.187243	2.004177
7.847600e+13	64.512962	2.035098
8.858668e+13	70.260800	2.065658
1.000000e+14	76.460018	2.095873
