P_core (Pa)	M (Me)	R (Re)
7.000000e+08	0.000712	0.105684
7.132648e+08	0.000732	0.106688
7.267809e+08	0.000753	0.107693
7.405532e+08	0.000775	0.108713
7.545864e+08	0.000797	0.109733
7.688856e+08	0.000820	0.110769
7.834557e+08	0.000843	0.111805
7.983019e+08	0.000867	0.112872
8.134295e+08	0.000892	0.113924
8.288437e+08	0.000917	0.115007
8.445500e+08	0.000944	0.116090
8.605540e+08	0.000971	0.117189
8.768612e+08	0.000998	0.118288
8.934774e+08	0.001027	0.119402
9.104085e+08	0.001056	0.120532
9.276605e+08	0.001086	0.121662
9.452394e+08	0.001117	0.122808
9.631513e+08	0.001149	0.123970
9.814027e+08	0.001182	0.125131
1.000000e+09	0.001216	0.126324
1.097499e+09	0.001398	0.132336
1.204504e+09	0.001607	0.138630
1.321941e+09	0.001847	0.145222
1.450829e+09	0.002124	0.152144
1.592283e+09	0.002442	0.159380
1.747528e+09	0.002808	0.166977
1.917910e+09	0.003228	0.174919
2.104904e+09	0.003712	0.183254
2.310130e+09	0.004267	0.191965
2.535364e+09	0.004906	0.201116
2.782559e+09	0.005641	0.210691
3.053856e+09	0.006486	0.220720
3.351603e+09	0.007456	0.231221
3.678380e+09	0.008572	0.242224
4.037017e+09	0.009856	0.253761
4.430621e+09	0.011333	0.265847
4.862602e+09	0.013029	0.278498
5.336699e+09	0.014953	0.291573
5.857021e+09	0.017140	0.305119
6.428073e+09	0.019630	0.319182
7.054802e+09	0.022464	0.333780
7.742637e+09	0.025693	0.348958
8.497534e+09	0.029369	0.364732
9.326033e+09	0.033544	0.381088
1.023531e+10	0.038287	0.398055
1.123324e+10	0.043675	0.415666
1.232847e+10	0.049781	0.433905
1.353048e+10	0.056702	0.452803
1.484968e+10	0.064542	0.472376
1.629751e+10	0.073410	0.492624
1.788650e+10	0.083432	0.513563
1.963041e+10	0.094744	0.535192
2.154435e+10	0.107502	0.557528
2.364489e+10	0.121884	0.580585
2.595024e+10	0.138073	0.604365
2.848036e+10	0.156263	0.628851
3.125716e+10	0.176701	0.654075
3.430469e+10	0.199637	0.680036
3.764936e+10	0.225347	0.706735
4.132012e+10	0.254118	0.734156
4.534879e+10	0.286297	0.762315
4.977024e+10	0.322265	0.791227
5.462277e+10	0.362390	0.820862
5.994843e+10	0.407107	0.851218
6.579332e+10	0.456936	0.882328
7.220809e+10	0.512362	0.914159
7.924829e+10	0.573956	0.946713
8.697490e+10	0.642371	0.980005
9.545485e+10	0.718264	1.014018
1.047616e+11	0.802352	1.048738
1.149757e+11	0.895474	1.084180
1.261857e+11	0.998518	1.120344
1.384886e+11	1.112413	1.157214
1.519911e+11	1.238205	1.194790
1.668101e+11	1.376992	1.233058
1.830738e+11	1.530098	1.272047
2.009233e+11	1.698781	1.311727
2.205131e+11	1.884554	1.352113
2.420128e+11	2.088955	1.393189
2.656088e+11	2.313710	1.434957
2.915053e+11	2.560751	1.477431
3.199267e+11	2.832057	1.520595
3.511192e+11	3.129836	1.564450
3.853529e+11	3.456485	1.608995
4.229243e+11	3.814680	1.654247
4.641589e+11	4.207174	1.700190
5.094138e+11	4.637112	1.746839
5.590810e+11	5.103186	1.793707
6.135907e+11	5.595623	1.839509
6.734151e+11	6.116275	1.884290
7.390722e+11	6.667224	1.928113
8.111308e+11	7.251039	1.971105
8.902151e+11	7.869666	2.013280
9.770100e+11	8.525739	2.054734
1.072267e+12	9.221472	2.095481
1.176812e+12	9.959459	2.135569
1.291550e+12	10.742472	2.175045
1.417474e+12	11.573192	2.213924
1.555676e+12	12.454603	2.252238
1.707353e+12	13.389878	2.290019
1.873817e+12	14.382239	2.327281
2.056512e+12	15.435098	2.364042
2.257020e+12	16.552068	2.400315
2.477076e+12	17.737141	2.436134
2.718588e+12	18.994376	2.471513
2.983647e+12	20.327702	2.506437
3.274549e+12	21.741980	2.540953
3.593814e+12	23.241603	2.575045
3.944206e+12	24.831560	2.608729
4.328761e+12	26.517098	2.642020
4.750810e+12	28.303728	2.674935
5.214008e+12	30.196601	2.707442
5.722368e+12	32.201931	2.739571
6.280291e+12	34.325565	2.771309
6.892612e+12	36.574254	2.802686
7.564633e+12	38.953896	2.833654
8.302176e+12	41.471742	2.864246
9.111628e+12	44.134614	2.894445
1.000000e+13	46.949553	2.924236
