P_core (Pa)	M (Me)	R (Re)
7.000000e+08	0.000432	0.082359
8.306250e+08	0.000558	0.089689
9.856256e+08	0.000721	0.097663
1.169550e+09	0.000931	0.106343
1.387797e+09	0.001202	0.115776
1.646770e+09	0.001551	0.126041
1.954069e+09	0.002002	0.137201
2.318712e+09	0.002583	0.149334
2.751400e+09	0.003331	0.162519
3.264831e+09	0.004293	0.176818
3.874072e+09	0.005532	0.192358
4.597002e+09	0.007125	0.209215
5.454835e+09	0.009171	0.227485
6.472746e+09	0.011794	0.247263
7.680607e+09	0.015154	0.268656
9.113863e+09	0.019455	0.291792
1.081458e+10	0.024944	0.316749
1.283265e+10	0.031946	0.343668
1.522732e+10	0.040845	0.372612
1.806884e+10	0.052133	0.403690
2.144062e+10	0.066420	0.437013
2.544159e+10	0.084439	0.472643
3.018918e+10	0.107088	0.510644
3.582269e+10	0.135463	0.551077
4.250746e+10	0.170859	0.593959
5.043966e+10	0.214849	0.639320
5.985206e+10	0.269258	0.687131
7.102088e+10	0.336285	0.737390
8.427389e+10	0.418411	0.790003
1.000000e+11	0.518626	0.844940
1.050000e+11	0.550970	0.861012
1.152320e+11	0.617748	0.892138
1.264611e+11	0.691792	0.923891
1.387845e+11	0.773781	0.956256
1.523088e+11	0.864450	0.989218
1.671509e+11	0.964515	1.022730
1.834394e+11	1.074894	1.056806
2.013152e+11	1.196419	1.091400
2.209329e+11	1.330057	1.126497
2.424624e+11	1.476848	1.162080
2.660898e+11	1.637856	1.198118
2.920197e+11	1.814209	1.234580
3.204764e+11	2.007165	1.271450
3.517061e+11	2.218006	1.308697
3.859791e+11	2.448222	1.346321
4.235919e+11	2.699137	1.384258
4.648701e+11	2.972495	1.422526
5.101706e+11	3.269866	1.461075
5.598857e+11	3.592980	1.499876
6.144453e+11	3.943837	1.538928
6.743217e+11	4.324393	1.578200
7.400329e+11	4.736807	1.617675
8.121475e+11	5.183169	1.657308
8.912895e+11	5.666089	1.697113
9.781438e+11	6.187811	1.737029
1.073462e+12	6.751358	1.777085
1.178068e+12	7.359252	1.817220
1.292869e+12	8.014494	1.857418
1.418856e+12	8.720518	1.897694
1.557120e+12	9.480299	1.937986
1.708858e+12	10.297647	1.978310
1.875383e+12	11.176169	2.018633
2.058135e+12	12.119808	2.058941
2.258696e+12	13.132722	2.099217
2.478801e+12	14.219295	2.139446
2.720355e+12	15.384144	2.179612
2.985447e+12	16.631950	2.219685
3.276373e+12	17.968182	2.259678
3.595648e+12	19.398048	2.299562
3.946036e+12	20.927004	2.339305
4.330569e+12	22.561383	2.378922
4.752574e+12	24.307232	2.418382
5.215702e+12	26.171097	2.457669
5.723961e+12	28.159840	2.496768
6.281748e+12	30.280886	2.535679
6.893891e+12	32.541545	2.574370
7.565686e+12	34.949941	2.612841
8.302946e+12	37.514326	2.651077
9.112050e+12	40.243056	2.689046
1.000000e+13	43.145366	2.726748
