P_core (Pa)	M (Me)	R (Re)
7.000000e+08	0.000466	0.085561
8.306250e+08	0.000602	0.093174
9.856256e+08	0.000778	0.101461
1.169550e+09	0.001005	0.110471
1.387797e+09	0.001297	0.120265
1.646770e+09	0.001674	0.130923
1.954069e+09	0.002159	0.142507
2.318712e+09	0.002785	0.155095
2.751400e+09	0.003592	0.168782
3.264831e+09	0.004630	0.183631
3.874072e+09	0.005963	0.199735
4.597002e+09	0.007678	0.217205
5.454835e+09	0.009880	0.236150
6.472746e+09	0.012703	0.256649
7.680607e+09	0.016316	0.278812
9.113863e+09	0.020933	0.302748
1.081458e+10	0.026826	0.328569
1.283265e+10	0.034335	0.356398
1.522732e+10	0.043870	0.386299
1.806884e+10	0.055952	0.418382
2.144062e+10	0.071228	0.452756
2.544159e+10	0.090466	0.489469
3.018918e+10	0.114614	0.528584
3.582269e+10	0.144825	0.570163
4.250746e+10	0.182448	0.614207
5.043966e+10	0.229133	0.660746
5.985206e+10	0.286806	0.709765
7.102088e+10	0.357716	0.761216
8.427389e+10	0.444486	0.815038
1.000000e+11	0.550212	0.871183
1.050000e+11	0.584332	0.887617
1.152320e+11	0.654690	0.919402
1.264611e+11	0.732648	0.951814
1.387845e+11	0.818947	0.984855
1.523088e+11	0.914288	1.018476
1.671509e+11	1.019525	1.052678
1.834394e+11	1.135504	1.087429
2.013152e+11	1.263172	1.122714
2.209329e+11	1.403498	1.158501
2.424624e+11	1.557618	1.194790
2.660898e+11	1.726649	1.231551
2.920197e+11	1.911781	1.268751
3.204764e+11	2.114339	1.306374
3.517061e+11	2.335740	1.344406
3.859791e+11	2.577433	1.382814
4.235919e+11	2.841027	1.421584
4.648701e+11	3.128236	1.460698
5.101706e+11	3.440813	1.500127
5.598857e+11	3.780699	1.539854
6.144453e+11	4.149874	1.579848
6.743217e+11	4.550616	1.620108
7.400329e+11	4.985269	1.660620
8.121475e+11	5.456225	1.701351
8.912895e+11	5.966119	1.742287
9.781438e+11	6.517642	1.783395
1.073462e+12	7.113991	1.824692
1.178068e+12	7.758222	1.866145
1.292869e+12	8.453696	1.907740
1.418856e+12	9.203979	1.949460
1.557120e+12	10.012859	1.991290
1.708858e+12	10.884352	2.033215
1.875383e+12	11.822873	2.075233
2.058135e+12	12.832964	2.117330
2.258696e+12	13.919276	2.159474
2.478801e+12	15.087236	2.201681
2.720355e+12	16.342278	2.243935
2.985447e+12	17.689979	2.286205
3.276373e+12	19.136805	2.328506
3.595648e+12	20.689247	2.370822
3.946036e+12	22.354182	2.413139
4.330569e+12	24.138901	2.455440
4.752574e+12	26.051565	2.497741
5.215702e+12	28.100172	2.540011
5.723961e+12	30.293649	2.582249
6.281748e+12	32.641467	2.624456
6.893891e+12	35.153674	2.666632
7.565686e+12	37.840413	2.708744
8.302946e+12	40.713201	2.750810
9.112050e+12	43.783995	2.792828
1.000000e+13	47.064908	2.834768
