P_core (Pa)	M (Me)	R (Re)
7.000000e+08	0.000489	0.087664
7.710220e+08	0.000566	0.091981
8.492498e+08	0.000653	0.096517
9.354146e+08	0.000755	0.101273
1.030322e+09	0.000872	0.106249
1.134858e+09	0.001007	0.111475
1.250001e+09	0.001164	0.116953
1.376826e+09	0.001344	0.122698
1.516518e+09	0.001552	0.128710
1.670384e+09	0.001792	0.135020
1.839861e+09	0.002069	0.141628
2.026534e+09	0.002389	0.148565
2.232146e+09	0.002757	0.155817
2.458619e+09	0.003183	0.163430
2.708070e+09	0.003673	0.171388
2.982831e+09	0.004238	0.179738
3.285469e+09	0.004889	0.188465
3.618812e+09	0.005639	0.197600
3.985977e+09	0.006503	0.207175
4.390394e+09	0.007497	0.217173
4.835843e+09	0.008641	0.227642
5.326487e+09	0.009957	0.238583
5.866912e+09	0.011471	0.250025
6.462169e+09	0.013209	0.261970
7.117820e+09	0.015207	0.274448
7.839994e+09	0.017499	0.287476
8.635439e+09	0.020130	0.301069
9.511590e+09	0.023145	0.315243
1.047664e+10	0.026602	0.330028
1.153959e+10	0.030554	0.345410
1.271040e+10	0.035082	0.361452
1.400000e+10	0.040251	0.378121
1.542044e+10	0.046157	0.395465
1.698499e+10	0.052894	0.413485
1.870829e+10	0.060572	0.432194
2.060643e+10	0.069316	0.451610
2.269716e+10	0.079257	0.471733
2.500001e+10	0.090551	0.492577
2.753651e+10	0.103362	0.514144
3.033036e+10	0.117883	0.536448
3.340768e+10	0.134318	0.559490
3.679722e+10	0.152895	0.583270
4.053066e+10	0.173863	0.607787
4.464290e+10	0.197487	0.633026
4.917237e+10	0.224084	0.659003
5.416139e+10	0.253990	0.685718
5.965661e+10	0.287544	0.713139
6.570936e+10	0.325146	0.741267
7.237623e+10	0.367218	0.770085
7.971952e+10	0.414216	0.799578
8.780786e+10	0.466661	0.829746
9.671684e+10	0.525101	0.860573
1.065297e+11	0.590071	0.892012
1.173382e+11	0.662260	0.924079
1.292433e+11	0.742299	0.956727
1.423564e+11	0.830926	0.989940
1.567998e+11	0.928936	1.023703
1.727087e+11	1.037188	1.057999
1.902318e+11	1.156525	1.092781
2.095327e+11	1.287969	1.128051
2.307918e+11	1.432489	1.163759
2.542080e+11	1.591205	1.199892
2.799999e+11	1.765268	1.236417
3.084087e+11	1.955956	1.273318
3.396998e+11	2.164519	1.310549
3.741657e+11	2.392458	1.348110
4.121285e+11	2.641192	1.385954
4.539431e+11	2.912417	1.424079
5.000001e+11	3.207662	1.462425
5.507301e+11	3.528826	1.500990
6.066071e+11	3.877697	1.539728
6.681534e+11	4.256406	1.578639
7.359443e+11	4.667048	1.617691
8.106131e+11	5.111734	1.656837
8.928579e+11	5.592974	1.696078
9.834472e+11	6.113229	1.735381
1.083228e+12	6.674978	1.774699
1.193132e+12	7.281266	1.814050
1.314187e+12	7.934862	1.853384
1.447524e+12	8.638905	1.892687
1.447667e+12	8.639704	1.892734
1.447810e+12	8.640382	1.892766
1.447953e+12	8.641182	1.892813
1.448095e+12	8.641860	1.892844
1.448238e+12	8.642660	1.892891
1.448381e+12	8.643338	1.892923
1.448524e+12	8.644139	1.892970
1.448667e+12	8.644939	1.893017
1.448810e+12	8.645617	1.893048
1.448953e+12	8.646418	1.893095
1.449096e+12	8.647096	1.893127
1.449239e+12	8.647897	1.893174
1.449382e+12	8.648575	1.893205
1.449525e+12	8.649376	1.893252
1.449668e+12	8.650055	1.893284
1.449811e+12	8.650856	1.893331
1.449954e+12	8.651534	1.893362
1.450097e+12	8.652336	1.893409
1.450240e+12	8.653135	1.893456
1.452960e+12	8.667265	1.894210
1.455686e+12	8.681537	1.894979
1.458417e+12	8.695708	1.895732
1.461153e+12	8.710021	1.896501
1.463894e+12	8.724232	1.897255
1.466640e+12	8.738587	1.898024
1.469392e+12	8.752839	1.898777
1.472148e+12	8.767235	1.899546
1.474910e+12	8.781528	1.900300
1.477677e+12	8.795965	1.901069
1.480449e+12	8.810300	1.901822
1.483226e+12	8.824778	1.902591
1.486009e+12	8.839153	1.903345
1.594390e+12	9.396573	1.931927
1.756157e+12	10.211467	1.971105
1.934336e+12	11.086974	2.010173
2.130594e+12	12.026913	2.049115
2.346764e+12	13.035300	2.087916
2.584866e+12	14.116349	2.126559
2.847127e+12	15.274321	2.165015
3.135996e+12	16.513840	2.203266
3.454174e+12	17.839920	2.241314
3.804634e+12	19.257298	2.279110
4.190652e+12	20.771268	2.316639
4.615836e+12	22.387748	2.353918
5.084158e+12	24.111981	2.390882
5.599997e+12	25.950406	2.427548
6.168172e+12	27.909368	2.463900
6.793994e+12	29.995063	2.499892
7.483312e+12	32.214802	2.535538
8.242569e+12	34.575794	2.570822
9.078859e+12	37.085092	2.605699
1.000000e+13	39.751200	2.640199
