# Earth_adiabatic_iron_silicate_2layer
# Calculated total mass (Me): 0.9998795466
# Calculated total radius (Re): 0.9868325224
# Calculated surface pressure (bar): 14.0129496395
# Calculated surface density (kg m-3): 3359.5000000000
# Mass at layer boundaries (Me): 0.3250077055 0.9998795466
# Radius at layer boundaries (Re): 0.5154151625 0.9868325224
# Pressure at layer boundaries (GPa): 152.3542098369 0.0014012950
# Temperature at layer boundaries (K): 4231.1583516629 2581.6548129777
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
6.1903466878e+07	1.0000000000e+01	4.3410000000e+11	14778.3641223278	5500.0000000000	N/A
1.9190074732e+09	1.1000000000e+02	4.3409999994e+11	14778.3641223278	5499.9999997898	N/A
2.2662859224e+11	2.1000000000e+02	4.3409999992e+11	14778.3641218363	5499.9999997360	N/A
1.0456114590e+12	3.1000000000e+02	4.3409999942e+11	14778.3641217104	5499.9999979914	N/A
2.8302884090e+12	4.1000000000e+02	4.3409999834e+11	14778.3641176301	5499.9999942977	N/A
5.9520802427e+12	5.1000000000e+02	4.3409999668e+11	14778.3641089911	5499.9999885818	N/A
1.0782407759e+13	6.1000000000e+02	4.3409999443e+11	14778.3640956228	5499.9999808131	N/A
1.7692691754e+13	7.1000000000e+02	4.3409999157e+11	14778.3640774532	5499.9999709759	N/A
2.7054353022e+13	8.1000000000e+02	4.3409998811e+11	14778.3640544456	5499.9999590608	N/A
3.9238812351e+13	9.1000000000e+02	4.3409998404e+11	14778.3640265785	5499.9999450622	N/A
5.4617490528e+13	1.0100000000e+03	4.3409997936e+11	14778.3639938382	5499.9999289760	N/A
7.3561808332e+13	1.1100000000e+03	4.3409997408e+11	14778.3639562156	5499.9999107996	N/A
9.6443186537e+13	1.2100000000e+03	4.3409996819e+11	14778.3639137044	5499.9998905309	N/A
1.2363304591e+14	1.3100000000e+03	4.3409996170e+11	14778.3638662996	5499.9998681685	N/A
1.5550280721e+14	1.4100000000e+03	4.3409995459e+11	14778.3638139979	5499.9998437110	N/A
1.9242389119e+14	1.5100000000e+03	4.3409994688e+11	14778.3637567964	5499.9998171577	N/A
2.3476771859e+14	1.6100000000e+03	4.3409993855e+11	14778.3636946931	5499.9997885078	N/A
2.8290571015e+14	1.7100000000e+03	4.3409992962e+11	14778.3636276860	5499.9997577606	N/A
3.3720928658e+14	1.8100000000e+03	4.3409992008e+11	14778.3635557739	5499.9997249156	N/A
3.9804986860e+14	1.9100000000e+03	4.3409990992e+11	14778.3634789556	5499.9996899725	N/A
4.6579887691e+14	2.0100000000e+03	4.3409989916e+11	14778.3633972301	5499.9996529309	N/A
5.4082773219e+14	2.1100000000e+03	4.3409988779e+11	14778.3633105966	5499.9996137905	N/A
6.2350785511e+14	2.2100000000e+03	4.3409987581e+11	14778.3632190544	5499.9995725511	N/A
7.1421066634e+14	2.3100000000e+03	4.3409986322e+11	14778.3631226028	5499.9995292123	N/A
8.1330758652e+14	2.4100000000e+03	4.3409985001e+11	14778.3630212414	5499.9994837741	N/A
9.2117003628e+14	2.5100000000e+03	4.3409983620e+11	14778.3629149697	5499.9994362363	N/A
1.0381694362e+15	2.6100000000e+03	4.3409982178e+11	14778.3628037873	5499.9993865986	N/A
1.1646772070e+15	2.7100000000e+03	4.3409980675e+11	14778.3626876939	5499.9993348610	N/A
1.3010647690e+15	2.8100000000e+03	4.3409979111e+11	14778.3625666892	5499.9992810234	N/A
1.4477035431e+15	2.9100000000e+03	4.3409977485e+11	14778.3624407728	5499.9992250856	N/A
1.6049649495e+15	3.0100000000e+03	4.3409975799e+11	14778.3623099446	5499.9991670476	N/A
1.7732204090e+15	3.1100000000e+03	4.3409974052e+11	14778.3621742043	5499.9991069092	N/A
1.9528413419e+15	3.2100000000e+03	4.3409972243e+11	14778.3620335517	5499.9990446705	N/A
2.1441991688e+15	3.3100000000e+03	4.3409970374e+11	14778.3618879866	5499.9989803312	N/A
2.3476653100e+15	3.4100000000e+03	4.3409968444e+11	14778.3617375089	5499.9989138915	N/A
2.5636111861e+15	3.5100000000e+03	4.3409966452e+11	14778.3615821185	5499.9988453511	N/A
2.7924082175e+15	3.6100000000e+03	4.3409964400e+11	14778.3614218151	5499.9987747101	N/A
3.0344278245e+15	3.7100000000e+03	4.3409962286e+11	14778.3612565988	5499.9987019684	N/A
3.2900414275e+15	3.8100000000e+03	4.3409960112e+11	14778.3610864692	5499.9986271259	N/A
3.5596204468e+15	3.9100000000e+03	4.3409957876e+11	14778.3609114265	5499.9985501827	N/A
3.8435363027e+15	4.0100000000e+03	4.3409955580e+11	14778.3607314704	5499.9984711387	N/A
4.1421604155e+15	4.1100000000e+03	4.3409953222e+11	14778.3605466009	5499.9983899937	N/A
4.4558642054e+15	4.2100000000e+03	4.3409950803e+11	14778.3603568178	5499.9983067480	N/A
4.7850190927e+15	4.3100000000e+03	4.3409948324e+11	14778.3601621212	5499.9982214012	N/A
5.1299964976e+15	4.4100000000e+03	4.3409945783e+11	14778.3599625109	5499.9981339536	N/A
5.4911678402e+15	4.5100000000e+03	4.3409943181e+11	14778.3597579869	5499.9980444049	N/A
5.8689045407e+15	4.6100000000e+03	4.3409940518e+11	14778.3595485492	5499.9979527553	N/A
6.2635780190e+15	4.7100000000e+03	4.3409937795e+11	14778.3593341976	5499.9978590047	N/A
6.6755596954e+15	4.8100000000e+03	4.3409935010e+11	14778.3591149321	5499.9977631530	N/A
7.1052209899e+15	4.9100000000e+03	4.3409932164e+11	14778.3588907526	5499.9976652002	N/A
7.5529333223e+15	5.0100000000e+03	4.3409929257e+11	14778.3586616592	5499.9975651464	N/A
