# Earth_isothermal_iron_silicate_2layer
# Calculated total mass (Me): 1.0000047960
# Calculated total radius (Re): 0.9708381730
# Calculated surface pressure (bar): 45.5529589543
# Calculated surface density (kg m-3): 4000.1724453762
# Mass at layer boundaries (Me): 0.3250247227 1.0000047960
# Radius at layer boundaries (Re): 0.5147559253 0.9708381730
# Pressure at layer boundaries (GPa): 154.6710003733 0.0045552959
# Temperature at layer boundaries (K): 300.0000000000 300.0000000000
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
6.2186065129e+07	1.0000000000e+01	4.3809000000e+11	14845.8294850970	300.0000000000	N/A
1.9277680190e+09	1.1000000000e+02	4.3808999994e+11	14845.8294850970	300.0000000000	N/A
2.2766318444e+11	2.1000000000e+02	4.3808999992e+11	14845.8294845991	300.0000000000	N/A
1.0503848261e+12	3.1000000000e+02	4.3808999941e+11	14845.8294844716	300.0000000000	N/A
2.8432090837e+12	4.1000000000e+02	4.3808999833e+11	14845.8294803390	300.0000000000	N/A
5.9792523471e+12	5.1000000000e+02	4.3808999665e+11	14845.8294715891	300.0000000000	N/A
1.0831631005e+13	6.1000000000e+02	4.3808999437e+11	14845.8294580492	300.0000000000	N/A
1.7773461442e+13	7.1000000000e+02	4.3808999149e+11	14845.8294396466	300.0000000000	N/A
2.7177860043e+13	8.1000000000e+02	4.3808998800e+11	14845.8294163437	300.0000000000	N/A
3.9417943186e+13	9.1000000000e+02	4.3808998389e+11	14845.8293881190	300.0000000000	N/A
5.4866827245e+13	1.0100000000e+03	4.3808997918e+11	14845.8293549587	300.0000000000	N/A
7.3897628590e+13	1.1100000000e+03	4.3808997385e+11	14845.8293168534	300.0000000000	N/A
9.6883463583e+13	1.2100000000e+03	4.3808996790e+11	14845.8292737966	300.0000000000	N/A
1.2419744858e+14	1.3100000000e+03	4.3808996135e+11	14845.8292257836	300.0000000000	N/A
1.5621269993e+14	1.4100000000e+03	4.3808995418e+11	14845.8291728108	300.0000000000	N/A
1.9330233398e+14	1.5100000000e+03	4.3808994639e+11	14845.8291148753	300.0000000000	N/A
2.3583946705e+14	1.6100000000e+03	4.3808993799e+11	14845.8290519751	300.0000000000	N/A
2.8419721546e+14	1.7100000000e+03	4.3808992897e+11	14845.8289841083	300.0000000000	N/A
3.3874869553e+14	1.8100000000e+03	4.3808991934e+11	14845.8289112735	300.0000000000	N/A
3.9986702356e+14	1.9100000000e+03	4.3808990910e+11	14845.8288334695	300.0000000000	N/A
4.6792531583e+14	2.0100000000e+03	4.3808989824e+11	14845.8287506953	300.0000000000	N/A
5.4329668862e+14	2.1100000000e+03	4.3808988676e+11	14845.8286629502	300.0000000000	N/A
6.2635425819e+14	2.2100000000e+03	4.3808987467e+11	14845.8285702333	300.0000000000	N/A
7.1747114079e+14	2.3100000000e+03	4.3808986196e+11	14845.8284725442	300.0000000000	N/A
8.1702045264e+14	2.4100000000e+03	4.3808984864e+11	14845.8283698822	300.0000000000	N/A
9.2537530996e+14	2.5100000000e+03	4.3808983470e+11	14845.8282622469	300.0000000000	N/A
1.0429088290e+15	2.6100000000e+03	4.3808982015e+11	14845.8281496379	300.0000000000	N/A
1.1699941258e+15	2.7100000000e+03	4.3808980498e+11	14845.8280320548	300.0000000000	N/A
1.3070043167e+15	2.8100000000e+03	4.3808978919e+11	14845.8279094974	300.0000000000	N/A
1.4543125177e+15	2.9100000000e+03	4.3808977279e+11	14845.8277819654	300.0000000000	N/A
1.6122918450e+15	3.0100000000e+03	4.3808975578e+11	14845.8276494585	300.0000000000	N/A
1.7813154147e+15	3.1100000000e+03	4.3808973814e+11	14845.8275119764	300.0000000000	N/A
1.9617563429e+15	3.2100000000e+03	4.3808971989e+11	14845.8273695191	300.0000000000	N/A
2.1539877456e+15	3.3100000000e+03	4.3808970103e+11	14845.8272220862	300.0000000000	N/A
2.3583827389e+15	3.4100000000e+03	4.3808968155e+11	14845.8270696777	300.0000000000	N/A
2.5753144388e+15	3.5100000000e+03	4.3808966145e+11	14845.8269122934	300.0000000000	N/A
2.8051559612e+15	3.6100000000e+03	4.3808964074e+11	14845.8267499331	300.0000000000	N/A
3.0482804223e+15	3.7100000000e+03	4.3808961941e+11	14845.8265825968	300.0000000000	N/A
3.3050609378e+15	3.8100000000e+03	4.3808959747e+11	14845.8264102843	300.0000000000	N/A
3.5758706237e+15	3.9100000000e+03	4.3808957491e+11	14845.8262329955	300.0000000000	N/A
3.8610825959e+15	4.0100000000e+03	4.3808955173e+11	14845.8260507304	300.0000000000	N/A
4.1610699703e+15	4.1100000000e+03	4.3808952794e+11	14845.8258634887	300.0000000000	N/A
4.4762058626e+15	4.2100000000e+03	4.3808950353e+11	14845.8256712705	300.0000000000	N/A
4.8068633888e+15	4.3100000000e+03	4.3808947851e+11	14845.8254740757	300.0000000000	N/A
5.1534156645e+15	4.4100000000e+03	4.3808945287e+11	14845.8252719041	300.0000000000	N/A
5.5162358055e+15	4.5100000000e+03	4.3808942661e+11	14845.8250647558	300.0000000000	N/A
5.8956969275e+15	4.6100000000e+03	4.3808939974e+11	14845.8248526307	300.0000000000	N/A
6.2921721462e+15	4.7100000000e+03	4.3808937225e+11	14845.8246355287	300.0000000000	N/A
6.7060345772e+15	4.8100000000e+03	4.3808934415e+11	14845.8244134497	300.0000000000	N/A
7.1376573362e+15	4.9100000000e+03	4.3808931543e+11	14845.8241863938	300.0000000000	N/A
7.5874135387e+15	5.0100000000e+03	4.3808928609e+11	14845.8239543608	300.0000000000	N/A
8.0556763003e+15	5.1100000000e+03	4.3808925614e+11	14845.8237173507	300.0000000000	N/A
8.5428187364e+15	5.2100000000e+03	4.3808922557e+11	14845.8234753635	300.0000000000	N/A
9.0492139625e+15	5.3100000000e+03	4.3808919439e+11	14845.8232283991	300.0000000000	N/A
