# K2-18b_model1_iron_rich
# Calculated total mass (Me): 8.6193375368
# Calculated total radius (Re): 2.7538235756
# Calculated surface pressure (bar): 0.2905034707
# Calculated surface density (kg m-3): 0.0318781628
# Mass at layer boundaries (Me): 8.1757340235 8.2015364023 8.6193375368
# Radius at layer boundaries (Re): 1.3100941767 1.3229022132 2.7538235756
# Pressure at layer boundaries (GPa): 60.4444635523 52.3612978474 0.0000290503
# Temperature at layer boundaries (K): 5500.0000000000 5357.7978980194 256.6242775265
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
1.3170784726e+08	1.0000000000e+01	5.8166000000e+12	31442.9324021055	5500.0000000000	core
4.0829432649e+09	1.1000000000e+02	5.8165999997e+12	31442.9324021055	5500.0000000000	core
4.8218242880e+11	2.1000000000e+02	5.8165999997e+12	31442.9324015996	5500.0000000000	core
2.2246772480e+12	3.1000000000e+02	5.8165999974e+12	31442.9324014700	5500.0000000000	core
6.0218144843e+12	4.1000000000e+02	5.8165999925e+12	31442.9323972704	5500.0000000000	core
1.2663841220e+13	5.1000000000e+02	5.8165999850e+12	31442.9323883787	5500.0000000000	core
2.2941004537e+13	6.1000000000e+02	5.8165999748e+12	31442.9323746194	5500.0000000000	core
3.7643551514e+13	7.1000000000e+02	5.8165999618e+12	31442.9323559184	5500.0000000000	core
5.7561729225e+13	8.1000000000e+02	5.8165999462e+12	31442.9323322379	5500.0000000000	core
8.3485784742e+13	9.1000000000e+02	5.8165999277e+12	31442.9323035557	5500.0000000000	core
1.1620596513e+14	1.0100000000e+03	5.8165999066e+12	31442.9322698579	5500.0000000000	core
1.5651251746e+14	1.1100000000e+03	5.8165998827e+12	31442.9322311349	5500.0000000000	core
2.0519568878e+14	1.2100000000e+03	5.8165998560e+12	31442.9321873803	5500.0000000000	core
2.6304572613e+14	1.3100000000e+03	5.8165998266e+12	31442.9321385891	5500.0000000000	core
3.3085287657e+14	1.4100000000e+03	5.8165997944e+12	31442.9320847577	5500.0000000000	core
4.0940738711e+14	1.5100000000e+03	5.8165997595e+12	31442.9320258832	5500.0000000000	core
4.9949950479e+14	1.6100000000e+03	5.8165997218e+12	31442.9319619634	5500.0000000000	core
6.0191947662e+14	1.7100000000e+03	5.8165996814e+12	31442.9318929966	5500.0000000000	core
7.1745754960e+14	1.8100000000e+03	5.8165996382e+12	31442.9318189813	5500.0000000000	core
8.4690397071e+14	1.9100000000e+03	5.8165995922e+12	31442.9317399162	5500.0000000000	core
9.9104898695e+14	2.0100000000e+03	5.8165995435e+12	31442.9316558004	5500.0000000000	core
