# K2-18b_model2_neptune_like
# Calculated total mass (Me): 8.6323368496
# Calculated total radius (Re): 2.6479532256
# Calculated surface pressure (bar): 0.3016368775
# Calculated surface density (kg m-3): 0.0332371821
# Mass at layer boundaries (Me): 1.2820836947 3.8849437859 8.6305908010 8.6323368496
# Radius at layer boundaries (Re): 0.6978512008 1.2764102967 2.4099686078 2.6479532256
# Pressure at layer boundaries (GPa): 1098.3905876140 352.3406063553 0.0466341277 0.0000301637
# Temperature at layer boundaries (K): 8000.0000000000 8000.0000000000 1801.1224160149 255.5069202060
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
9.9117917272e+07	1.0000000000e+01	2.4090000000e+12	23662.6597242275	8000.0000000000	core
3.0726554354e+09	1.1000000000e+02	2.4089999998e+12	23662.6597242275	8000.0000000000	core
3.6287069513e+11	2.1000000000e+02	2.4089999998e+12	23662.6597237578	8000.0000000000	core
1.6742007406e+12	3.1000000000e+02	2.4089999985e+12	23662.6597236375	8000.0000000000	core
4.5317702955e+12	4.1000000000e+02	2.4089999958e+12	23662.6597197378	8000.0000000000	core
9.5302868626e+12	5.1000000000e+02	2.4089999915e+12	23662.6597114813	8000.0000000000	core
1.7264457943e+13	6.1000000000e+02	2.4089999857e+12	23662.6596987049	8000.0000000000	core
2.8328991036e+13	7.1000000000e+02	2.4089999784e+12	23662.6596813398	8000.0000000000	core
4.3318593638e+13	8.1000000000e+02	2.4089999695e+12	23662.6596593509	8000.0000000000	core
6.2827973241e+13	9.1000000000e+02	2.4089999591e+12	23662.6596327176	8000.0000000000	core
8.7451837334e+13	1.0100000000e+03	2.4089999471e+12	23662.6596014269	8000.0000000000	core
1.1778489340e+14	1.1100000000e+03	2.4089999336e+12	23662.6595654701	8000.0000000000	core
1.5442184891e+14	1.2100000000e+03	2.4089999185e+12	23662.6595248410	8000.0000000000	core
1.9795741135e+14	1.3100000000e+03	2.4089999018e+12	23662.6594795352	8000.0000000000	core
2.4898628817e+14	1.4100000000e+03	2.4089998836e+12	23662.6594295491	8000.0000000000	core
3.0810318684e+14	1.5100000000e+03	2.4089998638e+12	23662.6593748803	8000.0000000000	core
