# K2-18b_model3_water_world
# Calculated total mass (Me): 8.6331802325
# Calculated total radius (Re): 2.6808679956
# Calculated surface pressure (bar): 0.6042639129
# Calculated surface density (kg m-3): 0.0667140091
# Mass at layer boundaries (Me): 0.2849123666 0.8633402757 8.6326627612 8.6331802325
# Radius at layer boundaries (Re): 0.4479375294 0.7869894836 2.5884649192 2.6808679956
# Pressure at layer boundaries (GPa): 699.4086478342 467.4492765930 0.0110593749 0.0000604264
# Temperature at layer boundaries (K): 5500.0000000000 5500.0000000000 721.0374590093 254.9000000000
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
7.8091704691e+07	1.0000000000e+01	1.0628900000e+12	18643.0212241753	5500.0000000000	core
2.4208428454e+09	1.1000000000e+02	1.0628899999e+12	18643.0212241753	5500.0000000000	core
2.8589373088e+11	2.1000000000e+02	1.0628899999e+12	18643.0212237081	5500.0000000000	core
1.3190469839e+12	3.1000000000e+02	1.0628899991e+12	18643.0212235884	5500.0000000000	core
3.5704308301e+12	4.1000000000e+02	1.0628899974e+12	18643.0212197104	5500.0000000000	core
7.5085954967e+12	5.1000000000e+02	1.0628899947e+12	18643.0212114997	5500.0000000000	core
1.3602091210e+13	6.1000000000e+02	1.0628899911e+12	18643.0211987941	5500.0000000000	core
2.2319468193e+13	7.1000000000e+02	1.0628899866e+12	18643.0211815252	5500.0000000000	core
3.4129276666e+13	8.1000000000e+02	1.0628899811e+12	18643.0211596582	5500.0000000000	core
4.9500066847e+13	9.1000000000e+02	1.0628899746e+12	18643.0211331725	5500.0000000000	core
6.8900388949e+13	1.0100000000e+03	1.0628899672e+12	18643.0211020553	5500.0000000000	core
9.2798793179e+13	1.1100000000e+03	1.0628899588e+12	18643.0210662978	5500.0000000000	core
1.2166382974e+14	1.2100000000e+03	1.0628899494e+12	18643.0210258939	5500.0000000000	core
1.5596404883e+14	1.3100000000e+03	1.0628899390e+12	18643.0209808392	5500.0000000000	core
1.9616800063e+14	1.4100000000e+03	1.0628899277e+12	18643.0209311302	5500.0000000000	core
2.4274423533e+14	1.5100000000e+03	1.0628899155e+12	18643.0208767644	5500.0000000000	core
2.9616130309e+14	1.6100000000e+03	1.0628899022e+12	18643.0208177397	5500.0000000000	core
3.5688775409e+14	1.7100000000e+03	1.0628898880e+12	18643.0207540544	5500.0000000000	core
4.2539213846e+14	1.8100000000e+03	1.0628898728e+12	18643.0206857072	5500.0000000000	core
5.0214300637e+14	1.9100000000e+03	1.0628898567e+12	18643.0206126970	5500.0000000000	core
5.8760890793e+14	2.0100000000e+03	1.0628898395e+12	18643.0205350229	5500.0000000000	core
6.8225839327e+14	2.1100000000e+03	1.0628898214e+12	18643.0204526841	5500.0000000000	core
7.8656001249e+14	2.2100000000e+03	1.0628898024e+12	18643.0203656799	5500.0000000000	core
9.0098231569e+14	2.3100000000e+03	1.0628897823e+12	18643.0202740097	5500.0000000000	core
1.0259938529e+15	2.4100000000e+03	1.0628897613e+12	18643.0201776731	5500.0000000000	core
1.1620631743e+15	2.5100000000e+03	1.0628897393e+12	18643.0200766697	5500.0000000000	core
