P_core (Pa)	M (Me)	R (Re)
1.000000e+08	0.000038	0.039540
2.069138e+08	0.000112	0.056869
4.281332e+08	0.000333	0.081794
8.858668e+08	0.000992	0.117644
1.832981e+09	0.002951	0.169206
3.792690e+09	0.008784	0.243386
7.847600e+09	0.025862	0.348754
1.623777e+10	0.068871	0.480413
3.359818e+10	0.155310	0.616875
6.951928e+10	0.365570	0.793943
1.438450e+11	0.862682	1.021223
2.976351e+11	1.927181	1.285090
6.158482e+11	4.044889	1.574072
1.274275e+12	8.028287	1.878812
2.636651e+12	15.217661	2.192499
5.455595e+12	27.807588	2.510565
1.128838e+13	48.745542	2.820720
2.335721e+13	79.691692	3.080005
4.832930e+13	124.790557	3.291479
1.000000e+14	189.253926	3.457230
