# P_core (Pa)	M (Me)	R (Re)
1.000000e+08	0.000008	0.018758
2.069138e+08	0.000025	0.026983
4.281332e+08	0.000075	0.038802
8.858668e+08	0.000223	0.055801
1.832981e+09	0.000662	0.080146
3.792690e+09	0.001944	0.114677
7.847600e+09	0.005639	0.163163
1.623777e+10	0.015978	0.229793
3.359818e+10	0.043551	0.318209
6.951928e+10	0.112297	0.429997
1.438450e+11	0.270413	0.563524
2.976351e+11	0.606234	0.714677
6.158482e+11	1.271833	0.878372
1.274275e+12	2.521172	1.049994
2.636651e+12	4.772980	1.226057
5.455595e+12	8.712615	1.404192
1.128838e+13	15.457163	1.583018
2.335721e+13	27.254814	1.771152
4.832930e+13	45.869203	1.945944
1.000000e+14	74.595646	2.103800
