P_core (Pa)	M (Me)	R (Re)
1.000000e+08	0.000404	0.129997
2.069138e+08	0.001142	0.182893
4.281332e+08	0.003125	0.253604
8.858668e+08	0.008224	0.345426
1.832981e+09	0.018985	0.445567
3.792690e+09	0.043200	0.566851
7.847600e+09	0.105835	0.737688
1.623777e+10	0.250648	0.949994
3.359818e+10	0.556194	1.192420
6.951928e+10	1.169328	1.460149
1.438450e+11	2.501780	1.788010
2.976351e+11	5.271171	2.175594
6.158482e+11	10.248341	2.571921
1.274275e+12	17.923223	2.909074
2.636651e+12	31.088473	3.249852
5.455595e+12	52.832070	3.585184
1.128838e+13	87.300236	3.901053
2.335721e+13	139.621281	4.182077
4.832930e+13	215.782181	4.414929
1.000000e+14	322.720865	4.591227
